Genotype	CL	Fix	pop$	FID$
Z001E0103	127.337421203451	1	NAMRIL	Z001
Z001E0104	119.500358083095	1	NAMRIL	Z001
Z001E0105	123.58038221827	1	NAMRIL	Z001
Z001E0106	133.491226990972	1	NAMRIL	Z001
Z001E0107	150.602400452966	1	NAMRIL	Z001
Z001E0108	111.003829024398	1	NAMRIL	Z001
Z001E0109	135.509543310115	1	NAMRIL	Z001
Z001E0110	134.06027010402	1	NAMRIL	Z001
Z001E0111	126.100827954291	1	NAMRIL	Z001
Z001E0112	126.885565296847	1	NAMRIL	Z001
Z001E0113	115.236171203454	1	NAMRIL	Z001
Z001E0114	133.151171203463	1	NAMRIL	Z001
Z001E0115	124.296185767684	1	NAMRIL	Z001
Z001E0116	139.286171203464	1	NAMRIL	Z001
Z001E0117	134.311686167251	1	NAMRIL	Z001
Z001E0118	142.93311473868	1	NAMRIL	Z001
Z001E0119	122.41797081143	1	NAMRIL	Z001
Z001E0120	140.109543310093	1	NAMRIL	Z001
Z001E0121	123.173671203464	1	NAMRIL	Z001
Z001E0122	131.457421203456	1	NAMRIL	Z001
Z001E0123	124.345257595824	1	NAMRIL	Z001
Z001E0124	92.6743993828736	1	NAMRIL	Z001
Z001E0125	113.345257595823	1	NAMRIL	Z001
Z001E0126	122.305971881544	1	NAMRIL	Z001
Z001E0127	114.269704870521	1	NAMRIL	Z001
Z001E0128	128.959887526187	1	NAMRIL	Z001
Z001E0129	142.750257595827	1	NAMRIL	Z001
Z001E0130	142.125382218269	1	NAMRIL	Z001
Z001E0131	170.758114738682	1	NAMRIL	Z001
Z001E0132	88.9576223194731	1	NAMRIL	Z001
Z001E0133	123.520971881529	1	NAMRIL	Z001
Z001E0134	123.133829024391	1	NAMRIL	Z001
Z001E0135	155.445257595809	1	NAMRIL	Z001
Z001E0136	117.243829024392	1	NAMRIL	Z001
Z001E0137	127.922400452972	1	NAMRIL	Z001
Z001E0138	131.438829024394	1	NAMRIL	Z001
Z001E0139	134.303671203465	1	NAMRIL	Z001
Z001E0140	145.163038203843	1	NAMRIL	Z001
Z001E0141	122.08367120346	1	NAMRIL	Z001
Z001E0142	141.54426568094	1	NAMRIL	Z001
Z001E0143	139.942421203466	1	NAMRIL	Z001
Z001E0144	151.244296203481	1	NAMRIL	Z001
Z001E0145	133.500546203463	1	NAMRIL	Z001
Z001E0146	128.020257595823	1	NAMRIL	Z001
Z001E0147	111.509921203452	1	NAMRIL	Z001
Z001E0148	110.332400452957	1	NAMRIL	Z001
Z001E0149	136.028046203467	1	NAMRIL	Z001
Z001E0150	130.897400452964	1	NAMRIL	Z001
Z001E0151	142.508894906091	1	NAMRIL	Z001
Z001E0152	118.236686167256	1	NAMRIL	Z001
Z001E0153	124.990971881542	1	NAMRIL	Z001
Z001E0154	115.732400452964	1	NAMRIL	Z001
Z001E0155	146.382048884923	1	NAMRIL	Z001
Z001E0156	147.75679620344	1	NAMRIL	Z001
Z001E0157	130.257400452968	1	NAMRIL	Z001
Z001E0158	138.749543310119	1	NAMRIL	Z001
Z001E0159	135.274543310112	1	NAMRIL	Z001
Z001E0160	136.623114738689	1	NAMRIL	Z001
Z001E0161	122.891686167251	1	NAMRIL	Z001
Z001E0162	125.573871537183	1	NAMRIL	Z001
Z001E0163	121.252400452967	1	NAMRIL	Z001
Z001E0164	128.432970811428	1	NAMRIL	Z001
Z001E0165	143.27299084193	1	NAMRIL	Z001
Z001E0166	126.22321006427	1	NAMRIL	Z001
Z001E0167	141.239921203466	1	NAMRIL	Z001
Z001E0168	132.939543310121	1	NAMRIL	Z001
Z001E0169	111.550546203472	1	NAMRIL	Z001
Z001E0170	114.787053256518	1	NAMRIL	Z001
Z001E0171	122.912228239428	1	NAMRIL	Z001
Z001E0172	135.317421203466	1	NAMRIL	Z001
Z001E0173	145.397421203446	1	NAMRIL	Z001
Z001E0174	139.665971881539	1	NAMRIL	Z001
Z001E0175	110.795538203846	1	NAMRIL	Z001
Z001E0176	119.494296203468	1	NAMRIL	Z001
Z001E0177	132.985122319479	1	NAMRIL	Z001
Z001E0178	140.258254540947	1	NAMRIL	Z001
Z001E0179	141.909265680947	1	NAMRIL	Z001
Z001E0180	130.863705127647	1	NAMRIL	Z001
Z001E0181	147.996686167252	1	NAMRIL	Z001
Z001E0182	148.488061572753	1	NAMRIL	Z001
Z001E0183	140.729728239443	1	NAMRIL	Z001
Z001E0184	141.830233703461	1	NAMRIL	Z001
Z001E0185	149.773114738695	1	NAMRIL	Z001
Z001E0186	127.101171203468	1	NAMRIL	Z001
Z001E0187	131.495546203461	1	NAMRIL	Z001
Z001E0188	130.467421203462	1	NAMRIL	Z001
Z001E0189	133.122204870512	1	NAMRIL	Z001
Z001E0190	109.030827954286	1	NAMRIL	Z001
Z001E0191	136.622421203458	1	NAMRIL	Z001
Z001E0192	140.558671203481	1	NAMRIL	Z001
Z001E0193	145.943871537187	1	NAMRIL	Z001
Z001E0194	125.186689548941	1	NAMRIL	Z001
Z001E0195	129.063829024403	1	NAMRIL	Z001
Z001E0196	144.263061572752	1	NAMRIL	Z001
Z001E0197	120.680971881533	1	NAMRIL	Z001
Z001E0198	138.400546203456	1	NAMRIL	Z001
Z001E0199	96.8117889861474	1	NAMRIL	Z001
Z001E0200	134.468038203848	1	NAMRIL	Z001
Z001E0201	133.831470865957	1	NAMRIL	Z001
Z001E0202	123.345318528465	1	NAMRIL	Z001
Z001E0262	130.73950986114	1	NAMRIL	Z001
Z001E0274	151.239509861139	1	NAMRIL	Z001
Z001E0279	129.239509861159	1	NAMRIL	Z001
Z002E0001	140.921461624808	1	NAMRIL	Z002
Z002E0002	152.458046203478	1	NAMRIL	Z002
Z002E0003	133.712970811443	1	NAMRIL	Z002
Z002E0004	145.704543310107	1	NAMRIL	Z002
Z002E0005	120.19996404238	1	NAMRIL	Z002
Z002E0006	149.50374300006	1	NAMRIL	Z002
Z002E0007	157.937421203458	1	NAMRIL	Z002
Z002E0008	166.604296203453	1	NAMRIL	Z002
Z002E0009	135.56046016474	1	NAMRIL	Z002
Z002E0010	142.334543310108	1	NAMRIL	Z002
Z002E0011	144.989543310104	1	NAMRIL	Z002
Z002E0012	136.418297375718	1	NAMRIL	Z002
Z002E0013	120.486282673169	1	NAMRIL	Z002
Z002E0014	147.599921203462	1	NAMRIL	Z002
Z002E0015	138.812990841942	1	NAMRIL	Z002
Z002E0016	150.82556157277	1	NAMRIL	Z002
Z002E0017	136.57140853809	1	NAMRIL	Z002
Z002E0018	130.422614339113	1	NAMRIL	Z002
Z002E0019	157.179921203459	1	NAMRIL	Z002
Z002E0020	154.008129460601	1	NAMRIL	Z002
Z002E0021	127.087400452965	1	NAMRIL	Z002
Z002E0022	150.818061572789	1	NAMRIL	Z002
Z002E0023	147.762274593138	1	NAMRIL	Z002
Z002E0024	136.188715551608	1	NAMRIL	Z002
Z002E0025	155.757400452984	1	NAMRIL	Z002
Z002E0026	128.986630709051	1	NAMRIL	Z002
Z002E0027	159.222970811432	1	NAMRIL	Z002
Z002E0028	134.697276556224	1	NAMRIL	Z002
Z002E0029	146.871171203468	1	NAMRIL	Z002
Z002E0030	165.958829024375	1	NAMRIL	Z002
Z002E0031	152.604921203442	1	NAMRIL	Z002
Z002E0032	128.735771915082	1	NAMRIL	Z002
Z002E0033	136.882421203472	1	NAMRIL	Z002
Z002E0034	130.681562270517	1	NAMRIL	Z002
Z002E0035	154.114921203474	1	NAMRIL	Z002
Z002E0036	110.038685097148	1	NAMRIL	Z002
Z002E0037	137.448829024387	1	NAMRIL	Z002
Z002E0038	132.097276556217	1	NAMRIL	Z002
Z002E0039	130.100270104043	1	NAMRIL	Z002
Z002E0040	134.499296203456	1	NAMRIL	Z002
Z002E0041	125.504288986135	1	NAMRIL	Z002
