Genotype	CW	Fix	pop$	FID$
Z001E0100	12.9503293726895	1	NAMRIL	Z001
Z001E0101	16.4355555555509	1	NAMRIL	Z001
Z001E0102	22.2289309233703	1	NAMRIL	Z001
Z001E0103	19.5015793726901	1	NAMRIL	Z001
Z001E0104	16.8222239555862	1	NAMRIL	Z001
Z001E0105	19.1563673267775	1	NAMRIL	Z001
Z001E0106	21.824306078975	1	NAMRIL	Z001
Z001E0107	19.2110737805126	1	NAMRIL	Z001
Z001E0108	12.6953594947988	1	NAMRIL	Z001
Z001E0109	17.4753594947979	1	NAMRIL	Z001
Z001E0110	23.188560558439	1	NAMRIL	Z001
Z001E0111	22.161666804376	1	NAMRIL	Z001
Z001E0112	14.2503710638973	1	NAMRIL	Z001
Z001E0113	18.4401210389402	1	NAMRIL	Z001
Z001E0114	19.1997043726901	1	NAMRIL	Z001
Z001E0115	13.7715793726899	1	NAMRIL	Z001
Z001E0116	17.4928293726898	1	NAMRIL	Z001
Z001E0117	15.2760737805121	1	NAMRIL	Z001
Z001E0118	22.0310737805071	1	NAMRIL	Z001
Z001E0119	18.5980953758083	1	NAMRIL	Z001
Z001E0120	18.388216637656	1	NAMRIL	Z001
Z001E0121	19.8397043726897	1	NAMRIL	Z001
Z001E0122	20.3190793726909	1	NAMRIL	Z001
Z001E0123	19.2760737805131	1	NAMRIL	Z001
Z001E0124	16.651666804379	1	NAMRIL	Z001
Z001E0125	18.3339309233734	1	NAMRIL	Z001
Z001E0126	15.9439309233723	1	NAMRIL	Z001
Z001E0127	21.1069248521198	1	NAMRIL	Z001
Z001E0128	13.3581101852557	1	NAMRIL	Z001
Z001E0129	18.8388906222561	1	NAMRIL	Z001
Z001E0130	20.9138673267755	1	NAMRIL	Z001
Z001E0131	21.5732166376547	1	NAMRIL	Z001
Z001E0132	15.954230236527	1	NAMRIL	Z001
Z001E0133	17.4067880662259	1	NAMRIL	Z001
Z001E0134	17.3689309233727	1	NAMRIL	Z001
Z001E0135	19.0182166376543	1	NAMRIL	Z001
Z001E0136	13.7753594947983	1	NAMRIL	Z001
Z001E0137	21.0475023519434	1	NAMRIL	Z001
Z001E0138	17.7725023519413	1	NAMRIL	Z001
Z001E0139	18.6328293726883	1	NAMRIL	Z001
Z001E0140	18.001091518788	1	NAMRIL	Z001
Z001E0141	14.1640793726895	1	NAMRIL	Z001
Z001E0142	20.8040460683671	1	NAMRIL	Z001
Z001E0143	18.6740793726898	1	NAMRIL	Z001
Z001E0144	17.4372043726905	1	NAMRIL	Z001
Z001E0145	16.2687831240842	1	NAMRIL	Z001
Z001E0146	15.261073780512	1	NAMRIL	Z001
Z001E0147	11.6940793726898	1	NAMRIL	Z001
Z001E0148	15.4960737805139	1	NAMRIL	Z001
Z001E0149	15.3040793726876	1	NAMRIL	Z001
Z001E0150	15.3010737805137	1	NAMRIL	Z001
Z001E0151	20.6844475511297	1	NAMRIL	Z001
Z001E0152	14.0425023519411	1	NAMRIL	Z001
Z001E0153	13.3132166376546	1	NAMRIL	Z001
Z001E0154	20.3117880662249	1	NAMRIL	Z001
Z001E0155	16.898410169548	1	NAMRIL	Z001
Z001E0156	17.2447043726886	1	NAMRIL	Z001
Z001E0157	19.2067880662268	1	NAMRIL	Z001
Z001E0158	19.0196452090862	1	NAMRIL	Z001
Z001E0159	16.3282166376539	1	NAMRIL	Z001
Z001E0160	17.4253594947997	1	NAMRIL	Z001
Z001E0161	18.2632166376538	1	NAMRIL	Z001
Z001E0162	11.4877581854518	1	NAMRIL	Z001
Z001E0163	15.4439309233705	1	NAMRIL	Z001
Z001E0164	16.048095375806	1	NAMRIL	Z001
