Genotype	AKW	Fix	pop$	FID$
Z001E0100	0.203260501937202	1	NAMRIL	Z001
Z001E0101	0.2501906730625	1	NAMRIL	Z001
Z001E0102	0.250750878291234	1	NAMRIL	Z001
Z001E0103	0.250260501937197	1	NAMRIL	Z001
Z001E0104	0.20304870091503	1	NAMRIL	Z001
Z001E0105	0.205973432034172	1	NAMRIL	Z001
Z001E0106	0.25345955671947	1	NAMRIL	Z001
Z001E0107	0.234500878291223	1	NAMRIL	Z001
Z001E0108	0.22654254495782	1	NAMRIL	Z001
Z001E0109	0.234000878291173	1	NAMRIL	Z001
Z001E0110	0.270148700915137	1	NAMRIL	Z001
Z001E0111	0.21652695819486	1	NAMRIL	Z001
Z001E0112	0.198552972959739	1	NAMRIL	Z001
Z001E0113	0.264439073365836	1	NAMRIL	Z001
Z001E0114	0.251939073365814	1	NAMRIL	Z001
Z001E0115	0.187867644794476	1	NAMRIL	Z001
Z001E0116	0.215546216222958	1	NAMRIL	Z001
Z001E0117	0.270959211624475	1	NAMRIL	Z001
Z001E0118	0.215250878291202	1	NAMRIL	Z001
Z001E0119	0.266026958194969	1	NAMRIL	Z001
Z001E0120	0.228584211624517	1	NAMRIL	Z001
Z001E0121	0.250939073365795	1	NAMRIL	Z001
Z001E0122	0.237581930508692	1	NAMRIL	Z001
Z001E0123	0.263417544957836	1	NAMRIL	Z001
Z001E0124	0.265901958194905	1	NAMRIL	Z001
Z001E0125	0.277500878291227	1	NAMRIL	Z001
Z001E0126	0.21158421162453	1	NAMRIL	Z001
Z001E0127	0.186818701071167	1	NAMRIL	Z001
Z001E0128	0.220175217264767	1	NAMRIL	Z001
Z001E0129	0.234667544957898	1	NAMRIL	Z001
Z001E0130	0.217201538741855	1	NAMRIL	Z001
Z001E0131	0.252917544957878	1	NAMRIL	Z001
Z001E0132	0.247560776263962	1	NAMRIL	Z001
Z001E0133	0.202084211624502	1	NAMRIL	Z001
Z001E0134	0.209667544957869	1	NAMRIL	Z001
Z001E0135	0.219709211624539	1	NAMRIL	Z001
Z001E0136	0.238084211624516	1	NAMRIL	Z001
Z001E0137	0.284667544957879	1	NAMRIL	Z001
Z001E0138	0.245000878291282	1	NAMRIL	Z001
Z001E0139	0.240343835272951	1	NAMRIL	Z001
Z001E0140	0.218968701071163	1	NAMRIL	Z001
Z001E0141	0.177760501937227	1	NAMRIL	Z001
Z001E0142	0.248179322920435	1	NAMRIL	Z001
Z001E0143	0.275403359080131	1	NAMRIL	Z001
Z001E0144	0.249010501937273	1	NAMRIL	Z001
Z001E0145	0.317153359080095	1	NAMRIL	Z001
Z001E0146	0.274221171670904	1	NAMRIL	Z001
Z001E0147	0.196510501937249	1	NAMRIL	Z001
Z001E0148	0.250375878291227	1	NAMRIL	Z001
Z001E0149	0.214903359080042	1	NAMRIL	Z001
Z001E0150	0.262875878291202	1	NAMRIL	Z001
Z001E0151	0.258678260834995	1	NAMRIL	Z001
Z001E0152	0.241167544957894	1	NAMRIL	Z001
Z001E0153	0.237167544957874	1	NAMRIL	Z001
Z001E0154	0.25645921162454	1	NAMRIL	Z001
Z001E0155	0.238901538741838	1	NAMRIL	Z001
Z001E0156	0.265498597172983	1	NAMRIL	Z001
Z001E0157	0.191000878291184	1	NAMRIL	Z001
Z001E0158	0.254917544957847	1	NAMRIL	Z001
Z001E0159	0.279625878291163	1	NAMRIL	Z001
Z001E0160	0.264834211624544	1	NAMRIL	Z001
Z001E0161	0.262542544957878	1	NAMRIL	Z001
Z001E0162	0.246268701071242	1	NAMRIL	Z001
Z001E0163	0.246118701071241	1	NAMRIL	Z001
Z001E0164	0.222276958194864	1	NAMRIL	Z001
Z001E0165	0.313046216222957	1	NAMRIL	Z001
Z001E0166	0.253986896513108	1	NAMRIL	Z001
Z001E0167	0.213046216222935	1	NAMRIL	Z001
Z001E0168	0.23245921162451	1	NAMRIL	Z001
Z001E0169	0.256331930508668	1	NAMRIL	Z001
Z001E0170	0.270363516801256	1	NAMRIL	Z001
Z001E0171	0.150078260834946	1	NAMRIL	Z001
Z001E0172	0.201581930508637	1	NAMRIL	Z001
Z001E0173	0.217189073365834	1	NAMRIL	Z001
Z001E0174	0.209417544957844	1	NAMRIL	Z001
Z001E0175	0.236168701071188	1	NAMRIL	Z001
Z001E0176	0.286117644794372	1	NAMRIL	Z001
Z001E0177	0.208625878291269	1	NAMRIL	Z001
Z001E0178	0.270581930508648	1	NAMRIL	Z001
Z001E0179	0.200720989587153	1	NAMRIL	Z001
Z001E0180	0.204403359080088	1	NAMRIL	Z001
Z001E0181	0.218042544957861	1	NAMRIL	Z001
Z001E0182	0.282028260834988	1	NAMRIL	Z001
Z001E0183	0.29162826083497	1	NAMRIL	Z001
Z001E0184	0.259153359080099	1	NAMRIL	Z001
Z001E0185	0.22241754495787	1	NAMRIL	Z001
Z001E0186	0.266153359080134	1	NAMRIL	Z001
Z001E0187	0.205796216222983	1	NAMRIL	Z001
Z001E0188	0.223581930508619	1	NAMRIL	Z001
Z001E0189	0.274568701071191	1	NAMRIL	Z001
Z001E0190	0.27477695819493	1	NAMRIL	Z001
Z001E0191	0.217084211624532	1	NAMRIL	Z001
Z001E0192	0.237867644794364	1	NAMRIL	Z001
Z001E0193	0.212168701071178	1	NAMRIL	Z001
Z001E0194	0.213527752161312	1	NAMRIL	Z001
Z001E0195	0.235917544957839	1	NAMRIL	Z001
Z001E0196	0.231228260835024	1	NAMRIL	Z001
Z001E0197	0.246917544957836	1	NAMRIL	Z001
Z001E0198	0.271189073365834	1	NAMRIL	Z001
Z001E0199	0.276171171670925	1	NAMRIL	Z001
Z001E0200	0.235068701071212	1	NAMRIL	Z001
Z001E0201	0.239059046380116	1	NAMRIL	Z001
Z001E0202	0.293973386769928	1	NAMRIL	Z001
Z001E0262	0.314747576037979	1	NAMRIL	Z001
Z001E0274	0.267247576037971	1	NAMRIL	Z001
Z001E0279	0.289747576037968	1	NAMRIL	Z001
Z002E0001	0.279118257998103	1	NAMRIL	Z002
Z002E0002	0.236010501937238	1	NAMRIL	Z002
Z002E0003	0.24019362486159	1	NAMRIL	Z002
Z002E0004	0.196125878291227	1	NAMRIL	Z002
Z002E0005	0.272625878291157	1	NAMRIL	Z002
Z002E0006	0.272292544957842	1	NAMRIL	Z002
Z002E0007	0.261375878291203	1	NAMRIL	Z002
Z002E0008	0.266459211624548	1	NAMRIL	Z002
Z002E0009	0.280107646985111	1	NAMRIL	Z002
Z002E0010	0.314292544957896	1	NAMRIL	Z002
Z002E0011	0.236792544957871	1	NAMRIL	Z002
Z002E0012	0.254667544957869	1	NAMRIL	Z002
Z002E0013	0.237176958064837	1	NAMRIL	Z002
Z002E0014	0.23197478765159	1	NAMRIL	Z002
Z002E0015	0.270493257998061	1	NAMRIL	Z002
Z002E0016	0.27375087829117	1	NAMRIL	Z002
Z002E0017	0.300470989587131	1	NAMRIL	Z002
Z002E0018	0.258987350361375	1	NAMRIL	Z002
Z002E0019	0.228653359080052	1	NAMRIL	Z002
Z002E0020	0.280276958194913	1	NAMRIL	Z002
Z002E0021	0.254500878291232	1	NAMRIL	Z002
Z002E0022	0.296278260834997	1	NAMRIL	Z002
Z002E0023	0.237730770042549	1	NAMRIL	Z002
Z002E0024	0.240101538741845	1	NAMRIL	Z002
Z002E0025	0.272709211624518	1	NAMRIL	Z002
Z002E0026	0.289724787651526	1	NAMRIL	Z002
Z002E0027	0.297818624861602	1	NAMRIL	Z002
Z002E0028	0.24128492466474	1	NAMRIL	Z002
Z002E0029	0.252724787651502	1	NAMRIL	Z002
Z002E0030	0.22091754495785	1	NAMRIL	Z002
Z002E0031	0.292903359080132	1	NAMRIL	Z002
Z002E0032	0.299285932034196	1	NAMRIL	Z002
Z002E0033	0.268724787651528	1	NAMRIL	Z002
Z002E0034	0.236826591331431	1	NAMRIL	Z002
Z002E0035	0.279867644794384	1	NAMRIL	Z002
Z002E0036	0.275193624861598	1	NAMRIL	Z002
Z002E0037	0.263750878291191	1	NAMRIL	Z002
Z002E0038	0.20092826083501	1	NAMRIL	Z002
Z002E0039	0.290828260834996	1	NAMRIL	Z002
Z002E0040	0.229760501937251	1	NAMRIL	Z002
Z002E0041	0.267571171670912	1	NAMRIL	Z002
Z002E0042	0.210939073365826	1	NAMRIL	Z002
Z002E0043	0.342336764781389	1	NAMRIL	Z002
Z002E0044	0.208862350361333	1	NAMRIL	Z002
Z002E0045	0.279848432034225	1	NAMRIL	Z002
Z002E0046	0.224867644794358	1	NAMRIL	Z002
