Genotype	KC	Fix	pop$	FID$
Z001E0098	339.210087330017	1	NAMRIL	Z001
Z001E0099	327.98930821812	1	NAMRIL	Z001
Z001E0100	276.099215665315	1	NAMRIL	Z001
Z001E0101	228.657983409997	1	NAMRIL	Z001
Z001E0102	208.37441999646	1	NAMRIL	Z001
Z001E0103	281.077120250551	1	NAMRIL	Z001
Z001E0104	393.950865799934	1	NAMRIL	Z001
Z001E0105	227.825885108268	1	NAMRIL	Z001
Z001E0106	343.461471372751	1	NAMRIL	Z001
Z001E0107	302.921708153041	1	NAMRIL	Z001
Z001E0108	236.862487398135	1	NAMRIL	Z001
Z001E0109	276.354443506779	1	NAMRIL	Z001
Z001E0110	279.546054648823	1	NAMRIL	Z001
Z001E0111	383.904918249212	1	NAMRIL	Z001
Z001E0112	286.306627194672	1	NAMRIL	Z001
Z001E0113	252.007226640755	1	NAMRIL	Z001
Z001E0114	325.926699365628	1	NAMRIL	Z001
Z001E0115	365.143284079371	1	NAMRIL	Z001
Z001E0116	371.169031420203	1	NAMRIL	Z001
Z001E0117	295.987723270379	1	NAMRIL	Z001
Z001E0118	293.603637423421	1	NAMRIL	Z001
Z001E0119	347.966501812536	1	NAMRIL	Z001
Z001E0120	354.531140507729	1	NAMRIL	Z001
Z001E0121	246.93668698803	1	NAMRIL	Z001
Z001E0122	257.653358182072	1	NAMRIL	Z001
Z001E0123	282.092032092928	1	NAMRIL	Z001
Z001E0124	210.552066544361	1	NAMRIL	Z001
Z001E0125	235.608517365833	1	NAMRIL	Z001
Z001E0126	287.538082966467	1	NAMRIL	Z001
Z001E0127	321.21994379011	1	NAMRIL	Z001
Z001E0128	339.164909938403	1	NAMRIL	Z001
Z001E0129	288.607160131529	1	NAMRIL	Z001
Z001E0130	295.157755363481	1	NAMRIL	Z001
Z001E0131	340.255167173212	1	NAMRIL	Z001
Z001E0132	92.3564368609154	1	NAMRIL	Z001
Z001E0133	335.662732084104	1	NAMRIL	Z001
Z001E0134	241.472966604359	1	NAMRIL	Z001
Z001E0135	302.108219299244	1	NAMRIL	Z001
Z001E0136	269.410492041868	1	NAMRIL	Z001
Z001E0137	329.95062435137	1	NAMRIL	Z001
Z001E0138	265.659922321779	1	NAMRIL	Z001
Z001E0139	342.050091235439	1	NAMRIL	Z001
Z001E0140	460.310460290541	1	NAMRIL	Z001
Z001E0141	373.548726451389	1	NAMRIL	Z001
Z001E0142	337.020253207057	1	NAMRIL	Z001
Z001E0143	297.397789858423	1	NAMRIL	Z001
Z001E0144	293.857092608786	1	NAMRIL	Z001
Z001E0145	246.123554292953	1	NAMRIL	Z001
Z001E0146	267.547462807159	1	NAMRIL	Z001
Z001E0147	310.511214244004	1	NAMRIL	Z001
Z001E0148	284.865957276733	1	NAMRIL	Z001
Z001E0149	431.910269927307	1	NAMRIL	Z001
Z001E0150	293.349413865552	1	NAMRIL	Z001
Z001E0151	290.907707114202	1	NAMRIL	Z001
Z001E0152	234.444960287471	1	NAMRIL	Z001
Z001E0153	313.423996342299	1	NAMRIL	Z001
Z001E0154	251.927815944021	1	NAMRIL	Z001
Z001E0155	333.055452880739	1	NAMRIL	Z001
Z001E0156	282.972433546336	1	NAMRIL	Z001
Z001E0157	337.515609366062	1	NAMRIL	Z001
Z001E0158	242.400118533077	1	NAMRIL	Z001
Z001E0159	252.468047106917	1	NAMRIL	Z001
Z001E0160	204.515005213102	1	NAMRIL	Z001
Z001E0161	170.220923587138	1	NAMRIL	Z001
Z001E0162	240.798075190046	1	NAMRIL	Z001
Z001E0163	267.018111805683	1	NAMRIL	Z001
Z001E0164	266.3174313978	1	NAMRIL	Z001
Z001E0165	312.226565097599	1	NAMRIL	Z001
Z001E0166	324.683543169326	1	NAMRIL	Z001
Z001E0167	366.031774094315	1	NAMRIL	Z001
Z001E0168	337.308380968098	1	NAMRIL	Z001
Z001E0169	204.143136564965	1	NAMRIL	Z001
Z001E0170	268.38235728286	1	NAMRIL	Z001
Z001E0171	392.090782584341	1	NAMRIL	Z001
Z001E0172	396.719409621091	1	NAMRIL	Z001
Z001E0173	314.324177723026	1	NAMRIL	Z001
Z001E0174	407.354880556977	1	NAMRIL	Z001
Z001E0175	295.050235754877	1	NAMRIL	Z001
Z001E0176	283.511557429392	1	NAMRIL	Z001
Z001E0177	409.925577064582	1	NAMRIL	Z001
Z001E0178	363.633406326981	1	NAMRIL	Z001
Z001E0179	423.768868600422	1	NAMRIL	Z001
Z001E0180	351.939848559565	1	NAMRIL	Z001
Z001E0181	352.940000669573	1	NAMRIL	Z001
Z001E0182	295.973546425498	1	NAMRIL	Z001
Z001E0183	289.479057838019	1	NAMRIL	Z001
Z001E0184	399.704890386147	1	NAMRIL	Z001
Z001E0185	348.870765300014	1	NAMRIL	Z001
Z001E0186	259.670952497278	1	NAMRIL	Z001
Z001E0187	320.981160469757	1	NAMRIL	Z001
Z001E0188	333.204349221849	1	NAMRIL	Z001
Z001E0189	342.364066666455	1	NAMRIL	Z001
Z001E0190	236.822150558595	1	NAMRIL	Z001
Z001E0191	326.050088165384	1	NAMRIL	Z001
Z001E0192	317.750280406205	1	NAMRIL	Z001
Z001E0193	348.107363981073	1	NAMRIL	Z001
Z001E0194	322.61010160461	1	NAMRIL	Z001
Z001E0195	256.798306918642	1	NAMRIL	Z001
Z001E0196	277.458187082684	1	NAMRIL	Z001
Z001E0197	289.953270890992	1	NAMRIL	Z001
Z001E0198	322.035759110712	1	NAMRIL	Z001
Z001E0199	182.161902633947	1	NAMRIL	Z001
Z001E0200	394.99150600652	1	NAMRIL	Z001
Z001E0201	377.141188630545	1	NAMRIL	Z001
Z001E0202	218.807600967658	1	NAMRIL	Z001
Z001E0262	226.449296333396	1	NAMRIL	Z001
Z001E0274	381.744675871376	1	NAMRIL	Z001
Z001E0279	82.7977811819687	1	NAMRIL	Z001
Z002E0001	263.578612349547	1	NAMRIL	Z002
Z002E0002	308.564902609423	1	NAMRIL	Z002
Z002E0003	292.565612853563	1	NAMRIL	Z002
Z002E0004	303.670001789538	1	NAMRIL	Z002
Z002E0005	272.181133886067	1	NAMRIL	Z002
Z002E0006	189.431542104862	1	NAMRIL	Z002
Z002E0007	312.494404996843	1	NAMRIL	Z002
Z002E0008	366.664470248995	1	NAMRIL	Z002
Z002E0009	169.037407362759	1	NAMRIL	Z002
Z002E0010	239.939070136865	1	NAMRIL	Z002
Z002E0011	297.975582465415	1	NAMRIL	Z002
Z002E0012	288.206006720657	1	NAMRIL	Z002
Z002E0013	304.471243608223	1	NAMRIL	Z002
Z002E0014	311.597552396213	1	NAMRIL	Z002
Z002E0015	228.947485730784	1	NAMRIL	Z002
