Genotype,KRN,KC,TKW,AKW,CD,CW,CL
B73,16.4085875352379,326.326236911681,83.0349384342618,0.252545051436898,27.0160235351124,23.822284920699,146.944400356505
B97,12.9227469769789,177.558410700818,59.6185484487999,0.32897377471607,23.6096344958113,12.7530985756585,111.661844355365
CML103,13.4044303420816,196.158335961917,41.51133438328,0.228043105820581,23.4966509452417,14.3699380174868,144.54441243181
CML228,11.922231459627,102.820803745278,27.3968115781737,0.252041471929795,21.9531959837255,11.2478336705835,127.609379816211
CML247,13.6272581459417,157.846766963156,33.2899186709276,0.20734267977413,22.0689381570861,11.4908467733617,102.869311401537
CML277,10.9061972369239,56.0386479526693,13.9825122788476,0.222694331866459,22.0501100542511,9.34664979411355,80.9183047801326
CML322,14.9416132974878,150.85262653538,32.629713343418,0.23434069876374,25.8566009340303,15.240678217287,112.906732027158
CML333,11.6054664000798,78.7091692819893,17.5391459962843,0.236518840366446,23.6644074029433,11.8420320923809,91.7024173277027
CML52,9.96923666854619,168.207079141489,17.2159449471195,0.120896604754998,21.5514361087114,9.22279731731727,115.242881005677
CML69,11.0519916761264,85.9356684283522,18.0771707685547,0.206528758667282,24.220353772164,12.8967622477342,102.291985022817
HP301,13.3653157821201,113.586149447402,11.457793907388,0.128659188432051,21.0702756749162,8.62338074123041,115.101938759564
IL14H,13.1739599196765,132.081725049972,30.8921176570358,0.231643492040115,20.0392926947456,6.59411506812808,90.950987038834
KI11,11.7711384289474,118.227402728785,28.8217097664763,0.232977133957528,27.6548881883757,20.928762511248,114.312109559958
KI3,12.0340596617674,83.5714970844131,8.25804774122079,0.122624889624694,22.0364424629144,11.3972123735423,119.000336409399
KY21,13.2139965001241,223.648940735537,50.286274479004,0.224779078689612,23.4979306582232,15.7907073660744,126.372414012129
M162W,13.256531322173,123.974291841682,43.0433706146946,0.313064404363146,21.5869079748796,8.60813341913211,89.8260286043729
M37W,12.2778677484095,215.268216407689,54.8086477524283,0.251479985068148,24.5649361484766,15.629143768649,129.416252844768
MO17,10.5714239413404,220.694328705328,64.814498683934,0.288136296023404,20.4920957747526,15.8076842126118,174.813622441553
MO18W,14.6696164821985,156.584197238157,35.2499186709276,0.22684267977413,23.7587326226401,9.58728133414155,113.032668949483
MS71,14.8857317075927,170.14867996889,37.9184761322053,0.228977946233868,22.2480653723595,15.0476532647148,109.094683729584
NC350,13.3504047304931,86.7942744726479,19.5680304517319,0.216945230347444,20.230928961228,6.43111847584397,89.8921793749861
NC358,10.7460129827554,175.555073386019,43.8289344497856,0.251438101554935,21.5543323076352,12.701124875146,125.931213784015
OH43,15.3153083154289,275.007438467112,72.8701296083122,0.253543214568745,24.7388761610068,24.4709283194733,179.836604270079
OH7B,13.6696653275,161.186876178216,33.4447213457412,0.207732327377732,20.0440954748796,9.48063341913217,119.953341104373
P39,13.025093930666,91.8186111176479,17.5605304524819,0.182361897022444,18.7590329230893,5.08824776958192,106.709457633549
TX303,13.4828458008769,197.893114257997,68.3047796455275,0.347648693186387,22.5475368058096,10.5852407645837,109.567854096296
TZI8,13.8404780638384,72.0491183970844,10.6804761417957,0.177208226387836,23.739291328791,9.04575497500028,100.67569579433
