Genotype	CL	Fix
Z016xZ020	173.785555555555	1
Z016xZ021	195.188888888888	1
Z016xZ022	205.561853104761	1
Z016xZ023	219.140555555555	1
Z016xZ024	203.224444444444	1
Z016xZ025	193.948888888888	1
Z016xZ026	209.669999999999	1
Z017xZ020	220.330552644673	1
Z017xZ021	208.203333333333	1
Z017xZ022	237.629999999999	1
Z017xZ023	237.793333333333	1
Z017xZ024	219.652777777777	1
Z017xZ025	216.318888888888	1
Z018xZ020	187.771989375085	1
Z018xZ026	169.28037108866	1
Z019xZ021	197.069444444444	1
Z019xZ022	211.425739375085	1
Z019xZ024	208.50111111111	1
Z020xZ021	178.749999999999	1
Z020xZ022	205.877810454607	1
Z020xZ023	223.985555555555	1
Z020xZ024	182.734444444444	1
Z020xZ025	180.23040849993	1
Z020xZ026	197.628888888888	1
Z021xZ021	126.034076266666	1
Z021xZ022	205.347222222221	1
Z021xZ024	179.053118571624	1
Z021xZ025	172.786666666666	1
Z022xZ023	224.864444444444	1
Z022xZ024	206.698790833676	1
Z023xZ023	131.774547143053	1
Z023xZ025	190.752222222221	1
Z023xZ026	197.138583235334	1
Z024xZ025	188.793333333333	1
Z024xZ026	204.753333333333	1
Z025xZ026	187.766666666666	1
