Genotype	TKW	Fix
B73xZ001	219.180000000008	1
B73xZ002	216.012222222224	1
B73xZ003	237.531111111114	1
B73xZ005	239.251111111114	1
B73xZ006	190.295555555557	1
B73xZ007	192.031111111116	1
B73xZ008	213.977252932086	1
B73xZ009	198.177777777777	1
B73xZ010	109.423333333343	1
B73xZ011	118.193333333331	1
B73xZ012	245.234444444448	1
B73xZ013	208.433333333336	1
B73xZ014	249.623333333335	1
B73xZ016	210.461365401467	1
B73xZ017	252.996062222881	1
B73xZ018	220.755555555557	1
B73xZ020	233.814444444447	1
B73xZ021	132.955115945567	1
B73xZ022	172.110555555555	1
B73xZ023	163.963333333334	1
B73xZ024	140.701117222139	1
B73xZ025	287.133333333333	1
B73xZ026	229.356666666669	1
Z001xZ002	210.974204544945	1
Z001xZ003	214.882222222224	1
Z001xZ005	224.161111111113	1
Z001xZ006	185.77888888889	1
Z001xZ010	86.1066666666649	1
Z001xZ011	185.377777777781	1
Z001xZ012	236.367749841644	1
Z001xZ014	243.728948496815	1
Z001xZ016	224.642222222222	1
Z001xZ017	198.449999999999	1
Z001xZ019	173.391666666669	1
Z001xZ020	186.21277777778	1
Z001xZ021	201.225000000003	1
Z001xZ022	161.461111111111	1
Z001xZ023	175.790000000002	1
Z001xZ024	99.8233333333407	1
Z001xZ025	213.614423157789	1
Z002xZ002	186.656561286494	1
Z002xZ003	168.26118417161	1
Z002xZ005	196.260000000002	1
Z002xZ006	190.977222222226	1
Z002xZ007	145.54055555556	1
Z002xZ010	146.34	1
Z002xZ011	125.402789863915	1
Z002xZ012	197.835000000002	1
Z002xZ013	149.097777777787	1
Z002xZ014	208.018390555721	1
Z002xZ015	212.347772026223	1
Z002xZ016	215.318913061153	1
Z002xZ017	234.892222222224	1
Z002xZ019	159.733333333333	1
Z002xZ020	170.835555555558	1
Z002xZ021	181.715555555558	1
Z002xZ022	177.926666666666	1
Z002xZ024	130.196536967997	1
Z002xZ025	163.267777777776	1
Z002xZ026	206.551111111113	1
Z003xZ006	141.707777777782	1
Z003xZ007	111.504444444443	1
Z003xZ008	51.9844444444446	1
Z003xZ009	108.994395556211	1
Z003xZ010	133.974444444447	1
Z003xZ011	167.201515555722	1
Z003xZ012	187.646515555722	1
Z003xZ013	113.320311286492	1
Z003xZ015	216.852222222225	1
Z003xZ021	175.117777777782	1
Z003xZ022	190.65666666667	1
Z003xZ026	190.905265555721	1
Z005xZ006	128.885555555555	1
Z005xZ007	119.332222222227	1
Z005xZ008	46.8599999999977	1
Z005xZ009	118.125555555557	1
Z005xZ012	100.639536732101	1
Z005xZ013	178.874444444445	1
Z005xZ014	205.353333333337	1
Z005xZ015	214.456666666669	1
Z005xZ016	103.47600732034	1
Z005xZ017	283.321111111112	1
Z005xZ018	107.201111111117	1
Z005xZ019	261.116727641034	1
Z005xZ020	128.724444444445	1
Z005xZ022	235.60777777778	1
Z005xZ024	140.712222222226	1
Z005xZ025	165.541889673282	1
Z005xZ026	107.207765555724	1
Z006xZ007	133.28388888889	1
Z006xZ008	93.7300000000018	1
Z006xZ009	104.687163421109	1
Z006xZ010	141.984444444447	1
Z006xZ012	109.981666666669	1
Z006xZ013	161.231111111114	1
Z006xZ014	214.133464127361	1
Z006xZ015	199.74666666667	1
Z006xZ017	216.980000000003	1
Z006xZ018	166.503333333334	1
Z006xZ019	190.572222222225	1
Z006xZ021	167.716595555635	1
Z006xZ022	181.699015555721	1
Z006xZ024	132.124571227626	1
Z006xZ025	204.726787368373	1
Z006xZ026	165.404663421107	1
Z007xZ008	83.332222222224	1
Z007xZ010	100.371111111112	1
Z007xZ011	148.053333333335	1
Z007xZ012	106.515555555557	1
Z007xZ013	144.296666666671	1
Z007xZ014	200.010000000003	1
Z007xZ015	190.044444444447	1
Z007xZ017	220.706666666669	1
Z007xZ018	121.574444444444	1
Z007xZ021	151.598333333335	1
Z007xZ022	204.955555555557	1
Z007xZ023	146.752777777779	1
Z007xZ024	108.273333333335	1
Z007xZ025	206.501111111114	1
Z007xZ026	127.904423157789	1
Z008xZ009	30.7238158284	1
Z008xZ012	62.4307115119898	1
Z008xZ013	80.5362451459726	1
Z008xZ014	198.484444444446	1
Z008xZ016	60.3065612864913	1
Z008xZ017	175.444444444447	1
Z008xZ018	102.162222222223	1
Z008xZ020	89.1335686548448	1
Z008xZ023	156.430000000004	1
Z008xZ025	159.633333333336	1
Z008xZ026	86.8027777777786	1
Z009xZ012	90.9665155557237	1
Z009xZ014	197.452728889548	1
Z009xZ015	187.417765555722	1
Z009xZ016	77.4955555555552	1
Z009xZ017	204.640000000002	1
Z009xZ020	104.574444444447	1
Z009xZ024	136.516666666668	1
Z009xZ025	188.080000000002	1
Z009xZ026	148.104015555723	1
Z010xZ016	142.988888888891	1
Z010xZ017	171.46666666667	1
Z010xZ020	112.343333333337	1
Z010xZ021	124.501111111115	1
Z010xZ022	106.780000000001	1
Z010xZ024	64.9692829405545	1
Z010xZ025	159.598888888891	1
Z011xZ012	191.52777777778	1
Z011xZ017	132.366666666668	1
Z011xZ019	124.003333333336	1
Z011xZ020	141.850265555722	1
Z011xZ021	135.984444444447	1
Z011xZ022	157.480311286495	1
Z012xZ013	123.94306614387	1
Z012xZ015	221.40317315779	1
Z012xZ017	226.455555555558	1
Z012xZ018	94.9256731577933	1
Z012xZ021	161.552765555722	1
Z012xZ022	199.856515555723	1
Z012xZ025	173.573333333335	1
Z012xZ026	142.671515555724	1
Z013xZ015	211.886007320342	1
Z013xZ016	136.43489269879	1
Z013xZ018	167.513464127362	1
Z013xZ021	179.523333333336	1
Z013xZ023	137.364015555723	1
Z013xZ024	113.950659248244	1
Z013xZ025	200.069444444447	1
Z013xZ026	174.11333333334	1
Z014xZ016	232.352750970809	1
Z014xZ017	275.162765555721	1
Z014xZ019	221.816666666669	1
Z014xZ020	224.915091555821	1
Z014xZ021	221.694242614459	1
Z014xZ022	215.833333333336	1
Z014xZ023	205.804444444447	1
Z014xZ024	145.22777777778	1
Z014xZ025	266.302477908577	1
Z014xZ026	231.566605692306	1
Z015xZ015	3.49750970808719	1
Z015xZ018	224.723333333336	1
Z015xZ020	197.184444444447	1
Z015xZ021	167.523333333337	1
Z015xZ023	221.235555555558	1
Z015xZ025	272.525555555558	1
Z015xZ026	194.386788615396	1
Z016xZ017	196.942222222224	1
Z016xZ018	143.775555555558	1
Z016xZ019	200.423888888891	1
Z016xZ020	111.588888888892	1
Z016xZ021	169.211111111113	1
