Genotype	TKW	Fix
Z016xZ022	170.562035555933	1
Z016xZ023	165.585555555558	1
Z016xZ024	91.2765612864938	1
Z016xZ025	221.293888888891	1
Z016xZ026	160.709444444446	1
Z017xZ020	196.41637353396	1
Z017xZ021	206.135555555558	1
Z017xZ022	184.186666666669	1
Z017xZ023	209.765555555558	1
Z017xZ024	132.568333333336	1
Z017xZ025	267.865555555558	1
Z018xZ020	133.235555555558	1
Z018xZ026	129.414420272184	1
Z019xZ021	184.638333333336	1
Z019xZ022	155.136666666669	1
Z019xZ024	119.027811286495	1
Z020xZ021	140.894000000002	1
Z020xZ022	171.890461473772	1
Z020xZ023	169.101111111113	1
Z020xZ024	64.4978021053888	1
Z020xZ025	187.895750970809	1
Z020xZ026	145.97777777778	1
Z021xZ021	44.9927288895468	1
Z021xZ022	170.546111111113	1
Z021xZ024	111.709997226271	1
Z021xZ025	194.851111111114	1
Z022xZ023	159.425555555558	1
Z022xZ024	92.6212451459723	1
Z023xZ023	29.3278508382758	1
Z023xZ025	197.283333333336	1
Z023xZ026	181.026111111113	1
Z024xZ025	131.154444444447	1
Z024xZ026	144.150000000002	1
Z025xZ026	241.061111111113	1
