Genotype	TKW	Fix	pop$	FID$
Z001E0100	54.7342241964977	1	NAMRIL	Z001
Z001E0101	60.6587037036907	1	NAMRIL	Z001
Z001E0102	60.1331100688498	1	NAMRIL	Z001
Z001E0103	69.7829741965134	1	NAMRIL	Z001
Z001E0104	73.9473810070704	1	NAMRIL	Z001
Z001E0105	52.7905917901106	1	NAMRIL	Z001
Z001E0106	83.5346698989198	1	NAMRIL	Z001
Z001E0107	68.4914433974304	1	NAMRIL	Z001
Z001E0108	56.8366814974196	1	NAMRIL	Z001
Z001E0109	62.9616814974247	1	NAMRIL	Z001
Z001E0110	74.6009056743656	1	NAMRIL	Z001
Z001E0111	78.7031975195608	1	NAMRIL	Z001
Z001E0112	59.3254224734359	1	NAMRIL	Z001
Z001E0113	63.1550575302489	1	NAMRIL	Z001
Z001E0114	82.5167241964756	1	NAMRIL	Z001
Z001E0115	67.1735991964935	1	NAMRIL	Z001
Z001E0116	79.9067241965006	1	NAMRIL	Z001
Z001E0117	77.823110068849	1	NAMRIL	Z001
Z001E0118	63.4302529259962	1	NAMRIL	Z001
Z001E0119	91.2124832338634	1	NAMRIL	Z001
Z001E0120	80.9473957831371	1	NAMRIL	Z001
Z001E0121	60.8067241964956	1	NAMRIL	Z001
Z001E0122	59.8271163295544	1	NAMRIL	Z001
Z001E0123	76.6523957831499	1	NAMRIL	Z001
Z001E0124	52.7489118052805	1	NAMRIL	Z001
Z001E0125	67.8166814974274	1	NAMRIL	Z001
Z001E0126	67.0345386402931	1	NAMRIL	Z001
Z001E0127	60.8750599244901	1	NAMRIL	Z001
Z001E0128	72.9751637804085	1	NAMRIL	Z001
Z001E0129	64.7790476737466	1	NAMRIL	Z001
Z001E0130	69.4055917901077	1	NAMRIL	Z001
Z001E0131	82.9588243545809	1	NAMRIL	Z001
Z001E0132	33.6584739605492	1	NAMRIL	Z001
Z001E0133	66.4188243545706	1	NAMRIL	Z001
Z001E0134	50.7476338788548	1	NAMRIL	Z001
Z001E0135	67.6059672116977	1	NAMRIL	Z001
Z001E0136	62.7866814974217	1	NAMRIL	Z001
Z001E0137	90.1452529260178	1	NAMRIL	Z001
Z001E0138	61.139538640285	1	NAMRIL	Z001
