Genotype	CD	Fix
Z015xZ018	30.3466666666666	1
Z015xZ020	26.1322222222222	1
Z015xZ021	27.03	1
Z015xZ023	25.1288888888888	1
Z015xZ025	28.9522222222222	1
Z015xZ026	30.566014705568	1
Z016xZ017	24.7055555555555	1
Z016xZ018	30.9022222222221	1
Z016xZ019	26.6077777777777	1
Z016xZ020	24.3438888888888	1
Z016xZ021	25.4499999999999	1
Z016xZ022	26.0016020429458	1
Z016xZ023	26.4061111111111	1
Z016xZ024	24.49	1
Z016xZ025	30.3566666666666	1
Z016xZ026	29.1044444444444	1
Z017xZ020	23.9171516140565	1
Z017xZ021	23.4833333333333	1
Z017xZ022	23.8949999999999	1
Z017xZ023	23.4877777777777	1
Z017xZ024	23.3505555555555	1
Z017xZ025	27.9122222222221	1
Z018xZ020	26.2433333333333	1
Z018xZ026	28.4450448107881	1
Z019xZ021	25.2838888888888	1
Z019xZ022	25.6866666666666	1
Z019xZ024	25.271111111111	1
Z020xZ021	24.5273333333333	1
Z020xZ022	25.4130592060922	1
Z020xZ023	24.4666666666666	1
Z020xZ024	21.1388888888889	1
Z020xZ025	28.2376348732984	1
Z020xZ026	25.7444444444444	1
Z021xZ021	21.1011369084885	1
Z021xZ022	26.1116666666666	1
Z021xZ024	24.7674717905755	1
Z021xZ025	27.0622222222222	1
Z022xZ023	26.4644444444444	1
Z022xZ024	23.6093256335073	1
Z023xZ023	18.3867575048613	1
Z023xZ025	27.7766666666666	1
Z023xZ026	27.1905555555555	1
Z024xZ025	25.4977777777777	1
Z024xZ026	25.2799999999999	1
Z025xZ026	33.8211111111111	1
