trait,mdom,madd,pval,diff,qval
KRN,0.677023196963983,0.669846337882172,0.598033956982893,0.00717685908181076,1
CD,0.75539882507023,0.737211095388626,0.136398638989011,0.0181877296816044,0.954790472923078
AKW,0.715765335606268,0.613255721980224,2.34704360035519e-09,0.102509613626044,1.64293052024863e-08
CL,0.561181722445775,0.491648158941139,5.75407665571505e-07,0.069533563504636,4.02785365900054e-06
CW,0.728616741689784,0.698444800681198,0.0673476458570072,0.0301719410085862,0.471433520999051
KC,0.688774471887555,0.613678850399213,1.89520702275325e-07,0.0750956214883421,1.32664491592728e-06
TKW,0.733191518364832,0.621435046285854,3.10287666812865e-15,0.111756472078978,2.17201366769005e-14
