file,r,trait,mode,rand,cv
akw_add_ran5_cv1.ghatREL1,0.85854696737728,akw,add,5,1
akw_add_ran5_cv2.ghatREL1,0.502221174461348,akw,add,5,2
akw_add_ran5_cv3.ghatREL1,0.568225646775895,akw,add,5,3
akw_add_ran5_cv4.ghatREL1,0.700985859542255,akw,add,5,4
akw_add_ran5_cv5.ghatREL1,0.738904820373429,akw,add,5,5
akw_add_ran6_cv1.ghatREL1,0.819363710723554,akw,add,6,1
akw_add_ran6_cv2.ghatREL1,0.60308464954994,akw,add,6,2
akw_add_ran6_cv3.ghatREL1,0.784166548540179,akw,add,6,3
akw_add_ran6_cv4.ghatREL1,0.476033305460167,akw,add,6,4
akw_add_ran6_cv5.ghatREL1,0.692340298938438,akw,add,6,5
akw_add_ran7_cv1.ghatREL1,0.420096363980743,akw,add,7,1
akw_add_ran7_cv2.ghatREL1,0.715754348621514,akw,add,7,2
akw_add_ran7_cv3.ghatREL1,0.574472996987744,akw,add,7,3
akw_add_ran7_cv4.ghatREL1,0.764847436021865,akw,add,7,4
akw_add_ran7_cv5.ghatREL1,0.742135033584517,akw,add,7,5
akw_add_ran8_cv1.ghatREL1,0.640438822673605,akw,add,8,1
akw_add_ran8_cv2.ghatREL1,0.771902800931619,akw,add,8,2
akw_add_ran8_cv3.ghatREL1,0.831613591306299,akw,add,8,3
akw_add_ran8_cv4.ghatREL1,0.319455365723186,akw,add,8,4
akw_add_ran8_cv5.ghatREL1,0.80173105316455,akw,add,8,5
akw_add_ran9_cv1.ghatREL1,0.533823872029831,akw,add,9,1
akw_add_ran9_cv2.ghatREL1,0.751640729484305,akw,add,9,2
akw_add_ran9_cv3.ghatREL1,0.577431225075097,akw,add,9,3
akw_add_ran9_cv4.ghatREL1,0.808190909779135,akw,add,9,4
akw_add_ran9_cv5.ghatREL1,0.676084655807903,akw,add,9,5
akw_dom_ran10_cv1.ghatREL1,0.598569635911484,akw,dom,10,1
akw_dom_ran10_cv2.ghatREL1,0.809344472191646,akw,dom,10,2
akw_dom_ran10_cv3.ghatREL1,0.865841020706939,akw,dom,10,3
akw_dom_ran10_cv4.ghatREL1,0.8433942150137,akw,dom,10,4
akw_dom_ran10_cv5.ghatREL1,0.873969935187159,akw,dom,10,5
akw_dom_ran11_cv1.ghatREL1,0.784294380329166,akw,dom,11,1
akw_dom_ran11_cv2.ghatREL1,0.864798330964794,akw,dom,11,2
akw_dom_ran11_cv3.ghatREL1,0.796307844390258,akw,dom,11,3
akw_dom_ran11_cv4.ghatREL1,0.829918233457867,akw,dom,11,4
akw_dom_ran11_cv5.ghatREL1,0.755909459656021,akw,dom,11,5
akw_dom_ran12_cv1.ghatREL1,0.759310664386608,akw,dom,12,1
akw_dom_ran12_cv2.ghatREL1,0.768561284894089,akw,dom,12,2
akw_dom_ran12_cv3.ghatREL1,0.851861541919725,akw,dom,12,3
akw_dom_ran12_cv4.ghatREL1,0.798015564756948,akw,dom,12,4
akw_dom_ran12_cv5.ghatREL1,0.809808171435499,akw,dom,12,5
akw_dom_ran13_cv1.ghatREL1,0.797150182655576,akw,dom,13,1
akw_dom_ran13_cv2.ghatREL1,0.81174767817863,akw,dom,13,2
akw_dom_ran13_cv3.ghatREL1,0.841418104034265,akw,dom,13,3
akw_dom_ran13_cv4.ghatREL1,0.817755813702916,akw,dom,13,4
akw_dom_ran13_cv5.ghatREL1,0.724910025889757,akw,dom,13,5
akw_dom_ran14_cv1.ghatREL1,0.830966802576695,akw,dom,14,1
akw_dom_ran14_cv2.ghatREL1,0.697922535127945,akw,dom,14,2
akw_dom_ran14_cv3.ghatREL1,0.751901917759357,akw,dom,14,3
akw_dom_ran14_cv4.ghatREL1,0.811547584773985,akw,dom,14,4
akw_dom_ran14_cv5.ghatREL1,0.894621150163132,akw,dom,14,5
akw_dom_ran15_cv1.ghatREL1,0.76829761903562,akw,dom,15,1
akw_dom_ran15_cv2.ghatREL1,0.885772580379774,akw,dom,15,2
akw_dom_ran15_cv3.ghatREL1,0.888446600971091,akw,dom,15,3
akw_dom_ran15_cv4.ghatREL1,0.681019383832791,akw,dom,15,4
akw_dom_ran15_cv5.ghatREL1,0.698542970378702,akw,dom,15,5
akw_dom_ran16_cv1.ghatREL1,0.912532937343277,akw,dom,16,1
akw_dom_ran16_cv2.ghatREL1,0.826026439432244,akw,dom,16,2
akw_dom_ran16_cv3.ghatREL1,0.821663430520344,akw,dom,16,3
akw_dom_ran16_cv4.ghatREL1,0.517711625416603,akw,dom,16,4
akw_dom_ran16_cv5.ghatREL1,0.868374916839969,akw,dom,16,5
akw_dom_ran17_cv1.ghatREL1,0.845030592505735,akw,dom,17,1
akw_dom_ran17_cv2.ghatREL1,0.762828734820737,akw,dom,17,2
akw_dom_ran17_cv3.ghatREL1,0.800266985473449,akw,dom,17,3
akw_dom_ran17_cv4.ghatREL1,0.85506788100037,akw,dom,17,4
akw_dom_ran17_cv5.ghatREL1,0.594997121818838,akw,dom,17,5
akw_dom_ran18_cv1.ghatREL1,0.829991038631808,akw,dom,18,1
akw_dom_ran18_cv2.ghatREL1,0.863135428822565,akw,dom,18,2
akw_dom_ran18_cv3.ghatREL1,0.838542235417984,akw,dom,18,3
akw_dom_ran18_cv4.ghatREL1,0.830706707177713,akw,dom,18,4
akw_dom_ran18_cv5.ghatREL1,0.524786836052694,akw,dom,18,5
akw_dom_ran19_cv1.ghatREL1,0.838286519041568,akw,dom,19,1
akw_dom_ran19_cv2.ghatREL1,0.852609168966796,akw,dom,19,2
akw_dom_ran19_cv3.ghatREL1,0.730041692029672,akw,dom,19,3
akw_dom_ran19_cv4.ghatREL1,0.713279124649767,akw,dom,19,4
akw_dom_ran19_cv5.ghatREL1,0.805354837037905,akw,dom,19,5
akw_dom_ran1_cv1.ghatREL1,0.788078952926643,akw,dom,1,1
akw_dom_ran1_cv2.ghatREL1,0.636986669289475,akw,dom,1,2
akw_dom_ran1_cv3.ghatREL1,0.862101040796371,akw,dom,1,3
akw_dom_ran1_cv4.ghatREL1,0.879484414834039,akw,dom,1,4
akw_dom_ran1_cv5.ghatREL1,0.708422297104281,akw,dom,1,5
akw_dom_ran20_cv1.ghatREL1,0.714557552846968,akw,dom,20,1
akw_dom_ran20_cv2.ghatREL1,0.845205139640437,akw,dom,20,2
akw_dom_ran20_cv3.ghatREL1,0.73742772236815,akw,dom,20,3
akw_dom_ran20_cv4.ghatREL1,0.854184732410013,akw,dom,20,4
akw_dom_ran20_cv5.ghatREL1,0.844244669782654,akw,dom,20,5
akw_dom_ran2_cv1.ghatREL1,0.894203206279434,akw,dom,2,1
akw_dom_ran2_cv2.ghatREL1,0.714130653185718,akw,dom,2,2
akw_dom_ran2_cv3.ghatREL1,0.763973892582531,akw,dom,2,3
akw_dom_ran2_cv4.ghatREL1,0.843342122877708,akw,dom,2,4
akw_dom_ran2_cv5.ghatREL1,0.770989495591434,akw,dom,2,5
akw_dom_ran3_cv1.ghatREL1,0.834448140726488,akw,dom,3,1
akw_dom_ran3_cv2.ghatREL1,0.816417012023511,akw,dom,3,2
akw_dom_ran3_cv3.ghatREL1,0.801488369760427,akw,dom,3,3
akw_dom_ran3_cv4.ghatREL1,0.733803620691739,akw,dom,3,4
akw_dom_ran3_cv5.ghatREL1,0.745887550129637,akw,dom,3,5
akw_dom_ran4_cv1.ghatREL1,0.8522520839695,akw,dom,4,1
akw_dom_ran4_cv2.ghatREL1,0.815237541692162,akw,dom,4,2
akw_dom_ran4_cv3.ghatREL1,0.858984835736987,akw,dom,4,3
akw_dom_ran4_cv4.ghatREL1,0.620224877409926,akw,dom,4,4
akw_dom_ran4_cv5.ghatREL1,0.835061556343906,akw,dom,4,5
akw_dom_ran5_cv1.ghatREL1,0.902561906020356,akw,dom,5,1
akw_dom_ran5_cv2.ghatREL1,0.656052370487468,akw,dom,5,2
akw_dom_ran5_cv3.ghatREL1,0.782203196797311,akw,dom,5,3
akw_dom_ran5_cv4.ghatREL1,0.796664621279753,akw,dom,5,4
akw_dom_ran5_cv5.ghatREL1,0.835279929422389,akw,dom,5,5
akw_dom_ran6_cv1.ghatREL1,0.849266287022207,akw,dom,6,1
akw_dom_ran6_cv2.ghatREL1,0.749011835031908,akw,dom,6,2
akw_dom_ran6_cv3.ghatREL1,0.887163796563904,akw,dom,6,3
akw_dom_ran6_cv4.ghatREL1,0.687477527928292,akw,dom,6,4
akw_dom_ran6_cv5.ghatREL1,0.785018703341677,akw,dom,6,5
akw_dom_ran7_cv1.ghatREL1,0.609864347061703,akw,dom,7,1
akw_dom_ran7_cv2.ghatREL1,0.85471436286799,akw,dom,7,2
akw_dom_ran7_cv3.ghatREL1,0.754026067319992,akw,dom,7,3
akw_dom_ran7_cv4.ghatREL1,0.837208935430134,akw,dom,7,4
akw_dom_ran7_cv5.ghatREL1,0.844015047594998,akw,dom,7,5
akw_dom_ran8_cv1.ghatREL1,0.764991269823938,akw,dom,8,1
akw_dom_ran8_cv2.ghatREL1,0.830279491830099,akw,dom,8,2
akw_dom_ran8_cv3.ghatREL1,0.890616832471459,akw,dom,8,3
akw_dom_ran8_cv4.ghatREL1,0.462463644214387,akw,dom,8,4
akw_dom_ran8_cv5.ghatREL1,0.874363674058336,akw,dom,8,5
akw_dom_ran9_cv1.ghatREL1,0.725350962808448,akw,dom,9,1
akw_dom_ran9_cv2.ghatREL1,0.843521929712314,akw,dom,9,2
akw_dom_ran9_cv3.ghatREL1,0.757635817802345,akw,dom,9,3
akw_dom_ran9_cv4.ghatREL1,0.864462074487584,akw,dom,9,4
akw_dom_ran9_cv5.ghatREL1,0.787120348161747,akw,dom,9,5
cd_add_ran10_cv1.ghatREL1,0.841861261639278,cd,add,10,1
cd_add_ran10_cv2.ghatREL1,0.874925153030297,cd,add,10,2
cd_add_ran10_cv3.ghatREL1,0.928221341632973,cd,add,10,3
cd_add_ran10_cv4.ghatREL1,0.864138856129719,cd,add,10,4
cd_add_ran10_cv5.ghatREL1,0.864919825116269,cd,add,10,5
cd_add_ran11_cv1.ghatREL1,0.776852500826658,cd,add,11,1
cd_add_ran11_cv2.ghatREL1,0.923784811434896,cd,add,11,2
cd_add_ran11_cv3.ghatREL1,0.897998265911603,cd,add,11,3
cd_add_ran11_cv4.ghatREL1,0.912653665845356,cd,add,11,4
cd_add_ran11_cv5.ghatREL1,0.852721724759268,cd,add,11,5
cd_add_ran12_cv1.ghatREL1,0.885200448041598,cd,add,12,1
cd_add_ran12_cv2.ghatREL1,0.91052732630348,cd,add,12,2
cd_add_ran12_cv3.ghatREL1,0.934138811796966,cd,add,12,3
cd_add_ran12_cv4.ghatREL1,0.902906513600086,cd,add,12,4
cd_add_ran12_cv5.ghatREL1,0.715891754967253,cd,add,12,5
cd_add_ran13_cv1.ghatREL1,0.856838998250789,cd,add,13,1
cd_add_ran13_cv2.ghatREL1,0.912995488489192,cd,add,13,2
cd_add_ran13_cv3.ghatREL1,0.852114899979139,cd,add,13,3
cd_add_ran13_cv4.ghatREL1,0.91284535409186,cd,add,13,4
cd_add_ran13_cv5.ghatREL1,0.796702333773149,cd,add,13,5
cd_add_ran14_cv1.ghatREL1,0.912268353306307,cd,add,14,1
cd_add_ran14_cv2.ghatREL1,0.835938218874357,cd,add,14,2
cd_add_ran14_cv3.ghatREL1,0.812664784684457,cd,add,14,3
cd_add_ran14_cv4.ghatREL1,0.923009493767938,cd,add,14,4
cd_add_ran14_cv5.ghatREL1,0.86153548062777,cd,add,14,5
cd_add_ran15_cv1.ghatREL1,0.882160877726027,cd,add,15,1
cd_add_ran15_cv2.ghatREL1,0.907294228947902,cd,add,15,2
cd_add_ran15_cv3.ghatREL1,0.890446265733984,cd,add,15,3
cd_add_ran15_cv4.ghatREL1,0.814681286616789,cd,add,15,4
cd_add_ran15_cv5.ghatREL1,0.864004977495782,cd,add,15,5
cd_add_ran16_cv1.ghatREL1,0.855919197007148,cd,add,16,1
cd_add_ran16_cv2.ghatREL1,0.89373942259409,cd,add,16,2
cd_add_ran16_cv3.ghatREL1,0.899342309281889,cd,add,16,3
cd_add_ran16_cv4.ghatREL1,0.814615988740628,cd,add,16,4
cd_add_ran16_cv5.ghatREL1,0.917341240828485,cd,add,16,5
cd_add_ran17_cv1.ghatREL1,0.902759739838739,cd,add,17,1
cd_add_ran17_cv2.ghatREL1,0.80088783002664,cd,add,17,2
cd_add_ran17_cv3.ghatREL1,0.927906612854258,cd,add,17,3
cd_add_ran17_cv4.ghatREL1,0.861059638733991,cd,add,17,4
cd_add_ran17_cv5.ghatREL1,0.875899592478468,cd,add,17,5
cd_add_ran18_cv1.ghatREL1,0.899374010354606,cd,add,18,1
cd_add_ran18_cv2.ghatREL1,0.865003501144203,cd,add,18,2
cd_add_ran18_cv3.ghatREL1,0.94795365561537,cd,add,18,3
cd_add_ran18_cv4.ghatREL1,0.911637115895864,cd,add,18,4
