file,r,trait,mode,rand,cv
akw_add_ran10_cv1.ghatREL1,0.619775069050122,akw,add,10,1
akw_add_ran10_cv2.ghatREL1,0.593367526190162,akw,add,10,2
akw_add_ran10_cv3.ghatREL1,0.234919527218656,akw,add,10,3
akw_add_ran10_cv4.ghatREL1,0.772762059643499,akw,add,10,4
akw_add_ran10_cv5.ghatREL1,0.662050598354548,akw,add,10,5
akw_add_ran11_cv1.ghatREL1,0.751442301746346,akw,add,11,1
akw_add_ran11_cv2.ghatREL1,0.739807516353761,akw,add,11,2
akw_add_ran11_cv3.ghatREL1,0.691397339892463,akw,add,11,3
akw_add_ran11_cv4.ghatREL1,0.652939994849001,akw,add,11,4
akw_add_ran11_cv5.ghatREL1,0.624981621557586,akw,add,11,5
akw_add_ran12_cv1.ghatREL1,0.405426391400201,akw,add,12,1
akw_add_ran12_cv2.ghatREL1,0.775883727547409,akw,add,12,2
akw_add_ran12_cv3.ghatREL1,0.575563459455694,akw,add,12,3
akw_add_ran12_cv4.ghatREL1,0.739438518479544,akw,add,12,4
akw_add_ran12_cv5.ghatREL1,0.53156473665716,akw,add,12,5
akw_add_ran13_cv1.ghatREL1,0.671001182839511,akw,add,13,1
akw_add_ran13_cv2.ghatREL1,0.490967529448851,akw,add,13,2
akw_add_ran13_cv3.ghatREL1,0.700305545904288,akw,add,13,3
akw_add_ran13_cv4.ghatREL1,0.679591353037391,akw,add,13,4
akw_add_ran13_cv5.ghatREL1,0.315818995851962,akw,add,13,5
akw_add_ran14_cv1.ghatREL1,0.520535779190041,akw,add,14,1
akw_add_ran14_cv2.ghatREL1,0.562747890983889,akw,add,14,2
akw_add_ran14_cv3.ghatREL1,0.330062450212062,akw,add,14,3
akw_add_ran14_cv4.ghatREL1,0.598113916382837,akw,add,14,4
akw_add_ran14_cv5.ghatREL1,0.606680543195414,akw,add,14,5
akw_add_ran15_cv1.ghatREL1,0.671531522306524,akw,add,15,1
akw_add_ran15_cv2.ghatREL1,0.707721014657268,akw,add,15,2
akw_add_ran15_cv3.ghatREL1,0.744078376342777,akw,add,15,3
akw_add_ran15_cv4.ghatREL1,0.419322407417622,akw,add,15,4
akw_add_ran15_cv5.ghatREL1,0.575715868247324,akw,add,15,5
akw_add_ran16_cv1.ghatREL1,0.503370266129914,akw,add,16,1
akw_add_ran16_cv2.ghatREL1,0.661272443335652,akw,add,16,2
akw_add_ran16_cv3.ghatREL1,0.757028509953773,akw,add,16,3
akw_add_ran16_cv4.ghatREL1,0.595355055595332,akw,add,16,4
akw_add_ran16_cv5.ghatREL1,0.643844750046366,akw,add,16,5
akw_add_ran17_cv1.ghatREL1,0.658077864215604,akw,add,17,1
akw_add_ran17_cv2.ghatREL1,0.713486919124656,akw,add,17,2
akw_add_ran17_cv3.ghatREL1,0.69843781931238,akw,add,17,3
akw_add_ran17_cv4.ghatREL1,0.398934465247189,akw,add,17,4
akw_add_ran17_cv5.ghatREL1,0.624839869345437,akw,add,17,5
akw_add_ran18_cv1.ghatREL1,0.835224821318784,akw,add,18,1
akw_add_ran18_cv2.ghatREL1,0.774325559285658,akw,add,18,2
akw_add_ran18_cv3.ghatREL1,0.670189717355751,akw,add,18,3
akw_add_ran18_cv4.ghatREL1,0.360825689687752,akw,add,18,4
akw_add_ran18_cv5.ghatREL1,0.639792767792431,akw,add,18,5
akw_add_ran19_cv1.ghatREL1,0.576869745921803,akw,add,19,1
akw_add_ran19_cv2.ghatREL1,0.530440489319336,akw,add,19,2
akw_add_ran19_cv3.ghatREL1,0.57887824418889,akw,add,19,3
akw_add_ran19_cv4.ghatREL1,0.667111884780479,akw,add,19,4
akw_add_ran19_cv5.ghatREL1,0.705316904331201,akw,add,19,5
akw_add_ran1_cv1.ghatREL1,0.315818995851962,akw,add,1,1
akw_add_ran1_cv2.ghatREL1,0.72621745526897,akw,add,1,2
