trait,mdom,madd,pval,diff,qval
KRN,0.857405367258438,0.846914930661251,0.0440266301075888,0.0104904365971877,0.308186410753122
CD,0.890813353659901,0.873686343245029,0.00185240792386851,0.0171270104148712,0.0129668554670796
AKW,0.789456330882031,0.665621832802833,2.7232212313989e-13,0.123834498079197,1.90625486197923e-12
CL,0.64181288695418,0.560039385189317,3.68201526799873e-06,0.0817735017648633,2.57741068759911e-05
CW,0.855369021632608,0.816338136225499,3.91357546900402e-05,0.0390308854071095,0.000273950282830282
KC,0.767043930828266,0.689031866780058,1.58222281183696e-08,0.0780120640482079,1.10755596828587e-07
TKW,0.807958575692634,0.684813621234384,7.05537085231508e-16,0.12314495445825,4.93875959662056e-15
