Genotype,KC,TKW,AKW,Note,RIL
B73 x Z016E0254,543.8333333,148.6783333,0.27305332,Bx,Z016E0254
B73 x Z018E0023,459.8333333,151.43,0.330637446,Bx,Z018E0023
B73 x Z018E0027,577.1388068,156.2980892,0.275477584,Bx,Z018E0027
B73 x Z018E0030,549.847017,147.057723,0.269489898,Bx,Z018E0030
B73 x Z018E0032,488.097017,117.062723,0.242177836,Bx,Z018E0032
B73 x Z018E0039,533.9388068,148.8420892,0.28126732,Bx,Z018E0039
B73 x Z018E0042,589,153.625,0.277793259,Bx,Z018E0042
B73 x Z018E0049,637.5,186.375,0.29296494,Bx,Z018E0049
B73 x Z018E0053,707.6666667,228.3033333,0.324905868,Bx,Z018E0053
B73 x Z018E0061,458.1388068,148.5700892,0.33240196,Bx,Z018E0061
B73 x Z018E0067,698.6666667,213.215,0.307546036,Bx,Z018E0067
B73 x Z018E0077,663.5388068,203.3760892,0.305539365,Bx,Z018E0077
B73 x Z018E0078,605.6611932,177.9739108,0.29319394,Bx,Z018E0078
B73 x Z018E0096,585.6666667,180.985,0.310380237,Bx,Z018E0096
B73 x Z018E0114,468.9388068,136.2160892,0.302157344,Bx,Z018E0114
B73 x Z018E0121,402.6666667,128.3316667,0.321647506,Bx,Z018E0121
B73 x Z018E0122,437.3388068,129.1000892,0.287280789,Bx,Z018E0122
B73 x Z018E0130,561.597017,144.652723,0.255244613,Bx,Z018E0130
B73 x Z018E0138,638.9388068,182.8500892,0.285413931,Bx,Z018E0138
B73 x Z018E0139,477.9388068,149.9620892,0.311822209,Bx,Z018E0139
B73 x Z018E0141,635.3388068,193.1320892,0.309049962,Bx,Z018E0141
B73 x Z018E0148,586.6666667,165.7533333,0.283092985,Bx,Z018E0148
B73 x Z018E0150,491.6666667,150.1816667,0.308085419,Bx,Z018E0150
B73 x Z018E0158,558.7388068,177.2580892,0.321027188,Bx,Z018E0158
B73 x Z018E0160,493.564678,182.833482,0.392894848,Bx,Z018E0160
B73 x Z018E0163,534.347017,149.050223,0.282664328,Bx,Z018E0163
B73 x Z018E0164,599.5388068,167.9700892,0.280243021,Bx,Z018E0164
B73 x Z018E0171,577.3388068,175.4400892,0.302593892,Bx,Z018E0171
B73 x Z018E0172,487.1388068,142.1940892,0.302817405,Bx,Z018E0172
B73 x Z018E0173,609,168.2116667,0.276120265,Bx,Z018E0173
B73 x Z018E0177,418.9388068,144.5960892,0.351686471,Bx,Z018E0177
B73 x Z018E0179,542.1388068,171.2360892,0.313496637,Bx,Z018E0179
B73 x Z019E0004,518.435322,149.236518,0.28757364,Bx,Z019E0004
B73 x Z019E0032,550,152.085,0.278351168,Bx,Z019E0032
B73 x Z019E0069,557.8333333,162.5783333,0.292419608,Bx,Z019E0069
B73 x Z019E0075,597.1666667,202.0233333,0.340729488,Bx,Z019E0075
B73 x Z019E0111,557.3333333,165.4566667,0.294905277,Bx,Z019E0111
B73 x Z019E0119,420.564678,141.7468154,0.335688365,Bx,Z019E0119
B73 x Z019E0124,626.5,200.595,0.320490358,Bx,Z019E0124
B73 x Z019E0125,433.3388068,128.4920892,0.299633518,Bx,Z019E0125
B73 x Z019E0138,695,207.4816667,0.299527728,Bx,Z019E0138
B73 x Z019E0170,253.597017,75.55272303,0.274223547,Bx,Z019E0170
B73 x Z019E0177,536.7388068,163.4440892,0.30333623,Bx,Z019E0177
B73 x Z019E0178,446.5,139.4816667,0.312899631,Bx,Z019E0178
B73 x Z019E0194,555.5388068,144.9280892,0.26361141,Bx,Z019E0194
B73 x Z019E0226,522.8333333,153.6266667,0.293252079,Bx,Z019E0226
B73 x Z020E0009,736.3059659,228.9095539,0.311076026,Bx,Z020E0009
B73 x Z020E0012,447.6666667,125.855,0.288222138,Bx,Z020E0012
B73 x Z020E0015,380.6666667,92.99833333,0.253669814,Bx,Z020E0015
B73 x Z020E0019,529.9388068,144.4800892,0.27765817,Bx,Z020E0019
B73 x Z020E0025,477.097017,122.107723,0.251461443,Bx,Z020E0025
B73 x Z020E0027,464.9388068,132.4240892,0.285437764,Bx,Z020E0027
B73 x Z020E0029,382.5388068,118.7640892,0.311324353,Bx,Z020E0029
B73 x Z020E0032,444.3333333,114.975,0.262962363,Bx,Z020E0032
B73 x Z020E0034,632.5,169.3033333,0.269267241,Bx,Z020E0034
B73 x Z020E0038,517.1666667,145.2733333,0.284436801,Bx,Z020E0038
B73 x Z020E0039,531.6666667,130.5133333,0.24786389,Bx,Z020E0039
B73 x Z020E0041,605.5388068,191.0940892,0.314225076,Bx,Z020E0041
B73 x Z020E0043,522.1666667,137.7466667,0.263687709,Bx,Z020E0043
B73 x Z020E0047,582,170.7383333,0.291516729,Bx,Z020E0047
B73 x Z020E0049,523.3333333,169.8783333,0.32653184,Bx,Z020E0049
B73 x Z020E0050,718.8333333,198.8816667,0.276212836,Bx,Z020E0050
B73 x Z020E0056,649.597017,174.160223,0.267537777,Bx,Z020E0056
B73 x Z020E0057,493.1019886,132.8031846,0.277542745,Bx,Z020E0057
B73 x Z020E0059,716.75,178.71,0.249193481,Bx,Z020E0059
B73 x Z020E0062,586,144.3866667,0.246691847,Bx,Z020E0062
B73 x Z020E0069,549,163.1766667,0.299357689,Bx,Z020E0069
B73 x Z020E0075,540.3333333,157.8633333,0.299739704,Bx,Z020E0075
B73 x Z020E0077,286.564678,88.26014869,0.317043651,Bx,Z020E0077
B73 x Z020E0090,598.3333333,162.5066667,0.275380311,Bx,Z020E0090
B73 x Z020E0099,577.1666667,162.1083333,0.282072186,Bx,Z020E0099
B73 x Z020E0103,518.8333333,135.6283333,0.263578913,Bx,Z020E0103
B73 x Z020E0106,569.8611932,149.2079108,0.261680094,Bx,Z020E0106
B73 x Z020E0117,394.6666667,122.5066667,0.327362695,Bx,Z020E0117
B73 x Z020E0120,708.8333333,199.9416667,0.284181879,Bx,Z020E0120
B73 x Z020E0122,570.1388068,169.5220892,0.295143096,Bx,Z020E0122
B73 x Z020E0152,496.5,152.5766667,0.307652324,Bx,Z020E0152
B73 x Z020E0155,658.6666667,174.2783333,0.265369047,Bx,Z020E0155
B73 x Z020E0159,533.1388068,156.8880892,0.2984403,Bx,Z020E0159
B73 x Z021E0014,512.6666667,153.7483333,0.311505985,Bx,Z021E0014
B73 x Z021E0022,479.5388068,131.1060892,0.274168809,Bx,Z021E0022
B73 x Z021E0025,463.1666667,134.495,0.291207576,Bx,Z021E0025
B73 x Z021E0028,730.847017,178.220223,0.243931029,Bx,Z021E0028
B73 x Z021E0034,621.1388068,182.8340892,0.295263474,Bx,Z021E0034
B73 x Z021E0040,482.5,136.74,0.286961989,Bx,Z021E0040
B73 x Z021E0042,612.1666667,160.2733333,0.261761291,Bx,Z021E0042
B73 x Z021E0050,614.1666667,203.4,0.330311117,Bx,Z021E0050
B73 x Z021E0051,581.3388068,160.1260892,0.276161759,Bx,Z021E0051
B73 x Z021E0052,452.1388068,140.2800892,0.32028823,Bx,Z021E0052
B73 x Z021E0053,508.6666667,148.675,0.294273963,Bx,Z021E0053
B73 x Z021E0054,385.847017,120.720223,0.317709061,Bx,Z021E0054
B73 x Z021E0057,491.6940341,140.0137794,0.284178494,Bx,Z021E0057
B73 x Z021E0060,371.1666667,104.46,0.277710718,Bx,Z021E0060
B73 x Z021E0061,579.1666667,159.2416667,0.275943996,Bx,Z021E0061
B73 x Z021E0066,511.7388068,151.3420892,0.294061859,Bx,Z021E0066
B73 x Z021E0082,559.5,157.7133333,0.282590271,Bx,Z021E0082
B73 x Z021E0088,507.1666667,166.0433333,0.326382147,Bx,Z021E0088
B73 x Z021E0090,473,138.5116667,0.292446684,Bx,Z021E0090
B73 x Z021E0096,532.1666667,158.1316667,0.296228023,Bx,Z021E0096
B73 x Z021E0121,533.597017,157.975223,0.296799429,Bx,Z021E0121
B73 x Z021E0130,481.8333333,138.5116667,0.296336503,Bx,Z021E0130
B73 x Z021E0146,465.7388068,155.8100892,0.33434265,Bx,Z021E0146
B73 x Z021E0147,437.5,141.03,0.321918582,Bx,Z021E0147
B73 x Z021E0148,686.9388068,188.7980892,0.274912376,Bx,Z021E0148
B73 x Z021E0152,592.097017,196.012723,0.331254684,Bx,Z021E0152
B73 x Z021E0156,561.1388068,158.1100892,0.28450226,Bx,Z021E0156
B73 x Z021E0161,521.3333333,153.4616667,0.301135585,Bx,Z021E0161
B73 x Z021E0169,475.1666667,141.8733333,0.296204948,Bx,Z021E0169
B73 x Z021E0175,536.5,144.9416667,0.271098559,Bx,Z021E0175
B73 x Z021E0178,498.5388068,145.1700892,0.291711885,Bx,Z021E0178
B73 x Z021E0181,621.3388068,167.6120892,0.270643608,Bx,Z021E0181
B73 x Z021E0182,525.5,147.9566667,0.282792594,Bx,Z021E0182
B73 x Z021E0192,419.097017,101.935223,0.244587251,Bx,Z021E0192
B73 x Z021E0195,608,207.68,0.343883807,Bx,Z021E0195
B73 x Z022E0003,578.097017,182.360223,0.314115162,Bx,Z022E0003
B73 x Z022E0006,581.3333333,171.355,0.296385955,Bx,Z022E0006
B73 x Z022E0115,599.3333333,156.515,0.260998737,Bx,Z022E0115
B73 x Z023E0017,634,184.205,0.290952999,Bx,Z023E0017
B73 x Z023E0044,497.5,138.7716667,0.296508079,Bx,Z023E0044
B73 x Z023E0056,569.1940341,133.8104461,0.236354419,Bx,Z023E0056
B73 x Z023E0075,366.3388068,124.8800892,0.3573929,Bx,Z023E0075
B73 x Z023E0085,579.8333333,163.15,0.281786333,Bx,Z023E0085
B73 x Z024E0009,333.564678,106.0201487,0.319105112,Bx,Z024E0009
B73 x Z024E0017,423.6392993,111.1795539,0.262866367,Bx,Z024E0017
B73 x Z024E0033,523.3388068,169.6840892,0.319055379,Bx,Z024E0033
B73 x Z024E0044,578.9388068,144.1040892,0.255427471,Bx,Z024E0044
B73 x Z024E0058,566.6940341,153.7471127,0.270393599,Bx,Z024E0058
B73 x Z024E0083,490.3333333,145.7633333,0.302750381,Bx,Z024E0083
B73 x Z024E0118,506,131.57,0.26229892,Bx,Z024E0118
B73 x Z024E0120,399.847017,127.375223,0.321916029,Bx,Z024E0120
B73 x Z024E0152,567.3333333,138.1883333,0.241838089,Bx,Z024E0152
B73 x Z024E0158,378.1388068,112.1140892,0.298188584,Bx,Z024E0158
B73 x Z024E0195,262.597017,76.89522303,0.288753459,Bx,Z024E0195
B73 x Z024E0203,406.1388068,100.5900892,0.256240241,Bx,Z024E0203
B73 x Z024E0212,358.4611932,96.05591079,0.273550512,Bx,Z024E0212
B73 x Z025E0055,565.1666667,181.265,0.322430243,Bx,Z025E0055
B73 x Z025E0088,433.1388068,162.3560892,0.380166399,Bx,Z025E0088
B73 x Z025E0106,509.8333333,166.2433333,0.331217136,Bx,Z025E0106
B73 x Z025E0113,683.3607007,216.9804461,0.317794501,Bx,Z025E0113
B73 x Z025E0123,618.097017,183.812723,0.296041011,Bx,Z025E0123
B73 x Z025E0124,605.3333333,190.165,0.317627014,Bx,Z025E0124
B73 x Z025E0140,490.6940341,130.1437794,0.269051595,Bx,Z025E0140
B73 x Z025E0195,450.75,142.8975,0.317512317,Bx,Z025E0195
B73 x Z025E0197,543.75,176.445,0.33119094,Bx,Z025E0197
B73 x Z025E0218,551.3388068,192.8680892,0.352864008,Bx,Z025E0218
B73 x Z025E0238,674.5,187.0133333,0.277656171,Bx,Z025E0238
B73 x Z026E0001,351.9388068,102.7080892,0.298271143,Bx,Z026E0001
B73 x Z026E0006,458.097017,137.500223,0.295932076,Bx,Z026E0006
B73 x Z026E0010,525.25,147.2525,0.285721999,Bx,Z026E0010
B73 x Z026E0013,479.7388068,145.7700892,0.306370517,Bx,Z026E0013
B73 x Z026E0020,471.6666667,141.2033333,0.299473956,Bx,Z026E0020
B73 x Z026E0022,547.6940341,178.3437794,0.324504971,Bx,Z026E0022
B73 x Z026E0034,486.347017,153.092723,0.31457682,Bx,Z026E0034
B73 x Z026E0035,474.3388068,134.6860892,0.295394593,Bx,Z026E0035
B73 x Z026E0041,433.3333333,132.2216667,0.299950973,Bx,Z026E0041
B73 x Z026E0053,523.8333333,143.99,0.276053528,Bx,Z026E0053
B73 x Z026E0054,350.5388068,120.7920892,0.351660574,Bx,Z026E0054
B73 x Z026E0061,122.3388068,47.30808921,0.383149508,Bx,Z026E0061
B73 x Z026E0068,522.097017,170.375223,0.326074791,Bx,Z026E0068
B73 x Z026E0072,590.6666667,175.9933333,0.297913201,Bx,Z026E0072
B73 x Z026E0077,523,162.155,0.309865376,Bx,Z026E0077
B73 x Z026E0080,505.1666667,141.8566667,0.285177633,Bx,Z026E0080
B73 x Z026E0085,474.8333333,148.9133333,0.316570053,Bx,Z026E0085
B73 x Z026E0088,662.7388068,196.2440892,0.295239625,Bx,Z026E0088
B73 x Z026E0100,518.9388068,151.2100892,0.289961957,Bx,Z026E0100
B73 x Z026E0116,560.8333333,175.9116667,0.314522729,Bx,Z026E0116
B73 x Z026E0123,564.9388068,149.6820892,0.261421264,Bx,Z026E0123
B73 x Z026E0124,500.6666667,168.7883333,0.340893771,Bx,Z026E0124
B73 x Z026E0125,568.5388068,167.0060892,0.292404183,Bx,Z026E0125
B73 x Z026E0126,443.1388068,123.4060892,0.282766782,Bx,Z026E0126
B73 x Z026E0141,493.3388068,145.9360892,0.293755621,Bx,Z026E0141
B73 x Z026E0149,611.5,179.2083333,0.293658426,Bx,Z026E0149
B73 x Z026E0152,519.1666667,156.8833333,0.299625364,Bx,Z026E0152
B73 x Z026E0153,338.347017,97.32022303,0.304235568,Bx,Z026E0153
B73 x Z026E0156,461.597017,141.220223,0.310434587,Bx,Z026E0156
B73 x Z026E0162,515.7388068,140.9760892,0.265211842,Bx,Z026E0162
B73 x Z026E0165,394.5,127.825,0.327567032,Bx,Z026E0165
B73 x Z026E0197,530.347017,153.165223,0.298832726,Bx,Z026E0197
B73 x Z026E0198,450.6666667,113.9466667,0.265875284,Bx,Z026E0198
B73 x Z026E0199,511.5,176.7275,0.359022954,Bx,Z026E0199
B73@,291.214527,77.90473406,0.273339464,B73,B73
Z001E0004@,263,71.4425,0.271181411,RIL,Z001E0004
Z001E0006@,251.8333333,75.945,0.309156188,RIL,Z001E0006
Z001E0030@,290,66.685,0.23591752,RIL,Z001E0030
Z001E0038@,341.8611932,85.30791079,0.249720972,RIL,Z001E0038
Z001E0078@,374,84.77166667,0.225282128,RIL,Z001E0078
Z001E0101@,224.5,58.79833333,0.266525385,RIL,Z001E0101
Z001E0112@,132.1940341,33.80044607,0.242658519,RIL,Z001E0112
Z001E0128@,481.9726326,101.6562206,0.209958402,RIL,Z001E0128
Z001E0128@,381.3607007,87.82044607,0.231131127,RIL,Z001E0128
Z001E0170@,261.5,76.965,0.297206382,RIL,Z001E0170
Z002E0023@,240.597017,71.55522303,0.296847286,RIL,Z002E0023
Z002E0116@,79.23134468,23.58014869,0.287476254,RIL,Z002E0116
Z002E0126@,171.8059659,45.99955393,0.272098305,RIL,Z002E0126
Z002E0136@,165.6940341,54.28544607,0.323310168,RIL,Z002E0136
Z002E0152@,115.402983,30.38977697,0.282924041,RIL,Z002E0152
Z002E0156@,167.3059659,53.77455393,0.329532429,RIL,Z002E0156
Z002E0159@,179.6940341,57.42044607,0.311716475,RIL,Z002E0159
Z002E0175@,70.69403405,31.13044607,0.39909246,RIL,Z002E0175
Z002E0187@,110.3059659,36.77955393,0.353759255,RIL,Z002E0187
Z002E0193@,143.1940341,41.38544607,0.292165287,RIL,Z002E0193
Z002E0197@,232.6666667,62.12333333,0.272841018,RIL,Z002E0197
Z003E0008@,74.80596595,17.30455393,0.240941291,RIL,Z003E0008
Z003E0008@,187.1940341,56.76044607,0.297116912,RIL,Z003E0008
Z003E0022@,93.46119319,23.17591079,0.251576357,RIL,Z003E0022
Z003E0071@,171.6940341,65.27044607,0.363721668,RIL,Z003E0071
Z003E0212@,65.30596595,13.55955393,0.212711461,RIL,Z003E0212
Z004E0001@,262.1940341,82.41044607,0.310051423,RIL,Z004E0001
Z004E0005@,173.3607007,39.5337794,0.231044235,RIL,Z004E0005
Z004E0021@,273,75.22666667,0.282531552,RIL,Z004E0021
Z004E0027@,282.6666667,63.54,0.233778501,RIL,Z004E0027
Z004E0043@,375.3059659,100.2595539,0.268167439,RIL,Z004E0043
Z004E0046@,176.5,38.07833333,0.210732788,RIL,Z004E0046
Z004E0049@,187.435322,47.36318464,0.253121454,RIL,Z004E0049
Z004E0054@,182.564678,40.62348202,0.221792532,RIL,Z004E0054
Z004E0058@,379.597017,78.55522303,0.212178358,RIL,Z004E0058
Z004E0061@,300.3388068,61.92008921,0.22511502,RIL,Z004E0061
Z004E0069@,295.5388068,82.49008921,0.272570988,RIL,Z004E0069
Z004E0071@,109.3059659,29.28288727,0.286226431,RIL,Z004E0071
Z004E0081@,204.6940341,50.60044607,0.24526329,RIL,Z004E0081
Z004E0083@,179.7388068,52.49608921,0.29110283,RIL,Z004E0083
Z004E0096@,181.902983,55.36727697,0.31346816,RIL,Z004E0096
Z004E0098@,385.6666667,103.8566667,0.280462107,RIL,Z004E0098
Z004E0102@,144.6940341,51.16044607,0.340436892,RIL,Z004E0102
Z004E0111@,166,42.185,0.257879383,RIL,Z004E0111
Z004E0115@,217.3607007,60.7937794,0.277307151,RIL,Z004E0115
Z004E0126@,331.6666667,74.575,0.227401489,RIL,Z004E0126
Z004E0136@,116.7686553,27.48651798,0.238365008,RIL,Z004E0136
Z004E0141@,114.9726326,35.79288727,0.327570882,RIL,Z004E0141
Z004E0161@,194.1388068,58.90208921,0.317124315,RIL,Z004E0161
Z004E0162@,122.1940341,38.98544607,0.308798298,RIL,Z004E0162
Z004E0175@,225.7388068,60.88808921,0.265824007,RIL,Z004E0175
Z004E0190@,144.5,39.1325,0.270550553,RIL,Z004E0190
Z004E0191@,229.8333333,51.78,0.227598587,RIL,Z004E0191
Z004E0199@,254.1388068,54.44208921,0.225452237,RIL,Z004E0199
Z004E0208@,101.6940341,25.37044607,0.243421061,RIL,Z004E0208
Z004E0232@,172.8059659,38.60455393,0.223329743,RIL,Z004E0232
Z005E0012@,131.1388068,39.64208921,0.288823734,RIL,Z005E0012
Z005E0013@,233.75,74.4825,0.324007065,RIL,Z005E0013
Z005E0014@,170.6940341,63.94711273,0.367767866,RIL,Z005E0014
Z005E0027@,282.5,68.12,0.23942034,RIL,Z005E0027
Z005E0042@,165.5,41.4675,0.255222916,RIL,Z005E0042
Z005E0043@,206.1019886,55.11318464,0.264592489,RIL,Z005E0043
Z005E0055@,151.2313447,44.38681536,0.289314007,RIL,Z005E0055
Z005E0063@,72.19403405,20.55044607,0.264448982,RIL,Z005E0063
Z005E0066@,153.5,46.285,0.28942772,RIL,Z005E0066
Z005E0075@,118.1940341,47.67044607,0.407426221,RIL,Z005E0075
Z005E0079@,307.5,79.94,0.264974265,RIL,Z005E0079
Z005E0083@,256.1940341,75.71544607,0.29182021,RIL,Z005E0083
Z005E0093@,319.3059659,86.58955393,0.277324352,RIL,Z005E0093
Z005E0096@,230,67.75,0.29384949,RIL,Z005E0096
Z005E0097@,262.6940341,94.21044607,0.351845062,RIL,Z005E0097
Z005E0099@,118.6940341,41.71044607,0.336255478,RIL,Z005E0099
Z005E0100@,103.5,32.9275,0.314795145,RIL,Z005E0100
Z005E0111@,162.2313447,45.69348202,0.284411687,RIL,Z005E0111
Z005E0112@,186,48.25,0.266998528,RIL,Z005E0112
Z005E0113@,202.1666667,62.28666667,0.313052487,RIL,Z005E0113
Z005E0117@,137.6392993,40.55288727,0.309910498,RIL,Z005E0117
Z005E0139@,190.347017,57.78522303,0.297927198,RIL,Z005E0139
Z005E0149@,180.097017,45.79022303,0.255124075,RIL,Z005E0149
Z005E0155@,114.097017,42.17272303,0.35761072,RIL,Z005E0155
Z005E0173@,301.1666667,87.37833333,0.290291031,RIL,Z005E0173
Z006E0012@,233.8611932,45.38191079,0.190810906,RIL,Z006E0012
Z006E0016@,276.3333333,79.90333333,0.287373267,RIL,Z006E0016
Z006E0027@,205.1940341,54.90044607,0.266804306,RIL,Z006E0027
Z006E0028@,435.3059659,141.4595539,0.327470904,RIL,Z006E0028
Z006E0041@,203.1019886,52.75651798,0.262424091,RIL,Z006E0041
Z006E0088@,421.8333333,108.5683333,0.259881062,RIL,Z006E0088
Z006E0124@,321.5,80.725,0.266447441,RIL,Z006E0124
Z006E0125@,220.7388068,48.76008921,0.238648494,RIL,Z006E0125
Z006E0154@,157.0273674,45.14711273,0.282428868,RIL,Z006E0154
Z006E0171@,212.5,64.85666667,0.31103003,RIL,Z006E0171
Z006E0189@,203.847017,60.31272303,0.310799661,RIL,Z006E0189
Z006E0193@,317.347017,100.430223,0.315720128,RIL,Z006E0193
Z006E0196@,179.4611932,50.31791079,0.252289256,RIL,Z006E0196
Z007E0015@,97.69403405,27.38044607,0.269975864,RIL,Z007E0015
Z007E0117@,117.3059659,40.35955393,0.364312451,RIL,Z007E0117
Z008E0006@,99.19403405,25.31544607,0.239126517,RIL,Z008E0006
Z008E0009@,192.5388068,67.06408921,0.362710728,RIL,Z008E0009
Z008E0013@,236.402983,58.49477697,0.248454177,RIL,Z008E0013
Z008E0017@,123.6666667,30.35833333,0.235366512,RIL,Z008E0017
Z008E0040@,163.6392993,42.66955393,0.266452316,RIL,Z008E0040
Z008E0041@,227.152983,81.60977697,0.361948602,RIL,Z008E0041
Z008E0047@,84.30596595,21.59955393,0.269184851,RIL,Z008E0047
Z008E0054@,184.8059659,46.53455393,0.251282162,RIL,Z008E0054
Z008E0056@,130.402983,33.02977697,0.251748024,RIL,Z008E0056
Z008E0062@,88,19.44333333,0.220960517,RIL,Z008E0062
Z008E0064@,341.3607007,91.25044607,0.266199398,RIL,Z008E0064
Z008E0075@,171.3388068,59.93208921,0.347184787,RIL,Z008E0075
Z008E0093@,124.1019886,41.41651798,0.337974327,RIL,Z008E0093
Z008E0094@,117.0273674,34.6837794,0.285950551,RIL,Z008E0094
Z008E0099@,169.597017,40.03272303,0.249249508,RIL,Z008E0099
Z008E0123@,190,49.545,0.259943642,RIL,Z008E0123
Z008E0127@,227.9388068,55.19808921,0.232042115,RIL,Z008E0127
Z008E0134@,104,36.515,0.347883856,RIL,Z008E0134
Z008E0139@,260.597017,63.87022303,0.250157793,RIL,Z008E0139
Z008E0141@,303.3333333,81.37666667,0.272453205,RIL,Z008E0141
Z008E0143@,88.30596595,20.15455393,0.235622044,RIL,Z008E0143
Z008E0177@,253.6666667,64.575,0.255697221,RIL,Z008E0177
Z008E0183@,311.6666667,80.245,0.259351647,RIL,Z008E0183
Z008E0193@,190.6940341,63.19044607,0.323264627,RIL,Z008E0193
Z009E0015@,100.3059659,28.43955393,0.298194817,RIL,Z009E0015
Z009E0025@,263.25,67.6475,0.24979176,RIL,Z009E0025
Z009E0031@,229.4611932,71.17791079,0.312763535,RIL,Z009E0031
Z009E0051@,254.8333333,63.68833333,0.271490156,RIL,Z009E0051
Z009E0055@,172.435322,44.38318464,0.258205459,RIL,Z009E0055
Z009E0063@,118.7388068,27.35808921,0.236654487,RIL,Z009E0063
Z009E0095@,229.6666667,60.30166667,0.265442933,RIL,Z009E0095
Z009E0114@,272,64.72166667,0.240903412,RIL,Z009E0114
Z009E0125@,123.8980114,35.62014869,0.284226899,RIL,Z009E0125
Z009E0133@,311.1388068,70.72408921,0.221383987,RIL,Z009E0133
Z009E0136@,164.7388068,46.36608921,0.282477999,RIL,Z009E0136
Z009E0137@,95.76865532,26.62651798,0.285125411,RIL,Z009E0137
Z009E0143@,101.564678,34.60348202,0.340024322,RIL,Z009E0143
Z009E0145@,171,43.775,0.2554,RIL,Z009E0145
Z009E0149@,268.6666667,70.78333333,0.264103498,RIL,Z009E0149
Z009E0150@,233.5,70.195,0.303121635,RIL,Z009E0150
Z009E0153@,151.25,42.3775,0.284688962,RIL,Z009E0153
Z009E0155@,281.902983,82.25727697,0.2973305,RIL,Z009E0155
Z009E0167@,134.4611932,43.88991079,0.331724981,RIL,Z009E0167
Z009E0169@,186,35.255,0.19870893,RIL,Z009E0169
Z009E0173@,218.2611932,60.09591079,0.280297179,RIL,Z009E0173
Z009E0176@,288.6666667,83.59166667,0.293219277,RIL,Z009E0176
Z009E0177@,90.43532198,25.71985131,0.301422193,RIL,Z009E0177
Z009E0178@,233.3333333,69.57666667,0.301514963,RIL,Z009E0178
Z009E0179@,108.5,29.58,0.271056166,RIL,Z009E0179
Z009E0193@,204.6940341,91.17044607,0.430514432,RIL,Z009E0193
Z009E0219@,163.3388068,35.01008921,0.208419254,RIL,Z009E0219
Z010E0002@,382.3059659,59.17955393,0.151390596,RIL,Z010E0002
Z010E0009@,122.847017,19.17022303,0.150667337,RIL,Z010E0009
Z010E0062@,82.56467802,11.86681536,0.144425616,RIL,Z010E0062
Z010E0141@,100.6940341,18.61044607,0.179473778,RIL,Z010E0141
Z010E0146@,430.2313447,102.8201487,0.239640347,RIL,Z010E0146
Z010E0182@,192.6940341,28.24044607,0.151323776,RIL,Z010E0182
Z011E0008@,218.3059659,66.25955393,0.309721265,RIL,Z011E0008
Z011E0009@,173.8059659,53.81455393,0.319575263,RIL,Z011E0009
Z011E0012@,90.30596595,23.45955393,0.272218685,RIL,Z011E0012
Z011E0062@,161,51.62,0.31317659,RIL,Z011E0062
Z011E0079@,337.6392993,85.15955393,0.253341392,RIL,Z011E0079
Z011E0144@,264.3059659,49.01955393,0.183333422,RIL,Z011E0144
Z011E0146@,226.564678,62.44681536,0.276901693,RIL,Z011E0146
Z011E0160@,131.847017,36.03522303,0.26839375,RIL,Z011E0160
Z011E0162@,169.3059659,48.35955393,0.292903745,RIL,Z011E0162
Z011E0169@,68.30596595,19.54955393,0.311687496,RIL,Z011E0169
Z011E0182@,83.02736738,21.7037794,0.247220633,RIL,Z011E0182
Z012E0008@,320.1388068,64.87608921,0.203032914,RIL,Z012E0008
Z012E0012@,243.3059659,53.66955393,0.220670191,RIL,Z012E0012
Z012E0012@,369.6940341,105.2804461,0.283298036,RIL,Z012E0012
Z012E0014@,141.6940341,40.21044607,0.276745552,RIL,Z012E0014
Z012E0026@,381.3059659,81.16955393,0.211727863,RIL,Z012E0026
Z012E0026@,383.6940341,97.56711273,0.239822342,RIL,Z012E0026
Z012E0042@,113.6940341,35.69044607,0.301661595,RIL,Z012E0042
Z012E0055@,310.847017,69.93272303,0.240944992,RIL,Z012E0055
Z012E0058@,89.30596595,23.04955393,0.270413422,RIL,Z012E0058
Z012E0098@,247.8333333,71.87666667,0.290154381,RIL,Z012E0098
Z012E0102@,305.847017,70.88022303,0.23308694,RIL,Z012E0102
Z012E0117@,198.597017,60.09272303,0.306625298,RIL,Z012E0117
Z012E0159@,200.3388068,47.30608921,0.267682053,RIL,Z012E0159
Z013E0060@,335.5388068,81.28808921,0.24403916,RIL,Z013E0060
Z013E0204@,112.9726326,34.54288727,0.312774222,RIL,Z013E0204
Z013E0207@,163.6940341,31.12044607,0.1917686,RIL,Z013E0207
Z013E0213@,129.6611932,32.51791079,0.244821836,RIL,Z013E0213
Z013E0216@,230.8611932,66.17191079,0.291102444,RIL,Z013E0216
Z013E0224@,96.33333333,26.91166667,0.27594781,RIL,Z013E0224
Z013E0227@,190.8333333,44.29,0.232224892,RIL,Z013E0227
Z013E0231@,134.3059659,28.15955393,0.210650662,RIL,Z013E0231
Z013E0232@,150.3059659,25.01955393,0.158342535,RIL,Z013E0232
Z013E0233@,51.69403405,14.19044607,0.256629002,RIL,Z013E0233
Z013E0234@,103.347017,20.35022303,0.197665369,RIL,Z013E0234
Z013E0238@,256.3059659,63.61455393,0.249858231,RIL,Z013E0238
Z013E0239@,101.6940341,24.15044607,0.232903819,RIL,Z013E0239
Z013E0251@,68.19403405,17.54044607,0.246426982,RIL,Z013E0251
Z013E0256@,177.652983,40.98227697,0.212528704,RIL,Z013E0256
