Genotype,KC,TKW,AKW,Note,RIL
B73 x Z004E0136,458.5388068,133.8360892,0.313117205,Bx,Z004E0136
B73 x Z004E0141,572.5388068,176.3240892,0.309774647,Bx,Z004E0141
B73 x Z004E0161,443.1666667,130.71,0.293578968,Bx,Z004E0161
B73 x Z004E0162,627.0273674,175.0471127,0.280973907,Bx,Z004E0162
B73 x Z004E0163,290.1388068,94.02208921,0.327678912,Bx,Z004E0163
B73 x Z004E0175,603.847017,200.097723,0.331120787,Bx,Z004E0175
B73 x Z004E0190,482.6940341,152.5871127,0.315057305,Bx,Z004E0190
B73 x Z004E0191,538.6611932,177.3159108,0.330130239,Bx,Z004E0191
B73 x Z004E0199,437.5,125.655,0.300608784,Bx,Z004E0199
B73 x Z004E0208,501.7388068,140.6160892,0.287210634,Bx,Z004E0208
B73 x Z004E0232,548.9388068,155.4360892,0.286544312,Bx,Z004E0232
B73 x Z005E0004,572.3388068,179.0720892,0.318677864,Bx,Z005E0004
B73 x Z005E0012,424.9388068,145.1100892,0.347879818,Bx,Z005E0012
B73 x Z005E0013,540.3333333,179.5516667,0.336542064,Bx,Z005E0013
B73 x Z005E0014,429.6666667,144.695,0.360582759,Bx,Z005E0014
B73 x Z005E0021,539.3388068,168.2780892,0.312458461,Bx,Z005E0021
B73 x Z005E0027,746.597017,210.327723,0.288341747,Bx,Z005E0027
B73 x Z005E0042,564.8333333,168.615,0.301028611,Bx,Z005E0042
B73 x Z005E0043,527.7388068,171.4400892,0.325075889,Bx,Z005E0043
B73 x Z005E0048,412.0273674,145.1504461,0.349363128,Bx,Z005E0048
B73 x Z005E0055,522.6666667,161.9883333,0.322391931,Bx,Z005E0055
B73 x Z005E0061,523.9388068,151.0580892,0.282560141,Bx,Z005E0061
B73 x Z005E0063,473.597017,157.757723,0.340453951,Bx,Z005E0063
B73 x Z005E0066,288.6940341,99.87711273,0.345588039,Bx,Z005E0066
B73 x Z005E0075,518.9388068,187.6860892,0.363082167,Bx,Z005E0075
B73 x Z005E0079,575.3333333,154.1333333,0.266312739,Bx,Z005E0079
B73 x Z005E0083,461.7388068,137.8220892,0.310900615,Bx,Z005E0083
B73 x Z005E0093,547.3333333,168.475,0.308135484,Bx,Z005E0093
B73 x Z005E0096,423.1019886,122.1998513,0.293865838,Bx,Z005E0096
B73 x Z005E0097,523.3388068,176.8280892,0.354108306,Bx,Z005E0097
B73 x Z005E0099,521.3333333,165.8066667,0.319001044,Bx,Z005E0099
B73 x Z005E0100,302.6940341,106.1954461,0.374865393,Bx,Z005E0100
B73 x Z005E0111,553.435322,171.0598513,0.312453572,Bx,Z005E0111
B73 x Z005E0112,571.6611932,189.1259108,0.331875453,Bx,Z005E0112
B73 x Z005E0113,494.6666667,147.5666667,0.298237704,Bx,Z005E0113
B73 x Z005E0117,447.1940341,158.6504461,0.354738144,Bx,Z005E0117
B73 x Z005E0119,453.597017,168.860223,0.373856584,Bx,Z005E0119
B73 x Z005E0139,570.7388068,192.8300892,0.336921176,Bx,Z005E0139
B73 x Z005E0149,549.75,156.765,0.288110632,Bx,Z005E0149
B73 x Z005E0155,444.5388068,148.7480892,0.345716845,Bx,Z005E0155
B73 x Z005E0158,513.9388068,156.9500892,0.309399204,Bx,Z005E0158
B73 x Z005E0173,540.6666667,174.9083333,0.327804328,Bx,Z005E0173
B73 x Z006E0012,487.5,123.285,0.25019172,Bx,Z006E0012
B73 x Z006E0016,607.6611932,175.8139108,0.291959227,Bx,Z006E0016
B73 x Z006E0027,532.1666667,142.32,0.269308737,Bx,Z006E0027
B73 x Z006E0028,556.5,172.8033333,0.314708587,Bx,Z006E0028
B73 x Z006E0041,544.3333333,177.5316667,0.325069798,Bx,Z006E0041
B73 x Z006E0088,578.7388068,165.2040892,0.281525661,Bx,Z006E0088
B73 x Z006E0124,417.7388068,104.0400892,0.23224334,Bx,Z006E0124
B73 x Z006E0125,482.9388068,131.9320892,0.269884037,Bx,Z006E0125
B73 x Z006E0147,376.097017,114.040223,0.299622205,Bx,Z006E0147
B73 x Z006E0154,672.3059659,179.3695539,0.266276036,Bx,Z006E0154
B73 x Z006E0160,571.597017,170.115223,0.297145137,Bx,Z006E0160
B73 x Z006E0171,584.1666667,170.0533333,0.291927989,Bx,Z006E0171
B73 x Z006E0179,567.5,166.2233333,0.295457966,Bx,Z006E0179
B73 x Z006E0189,598.597017,160.255223,0.264684408,Bx,Z006E0189
B73 x Z006E0193,505.5,135.48,0.27061987,Bx,Z006E0193
B73 x Z006E0196,583.6666667,209.25,0.358535516,Bx,Z006E0196
B73 x Z007E0015,501.5,148.0266667,0.295954029,Bx,Z007E0015
B73 x Z007E0117,494.9388068,171.7680892,0.351312852,Bx,Z007E0117
B73 x Z007E0123,534.7388068,171.8480892,0.323470942,Bx,Z007E0123
B73 x Z008E0006,425.6666667,132.2816667,0.312741326,Bx,Z008E0006
B73 x Z008E0009,467.7388068,151.2980892,0.324881837,Bx,Z008E0009
B73 x Z008E0013,444.8611932,145.1859108,0.335670555,Bx,Z008E0013
B73 x Z008E0017,491.9388068,152.3980892,0.31030917,Bx,Z008E0017
B73 x Z008E0033,436,145.7416667,0.343876944,Bx,Z008E0033
B73 x Z008E0040,438.1666667,133.1933333,0.304999219,Bx,Z008E0040
B73 x Z008E0041,554,182.6466667,0.330051487,Bx,Z008E0041
B73 x Z008E0047,383.4611932,122.5379108,0.329880025,Bx,Z008E0047
B73 x Z008E0054,283.3059659,85.91955393,0.307390374,Bx,Z008E0054
B73 x Z008E0056,485.347017,132.642723,0.272408936,Bx,Z008E0056
B73 x Z008E0059,417.652983,128.607277,0.310927844,Bx,Z008E0059
B73 x Z008E0062,566.6666667,156.09,0.277591662,Bx,Z008E0062
B73 x Z008E0064,355.3333333,107.4266667,0.296559024,Bx,Z008E0064
B73 x Z008E0072,538.3333333,176.67,0.327731553,Bx,Z008E0072
B73 x Z008E0075,489.5,146.4883333,0.307848488,Bx,Z008E0075
B73 x Z008E0094,710.7388068,223.8280892,0.314936982,Bx,Z008E0094
B73 x Z008E0099,410.7388068,111.3240892,0.271610252,Bx,Z008E0099
B73 x Z008E0123,570.3333333,159.1733333,0.280383308,Bx,Z008E0123
B73 x Z008E0127,463.597017,126.995223,0.276307885,Bx,Z008E0127
B73 x Z008E0134,484.3388068,147.4340892,0.308484169,Bx,Z008E0134
B73 x Z008E0139,354.7388068,115.7200892,0.314581139,Bx,Z008E0139
B73 x Z008E0141,604.5388068,169.8680892,0.282294978,Bx,Z008E0141
B73 x Z008E0143,666.8333333,183.4883333,0.27634263,Bx,Z008E0143
B73 x Z008E0172,395.5,105.7716667,0.25007914,Bx,Z008E0172
B73 x Z008E0174,440.8333333,120.045,0.277069348,Bx,Z008E0174
B73 x Z008E0177,493.6666667,142.67,0.295202856,Bx,Z008E0177
B73 x Z008E0178,460.347017,118.105223,0.255824657,Bx,Z008E0178
B73 x Z008E0183,521.597017,143.837723,0.275198722,Bx,Z008E0183
B73 x Z009E0015,588.3333333,199.995,0.342240192,Bx,Z009E0015
B73 x Z009E0025,524.5,145.9683333,0.272291829,Bx,Z009E0025
B73 x Z009E0031,560.8333333,196.6333333,0.351094012,Bx,Z009E0031
B73 x Z009E0051,497.6666667,155.8433333,0.313742949,Bx,Z009E0051
B73 x Z009E0055,471.5,154.585,0.331942405,Bx,Z009E0055
B73 x Z009E0061,517,155.975,0.301392383,Bx,Z009E0061
B73 x Z009E0062,391.6666667,122.5283333,0.329368392,Bx,Z009E0062
B73 x Z009E0063,429.5,120.7666667,0.28929621,Bx,Z009E0063
B73 x Z009E0082,510.3333333,176.5716667,0.34609808,Bx,Z009E0082
B73 x Z009E0095,573.847017,174.037723,0.305993823,Bx,Z009E0095
B73 x Z009E0096,571,165.38,0.289321731,Bx,Z009E0096
B73 x Z009E0114,530.1666667,153.77,0.293560247,Bx,Z009E0114
B73 x Z009E0125,545.9388068,166.1420892,0.31112395,Bx,Z009E0125
B73 x Z009E0133,445.097017,113.745223,0.252687052,Bx,Z009E0133
B73 x Z009E0136,482.1666667,142.7366667,0.312751283,Bx,Z009E0136
B73 x Z009E0137,344.5,107.9666667,0.322511164,Bx,Z009E0137
B73 x Z009E0143,463.8333333,150.58,0.326481163,Bx,Z009E0143
B73 x Z009E0145,595.5,172.8316667,0.292813754,Bx,Z009E0145
B73 x Z009E0149,631,194.2666667,0.308223417,Bx,Z009E0149
B73 x Z009E0150,598.6666667,180.0716667,0.299426868,Bx,Z009E0150
B73 x Z009E0153,420.6666667,133.7833333,0.321505117,Bx,Z009E0153
B73 x Z009E0155,569.8333333,184.37,0.325041093,Bx,Z009E0155
B73 x Z009E0167,530.8333333,174.895,0.333017891,Bx,Z009E0167
B73 x Z009E0169,667.6666667,184.9416667,0.278232817,Bx,Z009E0169
B73 x Z009E0170,567.8333333,180.4433333,0.325918572,Bx,Z009E0170
B73 x Z009E0173,409.847017,126.100223,0.316585604,Bx,Z009E0173
B73 x Z009E0176,616.5,185.2833333,0.3090758,Bx,Z009E0176
B73 x Z009E0177,610.6666667,189.1183333,0.311063038,Bx,Z009E0177
B73 x Z009E0178,493.8333333,156.83,0.32023687,Bx,Z009E0178
B73 x Z009E0179,641.5,210.1283333,0.328244271,Bx,Z009E0179
B73 x Z009E0193,431.1388068,145.1960892,0.337003299,Bx,Z009E0193
B73 x Z009E0219,363.3388068,106.1120892,0.282341786,Bx,Z009E0219
B73 x Z010E0055,361.1388068,110.4200892,0.31874243,Bx,Z010E0055
B73 x Z010E0062,319.7388068,84.53208921,0.264575803,Bx,Z010E0062
B73 x Z010E0141,369.7388068,107.8720892,0.293891933,Bx,Z010E0141
B73 x Z010E0146,513.6666667,143.6566667,0.281979982,Bx,Z010E0146
B73 x Z010E0148,469.6666667,131.01,0.279225771,Bx,Z010E0148
B73 x Z010E0149,467.6666667,121.2166667,0.259256762,Bx,Z010E0149
B73 x Z010E0154,349.7686553,110.466518,0.338814995,Bx,Z010E0154
B73 x Z010E0175,213.1666667,67.49666667,0.323754813,Bx,Z010E0175
