I,Row,Pedigree,Genotype,FBNote,Farm
JLY,1401,10g-1320-8@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1402,10g-1319-10@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1403,10g-1318-2@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1404,10g-1405-4@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1405,10g-1404-1@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1406,10g-1402-2@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1407,10g-1400-4@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1408,10g-1399-8@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1409,10g-1398-9@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1410,10g-1395-11@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1411,10g-1394-7@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1412,10g-1393-5@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1413,10g-1391-6@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1414,10g-1390-6@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1415,10g-1389-6@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1416,10g-1388-2@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1417,10g-1384-5@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1418,10g-1383-2@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1419,10g-1382-10@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1420,10g-1381-11@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1421,10g-1380-1@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1422,10g-1379-8@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1423,10g-1378-7@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1424,10g-1377-11@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1425,10g-1376-3@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1426,10g-1375-5@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1427,10g-1374-4@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1428,10g-1373-4@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1429,10g-1372-1@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1430,10g-1371-6@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1431,10-2095-6@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1432,10-2093-7@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1433,10-2090-6@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1434,10-2087-8@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1435,10-2086-8@,[B73 x M0027(B73-2)]@,BC2F3,Curtiss
JLY,1436,10-2081-3@,[B73 x M0027(B73-2)]@,BC2F3,Curtiss
JLY,1437,10-2080-8@,[B73 x M0027(B73-2)]@,BC2F3,Curtiss
JLY,1438,10-2079-4@,[B73 x M0027(B73-2)]@,BC2F3,Curtiss
JLY,1439,10-2074-7@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1440,10-2073-6@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1441,10-2071-2@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1442,10-2070-2@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1443,10-2069-6@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1444,10-2068-2@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1445,10-2067-3@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1446,10-2066-3@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1447,10-2065-2@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1448,10-2064-1@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1449,10-2063-2@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1450,10-2062-6@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1451,10-2061-6@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1452,10-2059-1@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1453,10-2054-2@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1454,10-2052-4@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1455,10-2050-6@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1456,10-2048-5@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1457,10-2047-7@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1458,10-2046-5@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1459,10-2045-4@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1460,10-2173-5@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1461,10-2171-9@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1462,10-2168-3@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1463,10-2167-2@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1464,10-2163-6@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
