Phenotype Name,Evaluation Locality,Planting Date,Rep,Accession,Source,Plant Name,Plant ID,Phenotype Value
Ear Row Number,27 Farms,29-Sep-99,1999_Winter,A6,PHI,A6 Row,925,mean=16.44444444
Ear Row Number,27 Farms,29-Sep-99,1999_Winter,A619,MINN,A619 Row,938,mean=13.2
Ear Row Number,27 Farms,29-Sep-99,1999_Winter,A632,MINN,A632 Row,949,mean=13.5
Ear Row Number,27 Farms,29-Sep-99,1999_Winter,CI187-2,ISU,CI187-2 Row,1082,mean=11.0
Ear Row Number,27 Farms,29-Sep-99,1999_Winter,CM105,AGCAN,CM105 Row,1109,mean=12.8
Ear Row Number,27 Farms,29-Sep-99,1999_Winter,CM174,AGCAN,CM174 Row,1110,mean=11.6
Ear Row Number,27 Farms,29-Sep-99,1999_Winter,CM7,AGCAN,CM7 Row,1133,mean=12.0
Ear Row Number,27 Farms,29-Sep-99,1999_Winter,EP1,GAL,EP1 Row,1305,mean=9.6
Ear Row Number,27 Farms,29-Sep-99,1999_Winter,F44,FLA,F44 Row,1334,mean=13.0
Ear Row Number,27 Farms,29-Sep-99,1999_Winter,GT112,ARS-TIF,GT112 Row,1359,mean=10.0
Ear Row Number,27 Farms,29-Sep-99,1999_Winter,H99,PURD-AG,H99 Row,1386,mean=10.0
Ear Row Number,27 Farms,29-Sep-99,1999_Winter,Hp301,PURD-BOT,HP301 Row,1411,mean=12.4
Ear Row Number,27 Farms,29-Sep-99,1999_Winter,Il101,UIUC-NR,Il101 Row,1484,mean=10.0
Ear Row Number,27 Farms,29-Sep-99,1999_Winter,Il14H,UIUC-NR,Il14H Row,1500,mean=12.0
Ear Row Number,27 Farms,29-Sep-99,1999_Winter,Il677a,UIUC-NR,Il677a Row,1513,mean=13.5
Ear Row Number,27 Farms,29-Sep-99,1999_Winter,K55,ARS-MO,K55 Row,1526,mean=12.25
Ear Row Number,27 Farms,29-Sep-99,1999_Winter,Mo24W,ARS-MO,Mo24W Row,1665,mean=15.0
Ear Row Number,27 Farms,29-Sep-99,1999_Winter,MS153,MICH,MS153 Row,1672,mean=13.0
Ear Row Number,27 Farms,29-Sep-99,1999_Winter,NC250,NCSU,NC250 Row,1726,mean=12.75
Ear Row Number,27 Farms,29-Sep-99,1999_Winter,NC258,NCSU,NC258 Row,1730,mean=14.0
Ear Row Number,27 Farms,29-Sep-99,1999_Winter,NC260,NCSU,NC260 Row,1750,mean=12.75
Ear Row Number,27 Farms,29-Sep-99,1999_Winter,NC296,NCSU,NC296 Row,1766,mean=12.0
Ear Row Number,27 Farms,29-Sep-99,1999_Winter,NC298,NCSU,NC298 Row,1775,mean=10.4
Ear Row Number,27 Farms,29-Sep-99,1999_Winter,NC300,NCSU,NC300 Row,1799,mean=11.33333333
Ear Row Number,27 Farms,29-Sep-99,1999_Winter,NC304,NCSU,NC304 Row,1800,mean=10.0
Ear Row Number,27 Farms,29-Sep-99,1999_Winter,NC320,NCSU,NC320 Row,1813,mean=14.0
Ear Row Number,27 Farms,29-Sep-99,1999_Winter,NC338,NCSU,NC338 Row,1829,mean=12.57142857
Ear Row Number,27 Farms,29-Sep-99,1999_Winter,NC348,NCSU,NC348 Row,1849,mean=10.25
