Phenotype Name,Evaluation Locality,Planting Date,Rep,Accession,Source,Plant Name,Plant ID,Phenotype Value
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,R177,UIUC-CS,02F1320,3495,mean=15
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,R229,UIUC-CS,02F1108,3496,mean=14.6
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,R4,UIUC-CS,02F1155,3497,mean=16.8
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,SA24,PURD-BOT,02F1704,3492,mean=12.5
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,SC213R,SC,02F1638,3491,mean=12.5
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,SC357,OHW,02F1705,3489,mean=13.2
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,SC55,SC,02F1625,3490,mean=17.2
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,SD40,SD,02F1618,3523,mean=13.3333333333333
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,Sg1533,PURD-BOT,02F1561,3525,mean=14.8
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,Sg18,PURD-BOT,02F1081,3526,mean=17.2
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,T232,TENN,02F1018,3520,mean=11.6
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,T234,TENN,02F1080,3521,mean=16
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,T8,TENN,02F1387,3522,mean=12.5
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,Tx303,BB,02F1637,3518,mean=13.5
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,Tx601,TEX,02F1316,3519,mean=16
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,Tzi10,IITA,02F1686,3511,mean=13.2
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,Tzi11,IITA,02F1259,3512,mean=13.6
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,Tzi16,IITA,02F1238,3513,mean=16.8
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,Tzi18,IITA,02F1628,3514,mean=12.5
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,Tzi25,IITA,02F1306,3515,mean=11.2
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,Tzi8,IITA,02F1555,3516,mean=14.4
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,Tzi9,IITA,02F1325,3517,mean=16
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,U267Y,NATAL,02F1021,3510,mean=11.5
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,Va14,VATECH,02F1411,3507,mean=16.6666666666667
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,Va17,VATECH,02F1240,3508,mean=12.6666666666667
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,Va22,VATECH,02F1180,3509,mean=11.8
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,Va26,VATECH,02F1480,3502,mean=14.8
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,Va35,VATECH,02F1079,3503,mean=12.25
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,Va59,VATECH,02F1475,3504,mean=10
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,Va85,VATECH,02F1177,3505,mean=13.2
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,Va99,VATECH,02F1484,3501,mean=15.2
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,VaW6,VATECH,02F1255,4043,mean=14.4
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,W22,WISC,02F1477,3438,mean=14
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,W64A,WISC,02F1088,3440,mean=13.2
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,Wf9,PURD-AG,02F1616,3442,mean=14
Ear Row Number,27 Farms,27-Sep-02,2002_Winter_RepFL,Yu796_NS,NCRPIS,02F1698,4044,mean=14.6666666666667
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,A188,MINN,02F1171,3472,mean=7.6
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,A554,MINN,02F1156,3478,mean=11.8
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,A556,MINN,02F1233,3479,mean=12
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,A641,MINN,02F1317,3485,mean=14
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,A661,MINN,02F1619,3488,mean=11
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,B73,ISU,02F1354,3447,mean=16
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,B73xA554,ESB,02F1194,3706,mean=14.8
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,B73xA556,ESB,02F1271,3707,mean=16
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,B73xA641,ESB,02F1355,3714,mean=16.4
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,B73xA654,ESB,02F1521,3715,mean=15.2
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,B73xA661,ESB,02F1657,3717,mean=17
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,B73xC49,ESB,02F1583,3746,mean=14.4
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,B73xC49A,ESB,02F1198,3747,mean=12.8
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,B73xCH9,ESB,02F1424,3749,mean=16.8
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,B73xCM105,ESB,02F1659,3761,mean=15
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,B73xCM174,ESB,02F1203,3762,mean=17.2
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,B73xCM37,ESB,02F1729,3764,mean=16
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,B73xCM7,ESB,02F1220,3765,mean=16.8
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,B73xCMV3,ESB,02F1574,3807,mean=18
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,B73xCO125,ESB,02F1503,3810,mean=16.8
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,B73xCO255,ESB,02F1732,3811,mean=14.8
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,B73xEP1,ESB,02F1744,3818,mean=16.4
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,B73xF2,ESB,02F1270,3819,mean=15.5
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,B73xF7,ESB,02F1730,3823,mean=14.8
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,B73xH99,ESB,02F1065,3833,mean=14.4
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,B73xI-29,ESB,02F1069,3839,mean=17.6
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,B73xIa2132,ESB,02F1426,3840,mean=16.4
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,B73xIl101,ESB,02F1592,3845,mean=13.2
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,B73xMEF156-55-2,ESB,02F1134,3868,mean=14
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,B73xMS1334,ESB,02F1734,3880,mean=15.8
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,B73xND246,ESB,02F1063,3943,mean=14.8
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,B73xP39,ESB,02F1673,3951,mean=14.8
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,B73xR168,ESB,02F1367,3958,mean=16.4
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,B73xSD44,ESB,02F1275,3967,mean=17.6
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,B73xW117Ht,ESB,02F1601,3992,mean=16.4
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,B73xW153R,ESB,02F1125,3993,mean=15.6
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,B73xW182B,ESB,02F1138,3994,mean=18
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,B73xW401,ESB,02F1740,3996,mean=15.2
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,B73xWD,ESB,02F1279,3998,mean=14.4
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,C49,MINN,02F1545,4002,mean=8.33333333333333
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,C49A,MINN,02F1160,3692,mean=10
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,CH9,NCRPIS,02F1386,4003,mean=13
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,CM105,AGCAN,02F1621,3686,mean=11
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,CM174,AGCAN,02F1165,3687,mean=8
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,CM7,AGCAN,02F1182,3677,mean=13
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,CO125,AGCAN,02F1465,3643,mean=16
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,CO255,AGCAN,02F1694,3644,mean=12.6666666666667
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,EP1,GAL,02F1706,3626,mean=12.6666666666667
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,F2,INRA,02F1232,3627,mean=8.2
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,F7,INRA,02F1692,3631,mean=10.5
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,H99,PURD-AG,02F1027,3618,mean=11.3333333333333
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,I-29,NCRPIS,02F1031,4014,mean=15.2
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,Ia2132,UIUC-NR,02F1388,3613,mean=14.6666666666667
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,Il101,UIUC-NR,02F1554,3607,mean=13
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,MS1334,MINN,02F1696,3583,mean=13
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,ND246,ND,02F1025,3540,mean=10
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,P39,PURD-AG,02F1635,3533,mean=11.5
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,R168,UIUC-CS,02F1329,3494,mean=12.5
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,SD44,SD,02F1237,3524,mean=14
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,W117Ht,WISC,02F1563,3443,mean=14
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,W182B,WISC,02F1100,3437,mean=14.4
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,W401,WISC,02F1702,3439,mean=12.5
Ear Row Number,27 Farms,4-Oct-02,2002_Winter_RepFL,WD,WISC,02F1241,3441,mean=12
Ear Row Number,Clayton,21-Apr-99,1999_Summer_F12_Rep2,CML247,CIMMYT,CML247 Row,1162,mean=12.0
Ear Row Number,Clayton,21-Apr-99,1999_Summer_F12_Rep2,CML277,CIMMYT,CML277 Row,1195,mean=12.0
Ear Row Number,Clayton,21-Apr-99,1999_Summer_F12_Rep2,CML333,CIMMYT,CML333 Row,1220,mean=10.5
Ear Row Number,Clayton,21-Apr-99,1999_Summer_F12_Rep2,F2834T,NATAL,F2834T Row,1326,mean=10.8
Ear Row Number,Clayton,21-Apr-99,1999_Summer_F12_Rep2,I137TN,NATAL,I137TN Row,1417,mean=10.0
Ear Row Number,Clayton,21-Apr-99,1999_Summer_F12_Rep2,Ki11,HWI,Ki11 Row,1533,mean=11.5
Ear Row Number,Clayton,21-Apr-99,1999_Summer_F12_Rep2,Ki21,HWI,Ki21 Row,1546,mean=12.4
Ear Row Number,Clayton,21-Apr-99,1999_Summer_F12_Rep2,Ki3,HWI,Ki3 Row,1565,mean=13.66666667
Ear Row Number,Clayton,21-Apr-99,1999_Summer_F12_Rep2,Ki43,HWI,Ki43 Row,1588,mean=14.0
Ear Row Number,Clayton,21-Apr-99,1999_Summer_F12_Rep2,M162W,NATAL,M162W Row,1623,mean=13.0
Ear Row Number,Clayton,21-Apr-99,1999_Summer_F12_Rep2,M37W,NATAL,M37W Row,1636,mean=12.8
Ear Row Number,Clayton,21-Apr-99,1999_Summer_F12_Rep2,Tzi18,IITA,Tzi18 Row,2084,mean=13.2
Ear Row Number,Clayton,21-Apr-99,1999_Summer_F12_Rep2,U267Y,NATAL,U267Y Row,2107,mean=11.0
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,38-11,PURD-AG,38-11 Row,874,mean=17.33333333
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,A441-5,NATAL,A441-5 Row,891,mean=11.33333333
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,A554,MINN,A554 Row,901,mean=13.2
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,A6,PHI,A6 Row,922,mean=12.36363636
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,A619,MINN,A619 Row,935,mean=13.2
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,A632,MINN,A632 Row,957,mean=12.0
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,B103,ISU,B103 Row,964,mean=12.8
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,B104,ISU,B104 Row,972,mean=12.8
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,B14A,ISU,B14A Row,993,mean=13.2
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,B37,ISU,B37 Row,1005,mean=12.0
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,B68,ISU,B68 Row,1011,mean=12.5
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,B73,ISU,B73 Row,1042,mean=16.0
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,B84,ISU,B84 Row,1055,mean=14.0
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,B97,ISU,B97 Row,1062,mean=13.33333333
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,C103,UIUC-CS,C103 Row,1079,mean=11.6
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,CI187-2,ISU,CI187-2 Row,1088,mean=12.0
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,CM105,AGCAN,CM105 Row,1094,mean=12.8
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,CM174,AGCAN,CM174 Row,1114,mean=12.8
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,CM7,AGCAN,CM7 Row,1128,mean=10.0
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,CML91,CIMMYT,CML91 Row,1259,mean=11.0
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,CMV3,MINN,CMV3 Row,1274,mean=11.2
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,EP1,GAL,EP1 Row,1298,mean=11.5
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,F2,INRA,F2 Row,1312,mean=11.2
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,F7,INRA,F7 Row,1352,mean=7.2
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,GT112,ARS-TIF,GT112 Row,1365,mean=10.0
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,H95,PURD-AG,H95 Row,1375,mean=14.4
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,H99,PURD-AG,H99 Row,1401,mean=10.0
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,Hp301,PURD-BOT,HP301 Row,1412,mean=13.6
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,I205,ISU,I205 Row,1427,mean=15.0
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,I29,PURD-BOT,I29 Row,1435,mean=13.0
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,Ia2132,UIUC-NR,IA2132 Row,1456,mean=10.5
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,IDS28,ISU,IDS28 Row,1473,mean=14.0
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,Il14H,UIUC-NR,Il14H Row,1495,mean=11.2
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,Il677a,UIUC-NR,Il677a Row,1509,mean=13.0
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,K55,ARS-MO,K55 Row,1527,mean=13.2
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,Ky21,KY,Ky21 Row,1612,mean=11.2
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,Mo17,ARS-MO,Mo17 Row,1642,mean=10.4
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,Mo24W,ARS-MO,Mo24W Row,1662,mean=13.5
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,MS153,MICH,MS153 Row,1674,mean=13.6
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,N192,NEBR,N192 Row,1687,mean=15.2
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,N28Ht,NEBR,N28Ht Row,1706,mean=15.6
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,NC250,NCSU,NC250 Row,1719,mean=11.6
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,NC258,NCSU,NC258 Row,1733,mean=13.6
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,NC260,NCSU,NC260 Row,1746,mean=12.0
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,NC296,NCSU,NC296 Row,1761,mean=11.0
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,NC298,NCSU,NC298 Row,1772,mean=9.2
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,NC300,NCSU,NC300 Row,1794,mean=12.0
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,NC304,NCSU,NC304 Row,1806,mean=11.5
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,NC320,NCSU,NC320 Row,1822,mean=14.4
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,NC338,NCSU,NC338 Row,1834,mean=12.8
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,NC348,NCSU,NC348 Row,1850,mean=10.0
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,NC350,NCSU,NC350 Row,1866,mean=12.66666667
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,NC352,NCSU,NC352 Row,1870,mean=12.0
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,NC354,NCSU,NC354 Row,1884,mean=11.66666667
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,ND246,ND,ND246 Row,1897,mean=10.8
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,Oh43,OHW,Oh43 Row,1915,mean=14.5
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,Oh7B,OHW,Oh7B Row,1926,mean=10.5
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,P39,PURD-AG,P39 Row,1946,mean=11.66666667
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,Pa91,PENN,Pa91 Row,1960,mean=15.2
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,SA24,PURD-BOT,SA24 Row,1969,mean=12.8
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,SC213,MINN,SC213 Row,1980,mean=10.0
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,SC55,SC,SC55 Row,2011,mean=13.6
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,Sg18,PURD-BOT,Sg18 Row,2022,mean=16.8
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,T232,TENN,T232 Row,2029,mean=12.0
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,T8,TENN,T8 Row,2042,mean=10.4
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,Tx601,TEX,Tx601 Row,2063,mean=14.0
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,Va26,VATECH,Va26 Row,2113,mean=15.0
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,W117Ht,WISC,W117Ht Row,2131,mean=11.6
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,W153R,WISC,W153R Row,2138,mean=11.5
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,W182B,WISC,W182B Row,2145,mean=14.0
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,W64A,WISC,W64A Row,2157,mean=12.8
Ear Row Number,Clayton,4-May-99,1999_Summer_F4C_Rep3,Wf9,PURD-AG,Wf9 Row,2182,mean=14.0
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,38-11,PURD-AG,38-11 Row,869,mean=16.0
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,A441-5,NATAL,A441-5 Row,890,mean=11.0
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,A554,MINN,A554 Row,908,mean=13.6
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,A6,PHI,A6 Row,917,mean=14.2
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,A632,MINN,A632 Row,955,mean=14.8
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,B104,ISU,B104 Row,975,mean=13.2
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,B14A,ISU,B14A Row,984,mean=13.6
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,B73,ISU,B73 Row,1035,mean=17.33
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,B84,ISU,B84 Row,1051,mean=14.4
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,B97,ISU,B97 Row,1067,mean=12.8
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,C103,UIUC-CS,C103 Row,1076,mean=11.33
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,CI187-2,ISU,CI187-2 Row,1084,mean=12.5
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,CM105,AGCAN,CM105 Row,1098,mean=14.0
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,CM174,AGCAN,CM174 Row,1125,mean=13.2
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,CM7,AGCAN,CM7 Row,1138,mean=12.0
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,CML10,CIMMYT,CML10 Row,1145,mean=10.0
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,CML247,CIMMYT,CML247 Row,1156,mean=14.5
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,CML333,CIMMYT,CML333 Row,1227,mean=12.0
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,CML91,CIMMYT,CML91 Row,1260,mean=10.4
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,D940Y,NATAL,D940Y Row,1290,mean=12.5
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,EP1,GAL,EP1 Row,1296,mean=13.2
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,F2,INRA,F2 Row,1318,mean=12.4
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,F2834T,NATAL,F2834T Row,1324,mean=12.25
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,F44,FLA,F44 Row,1344,mean=15.2
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,F7,INRA,F7 Row,1346,mean=11.5
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,GT112,ARS-TIF,GT112 Row,1364,mean=12.4
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,H95,PURD-AG,H95 Row,1381,mean=16.0
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,H99,PURD-AG,H99 Row,1388,mean=11.2
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,Hp301,PURD-BOT,HP301 Row,1407,mean=13.6
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,I137TN,NATAL,I137TN Row,1415,mean=10.8
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,I29,PURD-BOT,I29 Row,1436,mean=14.4
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,Ia2132,UIUC-NR,IA2132 Row,1454,mean=15.8
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,IDS28,ISU,IDS28 Row,1470,mean=17.2
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,Il101,UIUC-NR,Il101 Row,1475,mean=13.4
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,Il14H,UIUC-NR,Il14H Row,1493,mean=14.0
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,K55,ARS-MO,K55 Row,1520,mean=13.2
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,Ki11,HWI,Ki11 Row,1538,mean=12.8
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,Ki21,HWI,Ki21 Row,1545,mean=12.4
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,Ki3,CIMMYT,Ki3 Row,1559,mean=13.67
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,Ki3,HWI,Ki3 Row,1570,mean=11.5
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,Ky21,KY,Ky21 Row,1604,mean=12.2
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,M162W,NATAL,M162W Row,1620,mean=14.8
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,M37W,NATAL,M37W Row,1634,mean=12.5
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,Mo17,ARS-MO,Mo17 Row,1646,mean=11.2
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,Mo24W,ARS-MO,Mo24W Row,1657,mean=17.75
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,MS153,MICH,MS153 Row,1681,mean=14.2
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,N192,NEBR,N192 Row,1685,mean=14.5
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,N28Ht,NEBR,N28Ht Row,1704,mean=17.4
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,NC250,NCSU,NC250 Row,1718,mean=12.0
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,NC258,NCSU,NC258 Row,1740,mean=13.5
Ear Row Number,Clayton,4-Apr-00,2000_Summer_C2,NC260,NCSU,NC260 Row,1751,mean=14.33
