Genotype,KRN,Note,RIL
B73 x Z008E0009,15.66666667,Bx,Z008E0009
B73 x Z008E0013,14.80000001,Bx,Z008E0013
B73 x Z008E0017,15.66666667,Bx,Z008E0017
B73 x Z008E0033,16,Bx,Z008E0033
B73 x Z008E0040,16,Bx,Z008E0040
B73 x Z008E0041,14.33333333,Bx,Z008E0041
B73 x Z008E0047,16,Bx,Z008E0047
B73 x Z008E0054,18.00000006,Bx,Z008E0054
B73 x Z008E0056,15.99999997,Bx,Z008E0056
B73 x Z008E0059,13.66666667,Bx,Z008E0059
B73 x Z008E0062,16.66666667,Bx,Z008E0062
B73 x Z008E0064,16,Bx,Z008E0064
B73 x Z008E0072,15,Bx,Z008E0072
B73 x Z008E0075,15,Bx,Z008E0075
B73 x Z008E0094,16.66666667,Bx,Z008E0094
B73 x Z008E0099,16.39999999,Bx,Z008E0099
B73 x Z008E0123,19,Bx,Z008E0123
B73 x Z008E0127,15.19999999,Bx,Z008E0127
B73 x Z008E0134,16,Bx,Z008E0134
B73 x Z008E0139,16.66666667,Bx,Z008E0139
B73 x Z008E0141,15.99999999,Bx,Z008E0141
B73 x Z008E0143,18.33333333,Bx,Z008E0143
B73 x Z008E0172,16.66666667,Bx,Z008E0172
B73 x Z008E0174,15.66666667,Bx,Z008E0174
B73 x Z008E0177,16.66666667,Bx,Z008E0177
B73 x Z008E0178,17,Bx,Z008E0178
B73 x Z008E0183,14.49999997,Bx,Z008E0183
B73 x Z009E0015,15,Bx,Z009E0015
B73 x Z009E0025,17,Bx,Z009E0025
B73 x Z009E0031,14.66666667,Bx,Z009E0031
B73 x Z009E0051,16,Bx,Z009E0051
B73 x Z009E0055,15.66666667,Bx,Z009E0055
B73 x Z009E0061,14,Bx,Z009E0061
B73 x Z009E0062,16,Bx,Z009E0062
B73 x Z009E0063,16.33333333,Bx,Z009E0063
B73 x Z009E0082,15.66666667,Bx,Z009E0082
B73 x Z009E0095,15.99999997,Bx,Z009E0095
B73 x Z009E0096,14.33333333,Bx,Z009E0096
B73 x Z009E0114,16,Bx,Z009E0114
B73 x Z009E0125,14.39999999,Bx,Z009E0125
B73 x Z009E0133,15.49999997,Bx,Z009E0133
B73 x Z009E0136,15.33333333,Bx,Z009E0136
B73 x Z009E0137,17.66666667,Bx,Z009E0137
B73 x Z009E0143,16,Bx,Z009E0143
B73 x Z009E0145,15.33333333,Bx,Z009E0145
B73 x Z009E0149,15.66666667,Bx,Z009E0149
B73 x Z009E0150,15.33333333,Bx,Z009E0150
B73 x Z009E0153,13.66666667,Bx,Z009E0153
B73 x Z009E0155,14.66666667,Bx,Z009E0155
B73 x Z009E0167,16,Bx,Z009E0167
B73 x Z009E0169,17.33333333,Bx,Z009E0169
B73 x Z009E0170,16.66666667,Bx,Z009E0170
B73 x Z009E0173,16.99999997,Bx,Z009E0173
B73 x Z009E0176,17.66666667,Bx,Z009E0176
B73 x Z009E0177,15.66666667,Bx,Z009E0177
B73 x Z009E0178,15,Bx,Z009E0178
B73 x Z009E0179,17,Bx,Z009E0179
B73 x Z009E0193,16.33333333,Bx,Z009E0193
B73 x Z009E0219,13.99999999,Bx,Z009E0219
B73 x Z010E0055,15,Bx,Z010E0055
B73 x Z010E0062,15.19999999,Bx,Z010E0062
B73 x Z010E0141,15,Bx,Z010E0141
B73 x Z010E0146,16.66666667,Bx,Z010E0146
B73 x Z010E0148,16.33333333,Bx,Z010E0148
B73 x Z010E0149,16.33333333,Bx,Z010E0149
B73 x Z010E0154,14.39999999,Bx,Z010E0154
B73 x Z010E0175,16.66666667,Bx,Z010E0175
B73 x Z010E0182,15.66666667,Bx,Z010E0182
B73 x Z011E0008,19,Bx,Z011E0008
B73 x Z011E0009,15.59999999,Bx,Z011E0009
B73 x Z011E0016,17.99999994,Bx,Z011E0016
B73 x Z011E0062,15.20000001,Bx,Z011E0062
B73 x Z011E0079,16.33333333,Bx,Z011E0079
B73 x Z011E0144,15.19999999,Bx,Z011E0144
B73 x Z011E0146,16,Bx,Z011E0146
B73 x Z011E0160,15.66666667,Bx,Z011E0160
B73 x Z011E0162,15.99999999,Bx,Z011E0162
B73 x Z011E0169,15,Bx,Z011E0169
B73 x Z011E0175,13.66666667,Bx,Z011E0175
B73 x Z011E0182,15.99999994,Bx,Z011E0182
B73 x Z011E0195,20.33333333,Bx,Z011E0195
B73 x Z011E0198,16.49999997,Bx,Z011E0198
B73 x Z012E0008,16.79999999,Bx,Z012E0008
B73 x Z012E0055,16.39999999,Bx,Z012E0055
B73 x Z012E0058,16.33333333,Bx,Z012E0058
B73 x Z012E0098,15.19999999,Bx,Z012E0098
B73 x Z012E0102,14.79999999,Bx,Z012E0102
B73 x Z012E0117,17.66666667,Bx,Z012E0117
B73 x Z012E0159,17.59999999,Bx,Z012E0159
B73 x Z013E0060,16.66666667,Bx,Z013E0060
B73 x Z013E0204,14,Bx,Z013E0204
B73 x Z013E0207,16.33333333,Bx,Z013E0207
B73 x Z013E0213,16.66666667,Bx,Z013E0213
B73 x Z013E0216,16.66666667,Bx,Z013E0216
B73 x Z013E0224,14.99999997,Bx,Z013E0224
B73 x Z013E0227,15.99999999,Bx,Z013E0227
B73 x Z013E0231,16,Bx,Z013E0231
B73 x Z013E0233,15.33333333,Bx,Z013E0233
B73 x Z013E0234,15.99999999,Bx,Z013E0234
B73 x Z013E0236,16,Bx,Z013E0236
B73 x Z013E0238,15.49999997,Bx,Z013E0238
B73 x Z013E0239,16.49999997,Bx,Z013E0239
B73 x Z013E0240,15.99999997,Bx,Z013E0240
B73 x Z013E0251,16.66666667,Bx,Z013E0251
B73 x Z013E0256,15.60000001,Bx,Z013E0256
B73 x Z013E0288,15.59999999,Bx,Z013E0288
B73 x Z013E0289,14.49999997,Bx,Z013E0289
B73 x Z013E0290,14.99999994,Bx,Z013E0290
B73 x Z013E0291,16.79999999,Bx,Z013E0291
B73 x Z013E0292,17,Bx,Z013E0292
B73 x Z013E0308,15.99999999,Bx,Z013E0308
B73 x Z013E0311,15.99999999,Bx,Z013E0311
B73 x Z013E0316,17.49999997,Bx,Z013E0316
B73 x Z013E0319,16,Bx,Z013E0319
B73 x Z013E0323,15.99999994,Bx,Z013E0323
B73 x Z014E0005,15,Bx,Z014E0005
B73 x Z014E0012,16.66666667,Bx,Z014E0012
B73 x Z014E0017,18.33333333,Bx,Z014E0017
B73 x Z014E0021,16.33333333,Bx,Z014E0021
B73 x Z014E0052,18.00000006,Bx,Z014E0052
B73 x Z014E0075,14,Bx,Z014E0075
B73 x Z014E0084,14.33333333,Bx,Z014E0084
B73 x Z014E0098,17.49999997,Bx,Z014E0098
B73 x Z014E0099,16.66666667,Bx,Z014E0099
B73 x Z014E0144,16,Bx,Z014E0144
B73 x Z014E0146,16.66666667,Bx,Z014E0146
B73 x Z014E0162,16.79999999,Bx,Z014E0162
B73 x Z014E0166,18,Bx,Z014E0166
B73 x Z014E0167,15.66666667,Bx,Z014E0167
B73 x Z014E0168,15,Bx,Z014E0168
B73 x Z014E0197,16.79999999,Bx,Z014E0197
B73 x Z014E0199,15.99999999,Bx,Z014E0199
B73 x Z015E0013,14.39999999,Bx,Z015E0013
B73 x Z015E0019,17.99999999,Bx,Z015E0019
B73 x Z015E0022,17,Bx,Z015E0022
B73 x Z015E0023,15.19999999,Bx,Z015E0023
B73 x Z015E0026,15,Bx,Z015E0026
B73 x Z015E0029,17.99999997,Bx,Z015E0029
B73 x Z015E0033,16.33333333,Bx,Z015E0033
B73 x Z015E0036,13.99999997,Bx,Z015E0036
B73 x Z015E0038,17.49999997,Bx,Z015E0038
B73 x Z015E0041,15.49999997,Bx,Z015E0041
B73 x Z015E0042,15.99999994,Bx,Z015E0042
B73 x Z015E0059,14,Bx,Z015E0059
B73 x Z015E0063,16.33333333,Bx,Z015E0063
B73 x Z015E0071,15.33333328,Bx,Z015E0071
B73 x Z015E0074,15.66666667,Bx,Z015E0074
B73 x Z015E0080,15.19999999,Bx,Z015E0080
B73 x Z015E0084,17.33333333,Bx,Z015E0084
B73 x Z015E0102,16.79999999,Bx,Z015E0102
B73 x Z015E0105,16.33333333,Bx,Z015E0105
B73 x Z015E0118,16.66666667,Bx,Z015E0118
B73 x Z015E0123,17.99999998,Bx,Z015E0123
B73 x Z015E0127,16.33333333,Bx,Z015E0127
B73 x Z015E0135,19.99999994,Bx,Z015E0135
B73 x Z015E0142,14.99999997,Bx,Z015E0142
B73 x Z015E0148,16.39999999,Bx,Z015E0148
B73 x Z015E0155,15.66666667,Bx,Z015E0155
B73 x Z015E0158,16,Bx,Z015E0158
B73 x Z015E0160,15.19999999,Bx,Z015E0160
B73 x Z015E0163,16.33333333,Bx,Z015E0163
B73 x Z015E0164,16,Bx,Z015E0164
B73 x Z015E0170,16.33333333,Bx,Z015E0170
B73 x Z015E0199,19,Bx,Z015E0199
