Genotype,KRN,Note,RIL
Z003E0008 x B73,16.99999997,Bx,Z003E0008
Z010E0001 x B73,17.99999997,Bx,Z010E0001
Z010E0002 x B73,16.33333333,Bx,Z010E0002
Z010E0009 x B73,15.66666667,Bx,Z010E0009
Z011E0012 x B73,17.33333333,Bx,Z011E0012
Z012E0012 x B73,14.66666667,Bx,Z012E0012
Z012E0014 x B73,15.49999997,Bx,Z012E0014
Z012E0026 x B73,17.33333331,Bx,Z012E0026
Z012E0042 x B73,16.39999999,Bx,Z012E0042
Z019E0006 x B73,17.33333333,Bx,Z019E0006
Z019E0011 x B73,16,Bx,Z019E0011
Z022E0007 x B73,17,Bx,Z022E0007
Z022E0012 x B73,16.66666667,Bx,Z022E0012
Z022E0016 x B73,15.60000001,Bx,Z022E0016
Z024E0002 x B73,17.66666667,Bx,Z024E0002
Z024E0004 x B73,17,Bx,Z024E0004
Z024E0006 x B73,16.66666667,Bx,Z024E0006
Z024E0008 x B73,16,Bx,Z024E0008
Z025E0181 x B73,17.99999997,Bx,Z025E0181
Z025E0187 x B73,14.99999997,Bx,Z025E0187
Z025E0196 x B73,16,Bx,Z025E0196
Z025E0198 x B73,16.66666667,Bx,Z025E0198
B73@,16.09793814,B73,B73
Z001E0002@,14.00000006,RIL,Z001E0002
Z001E0003@,13,RIL,Z001E0003
Z001E0004@,15.99999999,RIL,Z001E0004
Z001E0006@,15,RIL,Z001E0006
Z001E0030@,14,RIL,Z001E0030
Z001E0038@,14.80000001,RIL,Z001E0038
Z001E0078@,14.66666667,RIL,Z001E0078
Z001E0101@,14.66666667,RIL,Z001E0101
Z001E0112@,13.99999998,RIL,Z001E0112
Z001E0128@,14.66666672,RIL,Z001E0128
Z001E0128@,12.66666661,RIL,Z001E0128
Z001E0170@,16.66666667,RIL,Z001E0170
Z002E0001@,13.99999998,RIL,Z002E0001
Z002E0023@,15,RIL,Z002E0023
Z002E0116@,13.33333333,RIL,Z002E0116
Z002E0126@,15.33333339,RIL,Z002E0126
Z002E0136@,14,RIL,Z002E0136
Z002E0152@,13.99999999,RIL,Z002E0152
Z002E0156@,15.00000003,RIL,Z002E0156
Z002E0159@,13,RIL,Z002E0159
Z002E0163@,13.99999997,RIL,Z002E0163
Z002E0175@,13.33333331,RIL,Z002E0175
Z002E0187@,13.00000006,RIL,Z002E0187
Z002E0193@,18.99999994,RIL,Z002E0193
Z002E0197@,13.66666667,RIL,Z002E0197
Z003E0008@,16.66666672,RIL,Z003E0008
Z003E0008@,13.99999994,RIL,Z003E0008
Z003E0022@,18,RIL,Z003E0022
Z003E0071@,16.49999997,RIL,Z003E0071
Z003E0077,15.33333339,RIL,Z003E0077
Z003E0088@,13.33333339,RIL,Z003E0088
Z003E0195@,16.00000006,RIL,Z003E0195
Z003E0212@,14.66666672,RIL,Z003E0212
Z004E0001@,16.79999999,RIL,Z004E0001
Z004E0005@,16.79999999,RIL,Z004E0005
Z004E0021@,17.33333333,RIL,Z004E0021
Z004E0027@,18.66666667,RIL,Z004E0027
Z004E0043@,15.33333333,RIL,Z004E0043
Z004E0046@,17,RIL,Z004E0046
Z004E0049@,17.00000003,RIL,Z004E0049
Z004E0054@,18.33333333,RIL,Z004E0054
Z004E0058@,17.33333333,RIL,Z004E0058
Z004E0061@,18,RIL,Z004E0061
Z004E0069@,18,RIL,Z004E0069
Z004E0071@,15.20000001,RIL,Z004E0071
Z004E0081@,15.20000001,RIL,Z004E0081
Z004E0083@,14.33333333,RIL,Z004E0083
Z004E0096@,15.60000001,RIL,Z004E0096
Z004E0098@,19,RIL,Z004E0098
Z004E0102@,15,RIL,Z004E0102
Z004E0111@,13.50000003,RIL,Z004E0111
Z004E0115@,17.99999997,RIL,Z004E0115
Z004E0126@,15,RIL,Z004E0126
Z004E0136@,17.33333333,RIL,Z004E0136
Z004E0141@,14.66666672,RIL,Z004E0141
Z004E0161@,13,RIL,Z004E0161
Z004E0162@,15.99999999,RIL,Z004E0162
Z004E0175@,14,RIL,Z004E0175
Z004E0190@,17,RIL,Z004E0190
Z004E0191@,15.66666667,RIL,Z004E0191
Z004E0199@,17.66666667,RIL,Z004E0199
Z004E0208@,15.33333333,RIL,Z004E0208
Z004E0232@,18.00000003,RIL,Z004E0232
Z005E0012@,13.59999999,RIL,Z005E0012
Z005E0013@,13,RIL,Z005E0013
Z005E0014@,13.33333333,RIL,Z005E0014
Z005E0027@,16.00000003,RIL,Z005E0027
Z005E0042@,14,RIL,Z005E0042
Z005E0043@,15.33333333,RIL,Z005E0043
Z005E0048@,16.00000001,RIL,Z005E0048
Z005E0055@,11.99999999,RIL,Z005E0055
Z005E0061@,15,RIL,Z005E0061
Z005E0063@,13.66666667,RIL,Z005E0063
Z005E0066@,15.99999994,RIL,Z005E0066
Z005E0075@,13,RIL,Z005E0075
Z005E0079@,13.33333333,RIL,Z005E0079
Z005E0083@,13.49999997,RIL,Z005E0083
Z005E0093@,16.66666672,RIL,Z005E0093
Z005E0096@,12.33333333,RIL,Z005E0096
Z005E0097@,12.66666665,RIL,Z005E0097
Z005E0099@,11.99999994,RIL,Z005E0099
Z005E0100@,12.33333333,RIL,Z005E0100
Z005E0111@,14,RIL,Z005E0111
Z005E0112@,15.59999999,RIL,Z005E0112
Z005E0113@,15,RIL,Z005E0113
Z005E0117@,14.00000006,RIL,Z005E0117
Z005E0139@,14.66666667,RIL,Z005E0139
Z005E0149@,17.33333333,RIL,Z005E0149
Z005E0155@,15,RIL,Z005E0155
Z005E0173@,12.66666667,RIL,Z005E0173
Z006E0012@,16.80000001,RIL,Z006E0012
Z006E0016@,17.66666667,RIL,Z006E0016
Z006E0027@,14.66666661,RIL,Z006E0027
Z006E0028@,15,RIL,Z006E0028
Z006E0041@,19,RIL,Z006E0041
Z006E0088@,16.66666667,RIL,Z006E0088
Z006E0124@,16.66666667,RIL,Z006E0124
Z006E0125@,13.19999999,RIL,Z006E0125
Z006E0147@,15.33333328,RIL,Z006E0147
Z006E0154@,14.33333333,RIL,Z006E0154
Z006E0160@,18.00000006,RIL,Z006E0160
Z006E0171@,15.66666667,RIL,Z006E0171
Z006E0189@,16.33333333,RIL,Z006E0189
Z006E0193@,15,RIL,Z006E0193
Z006E0196@,14.66666667,RIL,Z006E0196
Z007E0015@,13.19999999,RIL,Z007E0015
Z007E0117@,14.5,RIL,Z007E0117
Z007E0123@,13.33333328,RIL,Z007E0123
Z008E0006@,16.66666667,RIL,Z008E0006
Z008E0009@,13.66666667,RIL,Z008E0009
Z008E0013@,14.80000001,RIL,Z008E0013
Z008E0017@,11.33333333,RIL,Z008E0017
Z008E0040@,14.33333333,RIL,Z008E0040
Z008E0041@,12.00000001,RIL,Z008E0041
Z008E0047@,13.66666667,RIL,Z008E0047
Z008E0054@,14,RIL,Z008E0054
Z008E0056@,14.33333333,RIL,Z008E0056
Z008E0062@,13.66666667,RIL,Z008E0062
Z008E0064@,16.33333333,RIL,Z008E0064
Z008E0075@,13.33333333,RIL,Z008E0075
Z008E0093@,15.33333333,RIL,Z008E0093
Z008E0094@,11.33333333,RIL,Z008E0094
Z008E0099@,13.99999999,RIL,Z008E0099
Z008E0123@,16,RIL,Z008E0123
Z008E0127@,13.19999999,RIL,Z008E0127
Z008E0134@,14,RIL,Z008E0134
Z008E0139@,15.49999997,RIL,Z008E0139
Z008E0141@,13.19999999,RIL,Z008E0141
Z008E0143@,16.00000006,RIL,Z008E0143
Z008E0177@,15.66666667,RIL,Z008E0177
Z008E0178@,15,RIL,Z008E0178
Z008E0183@,12.66666667,RIL,Z008E0183
Z008E0193@,15.00000003,RIL,Z008E0193
Z009E0015@,11.99999999,RIL,Z009E0015
Z009E0025@,16.40000001,RIL,Z009E0025
Z009E0031@,12.80000001,RIL,Z009E0031
Z009E0051@,15.33333333,RIL,Z009E0051
Z009E0055@,12.5,RIL,Z009E0055
Z009E0062@,15.00000003,RIL,Z009E0062
Z009E0063@,14,RIL,Z009E0063
Z009E0082@,14.66666672,RIL,Z009E0082
Z009E0095@,14.66666667,RIL,Z009E0095
Z009E0114@,13.33333333,RIL,Z009E0114
Z009E0125@,10.39999999,RIL,Z009E0125
Z009E0133@,16.49999997,RIL,Z009E0133
Z009E0136@,14.33333333,RIL,Z009E0136
Z009E0137@,13.99999999,RIL,Z009E0137
Z009E0143@,15,RIL,Z009E0143
Z009E0145@,11.33333333,RIL,Z009E0145
Z009E0149@,12.33333333,RIL,Z009E0149
Z009E0150@,14.66666667,RIL,Z009E0150
Z009E0153@,12.80000001,RIL,Z009E0153
Z009E0155@,13.60000001,RIL,Z009E0155
Z009E0167@,15,RIL,Z009E0167
Z009E0169@,15.33333333,RIL,Z009E0169
Z009E0173@,15,RIL,Z009E0173
Z009E0176@,15.33333333,RIL,Z009E0176
Z009E0177@,12.66666667,RIL,Z009E0177
Z009E0178@,13,RIL,Z009E0178
Z009E0179@,14,RIL,Z009E0179
Z009E0193@,13.99999994,RIL,Z009E0193
Z009E0219@,13,RIL,Z009E0219
Z010E0001@,17.99999994,RIL,Z010E0001
Z010E0002@,14.50000003,RIL,Z010E0002
Z010E0009@,14.33333333,RIL,Z010E0009
Z010E0055@,13.20000001,RIL,Z010E0055
Z010E0062@,13,RIL,Z010E0062
Z010E0141@,13.59999999,RIL,Z010E0141
Z010E0146@,15.5,RIL,Z010E0146
Z010E0148@,12.66666672,RIL,Z010E0148
Z010E0149@,13.99999999,RIL,Z010E0149
Z010E0175@,15.66666667,RIL,Z010E0175
Z010E0182@,14.33333333,RIL,Z010E0182
Z011E0008@,16.00000006,RIL,Z011E0008
Z011E0009@,13,RIL,Z011E0009
Z011E0012@,15.33333335,RIL,Z011E0012
Z011E0062@,15,RIL,Z011E0062
Z011E0079@,17.33333339,RIL,Z011E0079
Z011E0144@,17.20000001,RIL,Z011E0144
Z011E0146@,13.50000003,RIL,Z011E0146
Z011E0160@,15,RIL,Z011E0160
Z011E0162@,12.00000006,RIL,Z011E0162
Z011E0169@,12.00000006,RIL,Z011E0169
Z011E0182@,13,RIL,Z011E0182
Z012E0008@,15.33333333,RIL,Z012E0008
Z012E0012@,13.00000006,RIL,Z012E0012
Z012E0012@,11.99999994,RIL,Z012E0012
Z012E0014@,9.999999944,RIL,Z012E0014
Z012E0026@,14.00000006,RIL,Z012E0026
Z012E0026@,13.99999994,RIL,Z012E0026
Z012E0042@,15.33333339,RIL,Z012E0042
Z012E0042@,13.99999994,RIL,Z012E0042
Z012E0055@,17.33333333,RIL,Z012E0055
Z012E0058@,11,RIL,Z012E0058
Z012E0098@,13.33333333,RIL,Z012E0098
Z012E0102@,13.66666667,RIL,Z012E0102
Z012E0117@,15,RIL,Z012E0117
Z012E0159@,14.66666667,RIL,Z012E0159
Z013E0060@,17.66666667,RIL,Z013E0060
Z013E0204@,12.00000006,RIL,Z013E0204
Z013E0207@,13.33333333,RIL,Z013E0207
Z013E0213@,14.33333333,RIL,Z013E0213
Z013E0216@,14.80000001,RIL,Z013E0216
Z013E0224@,14.66666667,RIL,Z013E0224
Z013E0227@,15.33333333,RIL,Z013E0227
Z013E0231@,14.66666672,RIL,Z013E0231
Z013E0232@,16.66666672,RIL,Z013E0232
Z013E0233@,12.33333333,RIL,Z013E0233
Z013E0234@,14.33333333,RIL,Z013E0234
Z013E0236@,12.50000003,RIL,Z013E0236
Z013E0238@,15.00000003,RIL,Z013E0238
Z013E0239@,12.50000003,RIL,Z013E0239
Z013E0240@,12.80000001,RIL,Z013E0240
Z013E0251@,15.5,RIL,Z013E0251
Z013E0256@,13.60000001,RIL,Z013E0256
Z013E0288@,16.00000006,RIL,Z013E0288
Z013E0289@,13.20000001,RIL,Z013E0289
Z013E0290@,14.00000006,RIL,Z013E0290
Z013E0291@,15.66666667,RIL,Z013E0291
Z013E0292@,15.33333339,RIL,Z013E0292
Z013E0308@,14.66666672,RIL,Z013E0308
Z013E0311@,15.66666667,RIL,Z013E0311
Z013E0316@,12.66666672,RIL,Z013E0316
Z013E0319@,15.00000003,RIL,Z013E0319
Z013E0323@,15.00000003,RIL,Z013E0323
Z014E0005@,12,RIL,Z014E0005
Z014E0012@,14,RIL,Z014E0012
Z014E0017@,14.00000006,RIL,Z014E0017
Z014E0021@,13.99999994,RIL,Z014E0021
Z014E0052@,13.33333333,RIL,Z014E0052
Z014E0075@,12.33333333,RIL,Z014E0075
Z014E0084@,14.66666667,RIL,Z014E0084
Z014E0098@,12.00000006,RIL,Z014E0098
Z014E0099@,14.33333333,RIL,Z014E0099
Z014E0144@,13.33333333,RIL,Z014E0144
Z014E0146@,14.66666667,RIL,Z014E0146
Z014E0162@,17.33333328,RIL,Z014E0162
Z014E0166@,15.19999999,RIL,Z014E0166
Z014E0167@,14.66666667,RIL,Z014E0167
Z014E0168@,12.40000001,RIL,Z014E0168
Z014E0197@,13.59999999,RIL,Z014E0197
Z015E0013@,12.99999997,RIL,Z015E0013
Z015E0019@,19.19999999,RIL,Z015E0019
Z015E0022@,14.66666667,RIL,Z015E0022
Z015E0023@,13.66666667,RIL,Z015E0023
Z015E0026@,12.79999999,RIL,Z015E0026
Z015E0029@,16,RIL,Z015E0029
Z015E0033@,16,RIL,Z015E0033
Z015E0036@,14,RIL,Z015E0036
Z015E0038@,14.40000001,RIL,Z015E0038
Z015E0041@,12.49999997,RIL,Z015E0041
Z015E0042@,15.99999999,RIL,Z015E0042
Z015E0059@,13.49999997,RIL,Z015E0059
Z015E0063@,13.19999999,RIL,Z015E0063
Z015E0071@,13.66666667,RIL,Z015E0071
Z015E0074@,13.33333333,RIL,Z015E0074
Z015E0080@,15,RIL,Z015E0080
Z015E0084@,14,RIL,Z015E0084
Z015E0102@,16,RIL,Z015E0102
Z015E0105@,12.33333333,RIL,Z015E0105
Z015E0118@,15.00000003,RIL,Z015E0118
Z015E0123@,16,RIL,Z015E0123
Z015E0127@,13.60000001,RIL,Z015E0127
Z015E0135@,17,RIL,Z015E0135
Z015E0142@,14.79999999,RIL,Z015E0142
Z015E0148@,16,RIL,Z015E0148
Z015E0155@,13.59999999,RIL,Z015E0155
Z015E0158@,14,RIL,Z015E0158
Z015E0160@,13,RIL,Z015E0160
Z015E0163@,14.66666667,RIL,Z015E0163
Z015E0164@,16.00000003,RIL,Z015E0164
Z015E0170@,14.66666672,RIL,Z015E0170
Z015E0199@,14.39999999,RIL,Z015E0199
Z015E0230@,15.19999999,RIL,Z015E0230
Z015E0236@,18.00000006,RIL,Z015E0236
Z016E0002@,13,RIL,Z016E0002
Z016E0019@,13.66666667,RIL,Z016E0019
Z016E0021@,15,RIL,Z016E0021
Z016E0027@,15.33333328,RIL,Z016E0027
Z016E0028@,16.66666667,RIL,Z016E0028
Z016E0030@,18.79999999,RIL,Z016E0030
Z016E0047@,16.00000001,RIL,Z016E0047
Z016E0058@,15.33333333,RIL,Z016E0058
Z016E0063@,14.66666667,RIL,Z016E0063
Z016E0065@,15.33333333,RIL,Z016E0065
Z016E0077@,15.20000001,RIL,Z016E0077
Z016E0079@,14.80000001,RIL,Z016E0079
Z016E0080@,14.66666667,RIL,Z016E0080
Z016E0081@,15.66666667,RIL,Z016E0081
Z016E0084@,12.33333333,RIL,Z016E0084
Z016E0103@,16,RIL,Z016E0103
Z016E0112@,19,RIL,Z016E0112
Z016E0115@,12.80000001,RIL,Z016E0115
Z016E0117@,14.66666667,RIL,Z016E0117
Z016E0118@,15.33333333,RIL,Z016E0118
Z016E0119@,17,RIL,Z016E0119
Z016E0121@,16.00000003,RIL,Z016E0121
Z016E0122@,13.99999994,RIL,Z016E0122
Z016E0128@,14,RIL,Z016E0128
Z016E0132@,17.33333333,RIL,Z016E0132
Z016E0133@,15,RIL,Z016E0133
Z016E0134@,13.60000001,RIL,Z016E0134
Z016E0135@,16.66666667,RIL,Z016E0135
Z016E0136@,13,RIL,Z016E0136
Z016E0137@,14,RIL,Z016E0137
Z016E0138@,18,RIL,Z016E0138
Z016E0143@,12.66666667,RIL,Z016E0143
Z016E0144@,18.66666667,RIL,Z016E0144
Z016E0149@,16.00000003,RIL,Z016E0149
Z016E0150@,17,RIL,Z016E0150
Z016E0153@,12.66666672,RIL,Z016E0153
Z016E0157@,15,RIL,Z016E0157
Z016E0160@,13.33333333,RIL,Z016E0160
Z016E0161@,15,RIL,Z016E0161
Z016E0162@,16,RIL,Z016E0162
Z016E0194@,12.80000001,RIL,Z016E0194
Z016E0198@,15.60000001,RIL,Z016E0198
Z016E0220@,14,RIL,Z016E0220
Z016E0251@,14.50000003,RIL,Z016E0251
Z016E0254@,14,RIL,Z016E0254
Z018E0023@,15.50000003,RIL,Z018E0023
Z018E0027@,18.33333333,RIL,Z018E0027
Z018E0030@,17.59999999,RIL,Z018E0030
Z018E0032@,16.00000003,RIL,Z018E0032
Z018E0039@,14.66666667,RIL,Z018E0039
Z018E0042@,12.66666667,RIL,Z018E0042
Z018E0049@,17.33333333,RIL,Z018E0049
Z018E0053@,14.33333333,RIL,Z018E0053
Z018E0061@,15.33333339,RIL,Z018E0061
Z018E0067@,11.99999994,RIL,Z018E0067
Z018E0077@,14.50000003,RIL,Z018E0077
Z018E0078@,19.33333339,RIL,Z018E0078
Z018E0096@,18.66666667,RIL,Z018E0096
Z018E0114@,14.00000006,RIL,Z018E0114
Z018E0121@,13.19999999,RIL,Z018E0121
Z018E0122@,13.99999997,RIL,Z018E0122
Z018E0130@,15.66666667,RIL,Z018E0130
Z018E0138@,16,RIL,Z018E0138
Z018E0139@,13.33333333,RIL,Z018E0139
Z018E0141@,19.00000006,RIL,Z018E0141
Z018E0148@,15.33333333,RIL,Z018E0148
Z018E0150@,14.79999999,RIL,Z018E0150
Z018E0158@,15.60000001,RIL,Z018E0158
Z018E0160@,16,RIL,Z018E0160
Z018E0163@,17.99999997,RIL,Z018E0163
Z018E0164@,15.33333333,RIL,Z018E0164
Z018E0171@,17,RIL,Z018E0171
Z018E0172@,17.33333333,RIL,Z018E0172
Z018E0173@,18.66666667,RIL,Z018E0173
Z018E0177@,12.00000001,RIL,Z018E0177
Z018E0179@,12.66666667,RIL,Z018E0179
Z019E0004@,15.33333328,RIL,Z019E0004
Z019E0006@,16.49999997,RIL,Z019E0006
Z019E0011@,15.99999998,RIL,Z019E0011
Z019E0032@,16,RIL,Z019E0032
Z019E0069@,17,RIL,Z019E0069
Z019E0111@,15.59999999,RIL,Z019E0111
Z019E0119@,12.66666667,RIL,Z019E0119
Z019E0124@,17.33333333,RIL,Z019E0124
Z019E0125@,17.20000001,RIL,Z019E0125
Z019E0138@,17.33333333,RIL,Z019E0138
Z019E0170@,17.33333333,RIL,Z019E0170
Z019E0177@,17,RIL,Z019E0177
Z019E0178@,15.33333328,RIL,Z019E0178
Z019E0194@,16,RIL,Z019E0194
Z019E0226@,20.33333333,RIL,Z019E0226
Z020E0009@,19.00000006,RIL,Z020E0009
Z020E0012@,13.99999998,RIL,Z020E0012
Z020E0015@,16.00000003,RIL,Z020E0015
Z020E0019@,17.50000003,RIL,Z020E0019
Z020E0025@,14,RIL,Z020E0025
Z020E0027@,16.66666667,RIL,Z020E0027
Z020E0029@,11.66666667,RIL,Z020E0029
Z020E0032@,14.39999999,RIL,Z020E0032
Z020E0034@,14.66666667,RIL,Z020E0034
Z020E0038@,15.33333333,RIL,Z020E0038
Z020E0041@,14.39999999,RIL,Z020E0041
Z020E0043@,12.80000001,RIL,Z020E0043
Z020E0047@,15.20000001,RIL,Z020E0047
Z020E0049@,12.66666667,RIL,Z020E0049
Z020E0050@,13.66666667,RIL,Z020E0050
Z020E0056@,15.49999997,RIL,Z020E0056
Z020E0057@,16.66666672,RIL,Z020E0057
Z020E0059@,18.33333333,RIL,Z020E0059
Z020E0062@,14,RIL,Z020E0062
Z020E0066@,16.33333333,RIL,Z020E0066
Z020E0069@,12.50000003,RIL,Z020E0069
Z020E0075@,15.66666667,RIL,Z020E0075
Z020E0090@,18.40000001,RIL,Z020E0090
Z020E0099@,16.33333333,RIL,Z020E0099
Z020E0103@,13.33333333,RIL,Z020E0103
Z020E0106@,15,RIL,Z020E0106
Z020E0117@,17,RIL,Z020E0117
Z020E0120@,20,RIL,Z020E0120
Z020E0122@,11.66666667,RIL,Z020E0122
Z020E0152@,13.66666667,RIL,Z020E0152
Z020E0155@,15.66666667,RIL,Z020E0155
Z020E0159@,14.66666669,RIL,Z020E0159
Z021E0025@,11,RIL,Z021E0025
Z021E0028@,15.66666667,RIL,Z021E0028
Z021E0034@,11,RIL,Z021E0034
Z021E0040@,15.66666667,RIL,Z021E0040
Z021E0042@,12.33333333,RIL,Z021E0042
Z021E0050@,12.66666667,RIL,Z021E0050
Z021E0051@,13.19999999,RIL,Z021E0051
Z021E0052@,14.33333333,RIL,Z021E0052
Z021E0053@,11.99999999,RIL,Z021E0053
Z021E0054@,17.99999999,RIL,Z021E0054
Z021E0057@,15.33333333,RIL,Z021E0057
Z021E0060@,15.33333333,RIL,Z021E0060
Z021E0061@,14.33333333,RIL,Z021E0061
Z021E0066@,13,RIL,Z021E0066
Z021E0082@,12.66666667,RIL,Z021E0082
Z021E0088@,11.59999999,RIL,Z021E0088
Z021E0090@,15.33333333,RIL,Z021E0090
Z021E0096@,15.33333333,RIL,Z021E0096
Z021E0130@,17.33333333,RIL,Z021E0130
Z021E0146@,15.66666667,RIL,Z021E0146
Z021E0147@,15.66666667,RIL,Z021E0147
Z021E0152@,15.33333333,RIL,Z021E0152
Z021E0161@,17.33333333,RIL,Z021E0161
Z021E0169@,13.66666667,RIL,Z021E0169
Z021E0175@,12.33333333,RIL,Z021E0175
Z021E0178@,12.66666672,RIL,Z021E0178
Z021E0181@,14.66666667,RIL,Z021E0181
Z021E0182@,12,RIL,Z021E0182
Z021E0192@,12.99999997,RIL,Z021E0192
Z021E0195@,12.66666672,RIL,Z021E0195
Z022E0003@,17,RIL,Z022E0003
Z022E0006@,15.33333333,RIL,Z022E0006
Z022E0007@,16.66666667,RIL,Z022E0007
Z022E0012@,14.40000001,RIL,Z022E0012
Z022E0016@,14.00000001,RIL,Z022E0016
Z022E0115@,15.99999999,RIL,Z022E0115
Z023E0017@,17.33333333,RIL,Z023E0017
Z023E0044@,15.66666667,RIL,Z023E0044
Z023E0056@,15,RIL,Z023E0056
Z023E0075@,14.00000006,RIL,Z023E0075
Z023E0085@,16.79999999,RIL,Z023E0085
Z024E0002@,11.00000006,RIL,Z024E0002
Z024E0004@,13.33333335,RIL,Z024E0004
Z024E0006@,14.66666672,RIL,Z024E0006
Z024E0006@,9.999999944,RIL,Z024E0006
Z024E0008@,14.33333333,RIL,Z024E0008
Z024E0009@,14,RIL,Z024E0009
Z024E0017@,14.00000002,RIL,Z024E0017
Z024E0033@,11.60000001,RIL,Z024E0033
Z024E0044@,15.60000001,RIL,Z024E0044
Z024E0058@,13.99999994,RIL,Z024E0058
Z024E0083@,13.33333339,RIL,Z024E0083
Z024E0118@,15,RIL,Z024E0118
Z024E0120@,15.33333333,RIL,Z024E0120
Z024E0152@,17.33333333,RIL,Z024E0152
Z024E0158@,12,RIL,Z024E0158
Z024E0195@,15.33333333,RIL,Z024E0195
Z024E0203@,14.00000003,RIL,Z024E0203
Z025E0055@,13,RIL,Z025E0055
Z025E0088@,16,RIL,Z025E0088
Z025E0106@,13.99999994,RIL,Z025E0106
Z025E0113@,11.99999994,RIL,Z025E0113
Z025E0123@,18.00000006,RIL,Z025E0123
Z025E0124@,15.00000003,RIL,Z025E0124
Z025E0140@,14.66666672,RIL,Z025E0140
Z025E0181@,13.33333339,RIL,Z025E0181
Z025E0181@,14.99999994,RIL,Z025E0181
Z025E0187@,13.33333339,RIL,Z025E0187
Z025E0187@,11.33333328,RIL,Z025E0187
Z025E0195@,13,RIL,Z025E0195
Z025E0196@,12.00000006,RIL,Z025E0196
Z025E0196@,13.33333328,RIL,Z025E0196
Z025E0198@,18.00000006,RIL,Z025E0198
Z025E0198@,17.99999994,RIL,Z025E0198
Z025E0218@,13.33333333,RIL,Z025E0218
Z025E0238@,19.33333328,RIL,Z025E0238
Z026E0006@,14,RIL,Z026E0006
Z026E0010@,16.00000006,RIL,Z026E0010
Z026E0013@,13.5,RIL,Z026E0013
Z026E0020@,17,RIL,Z026E0020
Z026E0022@,15.66666667,RIL,Z026E0022
Z026E0034@,15.33333333,RIL,Z026E0034
Z026E0035@,12.79999999,RIL,Z026E0035
Z026E0041@,16,RIL,Z026E0041
Z026E0053@,14.40000001,RIL,Z026E0053
Z026E0054@,14,RIL,Z026E0054
Z026E0061@,14,RIL,Z026E0061
Z026E0068@,15,RIL,Z026E0068
Z026E0077@,15.60000001,RIL,Z026E0077
Z026E0080@,12.66666665,RIL,Z026E0080
Z026E0085@,13,RIL,Z026E0085
Z026E0088@,12.66666672,RIL,Z026E0088
Z026E0100@,15.66666667,RIL,Z026E0100
Z026E0123@,12,RIL,Z026E0123
Z026E0124@,12.00000006,RIL,Z026E0124
Z026E0126@,13,RIL,Z026E0126
Z026E0141@,14,RIL,Z026E0141
Z026E0149@,15.20000001,RIL,Z026E0149
Z026E0152@,14.39999999,RIL,Z026E0152
Z026E0153@,16,RIL,Z026E0153
Z026E0156@,15.66666667,RIL,Z026E0156
Z026E0162@,13.59999999,RIL,Z026E0162
Z026E0165@,13.00000003,RIL,Z026E0165
Z026E0198@,15.33333333,RIL,Z026E0198
Z026E0199@,14.99999997,RIL,Z026E0199
