Genotype,CL,CD,CW,Note,RIL
B73 x Z001E0151,178.3183333,27.23333333,30.75666667,Bx,Z001E0151
B73 x Z001E0170,155.91,27.565,24.22833333,Bx,Z001E0170
B73 x Z001E0198,163.4293086,26.04360794,25.86428034,Bx,Z001E0198
B73 x Z002E0001,166.5147234,27.80544318,26.99771213,Bx,Z002E0001
B73 x Z002E0023,168.9766667,26.58833333,28.22833333,Bx,Z002E0023
B73 x Z002E0046,152.935,27.57333333,24.58666667,Bx,Z002E0046
B73 x Z002E0106,165.5087234,26.47344318,26.57371213,Bx,Z002E0106
B73 x Z002E0116,172.0087234,24.05944318,21.72371213,Bx,Z002E0116
B73 x Z002E0126,186.3783333,28.65166667,34.31666667,Bx,Z002E0126
B73 x Z002E0136,158.5747234,28.42944318,27.86371213,Bx,Z002E0136
B73 x Z002E0152,184.1716667,28.215,31.14833333,Bx,Z002E0152
B73 x Z002E0156,179.6633333,27.06333333,27.54,Bx,Z002E0156
B73 x Z002E0159,193.8066667,27.08166667,28.60333333,Bx,Z002E0159
B73 x Z002E0163,154.7707234,25.55944318,24.61171213,Bx,Z002E0163
B73 x Z002E0175,199.3816667,28.61,35.23333333,Bx,Z002E0175
B73 x Z002E0187,174.0433333,29.03833333,28.85333333,Bx,Z002E0187
B73 x Z002E0193,169.5783333,28.19,29.08,Bx,Z002E0193
B73 x Z002E0197,176.0687234,26.95544318,28.12771213,Bx,Z002E0197
B73 x Z002E0217,167.6547234,27.06544318,28.46771213,Bx,Z002E0217
B73 x Z003E0022,163.445,28.76666667,31.775,Bx,Z003E0022
B73 x Z003E0071,164.815,29.725,31.12333333,Bx,Z003E0071
B73 x Z003E0075,152.6787234,27.38544318,22.43171213,Bx,Z003E0075
B73 x Z003E0077,149.96,29.94666667,26.89833333,Bx,Z003E0077
B73 x Z003E0088,175.9316667,25.31666667,25.39166667,Bx,Z003E0088
B73 x Z003E0098,165.4243086,27.44110794,28.62178034,Bx,Z003E0098
B73 x Z003E0195,147.895,27.015,20.21333333,Bx,Z003E0195
B73 x Z003E0197,177.6483333,28.94333333,33.02833333,Bx,Z003E0197
B73 x Z003E0212,171.115,28.35666667,30.04833333,Bx,Z003E0212
B73 x Z004E0001,159.605,26.06,25.745,Bx,Z004E0001
B73 x Z004E0005,143.215,25.09,18.83166667,Bx,Z004E0005
B73 x Z004E0021,164.4416667,26.36,26.665,Bx,Z004E0021
B73 x Z004E0027,150.9007234,27.96544318,25.09571213,Bx,Z004E0027
B73 x Z004E0040,159.8393086,25.87610794,24.19678034,Bx,Z004E0040
B73 x Z004E0043,179.41,27.80666667,33.575,Bx,Z004E0043
B73 x Z004E0046,156.6316667,25.70833333,28.585,Bx,Z004E0046
B73 x Z004E0049,141.6852766,24.92855682,20.94428787,Bx,Z004E0049
B73 x Z004E0052,179.9116667,29.27666667,30.74166667,Bx,Z004E0052
B73 x Z004E0054,153.5616667,28.14,27.19833333,Bx,Z004E0054
B73 x Z004E0058,157.9493086,24.50610794,21.16178034,Bx,Z004E0058
B73 x Z004E0061,170.065,27.695,28.17666667,Bx,Z004E0061
B73 x Z004E0063,150.5666667,29.695,30.07333333,Bx,Z004E0063
B73 x Z004E0069,175.8872766,31.25655682,33.53428787,Bx,Z004E0069
B73 x Z004E0071,151.2083333,26.495,22.27333333,Bx,Z004E0071
B73 x Z004E0081,144.9633333,24.77833333,21.53666667,Bx,Z004E0081
B73 x Z004E0083,162.7369505,24.23388255,24.78522734,Bx,Z004E0083
B73 x Z004E0096,148.3067234,26.56744318,24.44971213,Bx,Z004E0096
B73 x Z004E0098,159.8287234,27.01744318,23.32971213,Bx,Z004E0098
B73 x Z004E0102,145.5566667,24.055,19.86166667,Bx,Z004E0102
B73 x Z004E0111,166.18,26.35833333,25.63166667,Bx,Z004E0111
B73 x Z004E0115,184.7668086,29.83860794,32.97678034,Bx,Z004E0115
B73 x Z004E0126,163.2716667,27.72666667,29.3,Bx,Z004E0126
B73 x Z004E0136,166.5966667,28.94333333,30.11666667,Bx,Z004E0136
B73 x Z004E0141,192.3416667,29.83,37.25833333,Bx,Z004E0141
B73 x Z004E0161,167.32,24.83,23.59,Bx,Z004E0161
B73 x Z004E0162,155.6136172,27.13054922,27.67856067,Bx,Z004E0162
B73 x Z004E0163,170.2866667,29.965,32.035,Bx,Z004E0163
B73 x Z004E0175,183.9968086,28.98110794,38.53678034,Bx,Z004E0175
B73 x Z004E0190,174.2469505,28.70388255,36.66189401,Bx,Z004E0190
B73 x Z004E0191,182.28,29.75833333,37.09333333,Bx,Z004E0191
B73 x Z004E0199,165.0166667,28.40166667,26.97333333,Bx,Z004E0199
B73 x Z004E0208,154.6687234,26.08744318,23.30171213,Bx,Z004E0208
B73 x Z004E0232,174.9833333,29.13833333,33.78333333,Bx,Z004E0232
B73 x Z005E0004,194.1683333,29.75333333,43.44,Bx,Z005E0004
B73 x Z005E0012,171.2933333,27.07333333,26.83833333,Bx,Z005E0012
B73 x Z005E0013,185.085,30.335,39.00833333,Bx,Z005E0013
B73 x Z005E0014,192.28,28.34666667,33.275,Bx,Z005E0014
B73 x Z005E0021,195.2583333,24.06333333,28.32666667,Bx,Z005E0021
B73 x Z005E0027,186.4467234,29.38944318,41.52771213,Bx,Z005E0027
B73 x Z005E0042,193.2433333,26.63833333,36.27166667,Bx,Z005E0042
B73 x Z005E0043,154.245,28.875,33.06833333,Bx,Z005E0043
B73 x Z005E0048,167.5468086,28.06860794,30.66428034,Bx,Z005E0048
B73 x Z005E0055,173.8166667,27.41333333,36.64833333,Bx,Z005E0055
B73 x Z005E0061,161.2467234,28.14144318,28.35171213,Bx,Z005E0061
B73 x Z005E0063,164.6727234,27.54944318,31.76771213,Bx,Z005E0063
B73 x Z005E0066,126.4369505,29.05721588,26.76522734,Bx,Z005E0066
B73 x Z005E0075,158.5966667,27.33,27.54,Bx,Z005E0075
B73 x Z005E0079,178.195,27.73333333,32.81166667,Bx,Z005E0079
B73 x Z005E0083,155.6516667,27.505,24.61833333,Bx,Z005E0083
B73 x Z005E0093,172.0483333,27.78666667,33.89333333,Bx,Z005E0093
B73 x Z005E0096,174.8854609,24.89759471,26.29381311,Bx,Z005E0096
B73 x Z005E0097,177.615,30.34666667,39.29,Bx,Z005E0097
B73 x Z005E0099,171.5066667,26.27166667,28.52166667,Bx,Z005E0099
B73 x Z005E0100,143.1236172,25.88721588,22.16522734,Bx,Z005E0100
B73 x Z005E0111,186.6356914,25.75389206,26.07821966,Bx,Z005E0111
B73 x Z005E0112,183.0016667,29.235,37.80666667,Bx,Z005E0112
B73 x Z005E0113,169.345,27.69,28.27833333,Bx,Z005E0113
B73 x Z005E0117,156.1145391,24.72907196,23.74952022,Bx,Z005E0117
B73 x Z005E0119,145.4083333,27.18666667,24.35666667,Bx,Z005E0119
B73 x Z005E0139,181.8566667,28.08333333,38.3,Bx,Z005E0139
B73 x Z005E0149,178.9852766,28.26655682,32.01428787,Bx,Z005E0149
B73 x Z005E0155,174.2207234,28.10544318,30.73171213,Bx,Z005E0155
B73 x Z005E0158,176.8207234,25.96344318,29.05971213,Bx,Z005E0158
B73 x Z005E0173,192.0266667,29.66,38.44833333,Bx,Z005E0173
B73 x Z006E0012,143.9283333,24.39833333,19.41833333,Bx,Z006E0012
B73 x Z006E0016,175.1292766,27.11655682,33.13828787,Bx,Z006E0016
B73 x Z006E0027,169.335,26.83166667,28.10833333,Bx,Z006E0027
B73 x Z006E0028,187.76,26.83333333,33.38833333,Bx,Z006E0028
B73 x Z006E0041,171.905,29.36333333,32.495,Bx,Z006E0041
B73 x Z006E0088,178.7247234,25.74944318,28.16971213,Bx,Z006E0088
B73 x Z006E0124,139.935,25.44166667,20.055,Bx,Z006E0124
B73 x Z006E0125,159.5366667,23.715,19.82666667,Bx,Z006E0125
B73 x Z006E0147,164.5787234,25.24544318,24.15771213,Bx,Z006E0147
B73 x Z006E0154,149.2430495,22.74945078,16.29810599,Bx,Z006E0154
B73 x Z006E0160,174.8367234,24.48944318,23.71371213,Bx,Z006E0160
B73 x Z006E0171,174.37,25.72166667,32.65333333,Bx,Z006E0171
B73 x Z006E0179,173.9,25.62666667,26.75,Bx,Z006E0179
B73 x Z006E0189,157.0467234,25.49744318,21.01171213,Bx,Z006E0189
B73 x Z006E0193,181.4683333,25.44833333,26.15333333,Bx,Z006E0193
B73 x Z006E0196,194.375,26.95,33.19833333,Bx,Z006E0196
B73 x Z007E0015,161.0066667,27.43,29.12333333,Bx,Z007E0015
B73 x Z007E0117,180.0807234,26.61744318,34.05571213,Bx,Z007E0117
B73 x Z007E0123,183.4547234,28.17344318,33.43971213,Bx,Z007E0123
B73 x Z008E0006,176.8783333,29.26166667,30.575,Bx,Z008E0006
B73 x Z008E0009,190.99,27.88833333,33.44166667,Bx,Z008E0009
B73 x Z008E0013,182.7772766,27.48655682,28.27228787,Bx,Z008E0013
B73 x Z008E0017,180.9783333,25.99333333,29.96833333,Bx,Z008E0017
B73 x Z008E0033,178.56,28.10166667,29.49666667,Bx,Z008E0033
B73 x Z008E0040,165.445,25.83166667,28.71666667,Bx,Z008E0040
B73 x Z008E0041,189.385,27.36666667,31.565,Bx,Z008E0041
B73 x Z008E0047,150.5066667,25.13,25.45333333,Bx,Z008E0047
B73 x Z008E0054,138.5697161,26.15278412,16.38810599,Bx,Z008E0054
B73 x Z008E0056,173.9068086,27.52110794,29.35678034,Bx,Z008E0056
B73 x Z008E0059,145.5916667,26.19166667,19.55166667,Bx,Z008E0059
B73 x Z008E0062,162.235,25.05166667,25.26833333,Bx,Z008E0062
B73 x Z008E0064,133.3783333,28.1,24.30833333,Bx,Z008E0064
B73 x Z008E0072,199.7816667,27.79333333,30.545,Bx,Z008E0072
B73 x Z008E0075,177.95,26.64666667,26.82166667,Bx,Z008E0075
B73 x Z008E0094,197.4333333,29.71833333,37.03333333,Bx,Z008E0094
B73 x Z008E0099,143.1667234,26.05944318,19.81771213,Bx,Z008E0099
B73 x Z008E0123,166.4166667,29.96166667,34.03166667,Bx,Z008E0123
B73 x Z008E0127,140.6607234,23.30144318,17.51171213,Bx,Z008E0127
B73 x Z008E0134,162.9316667,27.89833333,30.49666667,Bx,Z008E0134
B73 x Z008E0139,145.6816667,26.345,19.75666667,Bx,Z008E0139
B73 x Z008E0141,165.6307234,24.87144318,23.63771213,Bx,Z008E0141
B73 x Z008E0143,183.415,28.93333333,28.82166667,Bx,Z008E0143
B73 x Z008E0172,163.1216667,26.765,26.95166667,Bx,Z008E0172
B73 x Z008E0174,160.6283333,26.90666667,29.33666667,Bx,Z008E0174
B73 x Z008E0177,166.4116667,27.48666667,27.02166667,Bx,Z008E0177
B73 x Z008E0178,150.5616667,24.50333333,17.63666667,Bx,Z008E0178
B73 x Z008E0183,171.5743086,26.28110794,25.65678034,Bx,Z008E0183
B73 x Z009E0015,193.7807234,30.82344318,43.76571213,Bx,Z009E0015
B73 x Z009E0025,182.0316667,28.28333333,30.63666667,Bx,Z009E0025
B73 x Z009E0031,192.92,28.91166667,35.425,Bx,Z009E0031
B73 x Z009E0051,170.6566667,30.41166667,30.83333333,Bx,Z009E0051
B73 x Z009E0055,162.065,26.88333333,29.88166667,Bx,Z009E0055
B73 x Z009E0061,185.6443086,25.07860794,29.50678034,Bx,Z009E0061
B73 x Z009E0062,176.645,29.54333333,31.785,Bx,Z009E0062
B73 x Z009E0063,166.11,27.91,26.71,Bx,Z009E0063
B73 x Z009E0082,161.4318086,27.39360794,26.04678034,Bx,Z009E0082
B73 x Z009E0095,176.0602839,26.79721588,27.51189401,Bx,Z009E0095
B73 x Z009E0096,171.5793086,27.09610794,28.05678034,Bx,Z009E0096
B73 x Z009E0114,167.9283333,26.41166667,24.33666667,Bx,Z009E0114
B73 x Z009E0125,190.8093086,25.18360794,29.83928034,Bx,Z009E0125
B73 x Z009E0133,163.7368086,27.02610794,25.00678034,Bx,Z009E0133
B73 x Z009E0136,190.5947234,26.64744318,26.66971213,Bx,Z009E0136
B73 x Z009E0137,156.25,28.36166667,27.49666667,Bx,Z009E0137
B73 x Z009E0143,175.4816667,27.73833333,28.925,Bx,Z009E0143
B73 x Z009E0145,189.4366667,26.295,25.41833333,Bx,Z009E0145
B73 x Z009E0149,189.8069505,28.18054922,33.76522734,Bx,Z009E0149
B73 x Z009E0150,177.9227234,27.50544318,25.96571213,Bx,Z009E0150
B73 x Z009E0153,164.7836172,26.17721588,23.18522734,Bx,Z009E0153
B73 x Z009E0155,193.5467234,28.62744318,29.64971213,Bx,Z009E0155
B73 x Z009E0167,185.0767234,27.79344318,28.79171213,Bx,Z009E0167
B73 x Z009E0169,195.7347234,28.72944318,38.09971213,Bx,Z009E0169
B73 x Z009E0170,163.6468086,28.62610794,26.38428034,Bx,Z009E0170
B73 x Z009E0173,150.9293086,28.43860794,22.10428034,Bx,Z009E0173
B73 x Z009E0176,182.3867234,28.85344318,31.01771213,Bx,Z009E0176
B73 x Z009E0177,197.8468086,27.17360794,31.15428034,Bx,Z009E0177
B73 x Z009E0178,173.6868086,26.77860794,26.52178034,Bx,Z009E0178
B73 x Z009E0179,189.4383333,28.73666667,36.58666667,Bx,Z009E0179
B73 x Z009E0193,173.0583333,28.74166667,25.96166667,Bx,Z009E0193
B73 x Z009E0219,159.0767234,27.96944318,26.01571213,Bx,Z009E0219
B73 x Z010E0055,176.5116667,26.24,24.68666667,Bx,Z010E0055
B73 x Z010E0062,178.7147234,24.51144318,24.10771213,Bx,Z010E0062
B73 x Z010E0141,182.3,26.605,24.86,Bx,Z010E0141
B73 x Z010E0146,163.5933333,25.68666667,20.78166667,Bx,Z010E0146
B73 x Z010E0148,202.5866667,25.45,26.45,Bx,Z010E0148
B73 x Z010E0149,185.8616667,26.31666667,27.77833333,Bx,Z010E0149
B73 x Z010E0154,152.9507234,24.54144318,18.21771213,Bx,Z010E0154
B73 x Z010E0175,174.2533333,28.385,27.525,Bx,Z010E0175
B73 x Z010E0182,188.0183333,27.51,25.235,Bx,Z010E0182
B73 x Z011E0008,169.0733333,31.25166667,36.275,Bx,Z011E0008
B73 x Z011E0009,175.2107234,28.78944318,30.36371213,Bx,Z011E0009
B73 x Z011E0016,188.2036172,30.36388255,35.38189401,Bx,Z011E0016
B73 x Z011E0062,178.5252766,27.53855682,28.54028787,Bx,Z011E0062
B73 x Z011E0079,181.5316667,27.38,25.11,Bx,Z011E0079
B73 x Z011E0144,136.8607234,23.94944318,16.50771213,Bx,Z011E0144
B73 x Z011E0146,167.115,28.36333333,27.11666667,Bx,Z011E0146
B73 x Z011E0160,175.34,27.51833333,28.79666667,Bx,Z011E0160
B73 x Z011E0162,132.4667234,24.42744318,13.27571213,Bx,Z011E0162
B73 x Z011E0169,164.285,26.475,23.945,Bx,Z011E0169
B73 x Z011E0175,159.6933333,24.86166667,19.805,Bx,Z011E0175
B73 x Z011E0182,191.0502839,28.48721588,37.49522734,Bx,Z011E0182
B73 x Z011E0195,182.4483333,31.28,41.24666667,Bx,Z011E0195
B73 x Z011E0198,174.2418086,25.92860794,24.65678034,Bx,Z011E0198
B73 x Z012E0008,165.8547234,27.04344318,30.19371213,Bx,Z012E0008
B73 x Z012E0055,182.1827234,29.61744318,34.19971213,Bx,Z012E0055
B73 x Z012E0058,199.8983333,29.42833333,38.535,Bx,Z012E0058
B73 x Z012E0098,192.1087234,28.88944318,35.62971213,Bx,Z012E0098
B73 x Z012E0102,182.8127234,26.92544318,31.83371213,Bx,Z012E0102
B73 x Z012E0117,161.6566667,27.63333333,24.26833333,Bx,Z012E0117
B73 x Z012E0159,166.32,30.3925,34.6425,Bx,Z012E0159
B73 x Z013E0060,154.7683333,25.715,23.44,Bx,Z013E0060
B73 x Z013E0204,164.8433333,27.97833333,38.23333333,Bx,Z013E0204
B73 x Z013E0207,166.4816667,27.45,29.74166667,Bx,Z013E0207
B73 x Z013E0213,163.9083333,29.53166667,33.98666667,Bx,Z013E0213
B73 x Z013E0216,176.4316667,29.83,40.16833333,Bx,Z013E0216
B73 x Z013E0224,157.1118086,27.89610794,31.00678034,Bx,Z013E0224
B73 x Z013E0227,164.2547234,26.06144318,25.90171213,Bx,Z013E0227
B73 x Z013E0231,157.9883333,27.90333333,30.31,Bx,Z013E0231
B73 x Z013E0233,166.4733333,25.12166667,27.22833333,Bx,Z013E0233
B73 x Z013E0234,165.1347234,27.46744318,36.73571213,Bx,Z013E0234
B73 x Z013E0236,187.84,28.145,37.66833333,Bx,Z013E0236
B73 x Z013E0238,163.1868086,26.61860794,28.21678034,Bx,Z013E0238
B73 x Z013E0239,177.8168086,27.36110794,32.89428034,Bx,Z013E0239
B73 x Z013E0240,161.3693086,27.26360794,25.65178034,Bx,Z013E0240
B73 x Z013E0251,174.1083333,29.57833333,40.2,Bx,Z013E0251
B73 x Z013E0256,177.1852766,27.89655682,34.67228787,Bx,Z013E0256
B73 x Z013E0288,180.6447234,29.12744318,38.84171213,Bx,Z013E0288
B73 x Z013E0289,202.6193086,27.16610794,29.25928034,Bx,Z013E0289
B73 x Z013E0290,171.5086172,29.07721588,30.67856067,Bx,Z013E0290
B73 x Z013E0291,169.1647234,31.64744318,39.10571213,Bx,Z013E0291
B73 x Z013E0292,197.3883333,27.945,35.115,Bx,Z013E0292
B73 x Z013E0308,146.1467234,26.11744318,30.57371213,Bx,Z013E0308
B73 x Z013E0311,175.7607234,29.59144318,30.07971213,Bx,Z013E0311
B73 x Z013E0316,159.7743086,26.45860794,24.17678034,Bx,Z013E0316
B73 x Z013E0319,155.04,25.82833333,23.39833333,Bx,Z013E0319
B73 x Z013E0323,161.8202839,31.00388255,39.80522734,Bx,Z013E0323
B73 x Z014E0005,200.8333333,26.92833333,42.29833333,Bx,Z014E0005
B73 x Z014E0012,190.245,26.64833333,33.99666667,Bx,Z014E0012
B73 x Z014E0017,166.5383333,30.00166667,38.61166667,Bx,Z014E0017
B73 x Z014E0021,179.145,26.05666667,31.18833333,Bx,Z014E0021
B73 x Z014E0052,198.4063828,30.20278412,47.66143933,Bx,Z014E0052
B73 x Z014E0075,192.7133333,27.54833333,36.90333333,Bx,Z014E0075
B73 x Z014E0084,165.6283333,24.82,24.58833333,Bx,Z014E0084
B73 x Z014E0098,160.6593086,30.64110794,36.11928034,Bx,Z014E0098
B73 x Z014E0099,163.005,26.93666667,29.62166667,Bx,Z014E0099
B73 x Z014E0144,203.9516667,27.69833333,38.46666667,Bx,Z014E0144
B73 x Z014E0146,173.5716667,26.91166667,30.83,Bx,Z014E0146
B73 x Z014E0162,166.8687234,26.74944318,23.95371213,Bx,Z014E0162
B73 x Z014E0166,186.5466667,28.98333333,40.56166667,Bx,Z014E0166
B73 x Z014E0167,175.8716667,31.57333333,45.47833333,Bx,Z014E0167
B73 x Z014E0168,196.96,26.495,36.035,Bx,Z014E0168
B73 x Z014E0197,183.6027234,30.48744318,43.17971213,Bx,Z014E0197
B73 x Z014E0199,184.2007234,29.77144318,41.42371213,Bx,Z014E0199
B73 x Z015E0013,176.2307234,26.01144318,27.79171213,Bx,Z015E0013
B73 x Z015E0019,160.1707234,25.42944318,21.80371213,Bx,Z015E0019
B73 x Z015E0022,164.4266667,26.49833333,28.89666667,Bx,Z015E0022
B73 x Z015E0023,183.7927234,25.89344318,27.85971213,Bx,Z015E0023
B73 x Z015E0026,165.3716667,25.13666667,20.83833333,Bx,Z015E0026
B73 x Z015E0029,163.9418086,26.06110794,23.63178034,Bx,Z015E0029
B73 x Z015E0033,176.6816667,26.13166667,25.27833333,Bx,Z015E0033
B73 x Z015E0036,178.3043086,23.23110794,20.45678034,Bx,Z015E0036
B73 x Z015E0038,156.5018086,26.23110794,23.87678034,Bx,Z015E0038
B73 x Z015E0041,165.4168086,27.87860794,27.14928034,Bx,Z015E0041
B73 x Z015E0042,142.8836172,27.55721588,25.52856067,Bx,Z015E0042
B73 x Z015E0059,180.63,25.72333333,27.59833333,Bx,Z015E0059
B73 x Z015E0063,185.6666667,27.115,31.53833333,Bx,Z015E0063
B73 x Z015E0071,181.2002839,26.32388255,30.56522734,Bx,Z015E0071
B73 x Z015E0074,186.9183333,29.62833333,39.79333333,Bx,Z015E0074
B73 x Z015E0080,179.3827234,28.35344318,28.80971213,Bx,Z015E0080
B73 x Z015E0084,165.3533333,27.385,26.36666667,Bx,Z015E0084
B73 x Z015E0102,164.8047234,26.47744318,24.24971213,Bx,Z015E0102
B73 x Z015E0105,182.2983333,25.12833333,24.335,Bx,Z015E0105
B73 x Z015E0118,169.4416667,26.11666667,24.00333333,Bx,Z015E0118
B73 x Z015E0123,161.1212057,29.24573863,30.08952022,Bx,Z015E0123
B73 x Z015E0127,197.795,29.885,39.78333333,Bx,Z015E0127
B73 x Z015E0135,186.8169505,29.68721588,32.81522734,Bx,Z015E0135
B73 x Z015E0142,185.3368086,26.64360794,31.87428034,Bx,Z015E0142
B73 x Z015E0148,179.5167234,28.82344318,32.53171213,Bx,Z015E0148
B73 x Z015E0155,179.9333333,27.43666667,33.45333333,Bx,Z015E0155
B73 x Z015E0158,172.8366667,25.36333333,25.15,Bx,Z015E0158
B73 x Z015E0160,186.6516667,26.98833333,26.255,Bx,Z015E0160
B73 x Z015E0163,152.625,26.19333333,21.49333333,Bx,Z015E0163
B73 x Z015E0164,170.525,27.85666667,30.56,Bx,Z015E0164
B73 x Z015E0170,177.6772766,24.78455682,27.42028787,Bx,Z015E0170
B73 x Z015E0199,153.26,26.84,25.15,Bx,Z015E0199
B73 x Z015E0230,161.6283333,25.55833333,24.96333333,Bx,Z015E0230
B73 x Z015E0236,175.6883333,27.67166667,27.06,Bx,Z015E0236
B73 x Z016E0002,184.9633333,28.80166667,31.28166667,Bx,Z016E0002
B73 x Z016E0019,181.3883333,26.81333333,27.40833333,Bx,Z016E0019
B73 x Z016E0021,179.8547234,29.82544318,43.86771213,Bx,Z016E0021
B73 x Z016E0027,183.395,28.11,33.185,Bx,Z016E0027
B73 x Z016E0028,165.3033333,27.695,29.455,Bx,Z016E0028
B73 x Z016E0030,125.4187234,26.06744318,19.62171213,Bx,Z016E0030
B73 x Z016E0047,166.7927234,27.12344318,25.91171213,Bx,Z016E0047
B73 x Z016E0058,201.2416667,29.44666667,31.1,Bx,Z016E0058
B73 x Z016E0063,155.0793086,27.88110794,24.53678034,Bx,Z016E0063
B73 x Z016E0065,176.9916667,27.27166667,27.23166667,Bx,Z016E0065
B73 x Z016E0070,187.06,26.69666667,28.145,Bx,Z016E0070
B73 x Z016E0075,175.72,28.23833333,31.44666667,Bx,Z016E0075
B73 x Z016E0077,176.2933333,27.70166667,29.815,Bx,Z016E0077
B73 x Z016E0079,181.11,27.95666667,29.73166667,Bx,Z016E0079
B73 x Z016E0080,179.9483333,30.03833333,32.005,Bx,Z016E0080
B73 x Z016E0081,192.6283333,28.79166667,35.35,Bx,Z016E0081
B73 x Z016E0084,198.7666667,26.71,32.055,Bx,Z016E0084
B73 x Z016E0103,184.1,29.345,28.14,Bx,Z016E0103
B73 x Z016E0112,164.0466667,27.08,28.46333333,Bx,Z016E0112
B73 x Z016E0115,165.1967234,27.40744318,33.48571213,Bx,Z016E0115
B73 x Z016E0117,176.1583333,27.65833333,29.99166667,Bx,Z016E0117
B73 x Z016E0118,182.7747234,30.05944318,29.56771213,Bx,Z016E0118
B73 x Z016E0119,175.6783333,29.07833333,31.345,Bx,Z016E0119
B73 x Z016E0121,114.8047234,27.34744318,17.86571213,Bx,Z016E0121
B73 x Z016E0122,170.9202839,30.08054922,35.02856067,Bx,Z016E0122
B73 x Z016E0128,176.4887234,26.68144318,27.26771213,Bx,Z016E0128
B73 x Z016E0132,177.0936172,27.27054922,30.36189401,Bx,Z016E0132
B73 x Z016E0133,195.04,28.235,38.92666667,Bx,Z016E0133
B73 x Z016E0134,181.0993086,26.88860794,30.01428034,Bx,Z016E0134
B73 x Z016E0135,153.425,26.665,24.59333333,Bx,Z016E0135
B73 x Z016E0136,185.9836172,26.66221588,33.13356067,Bx,Z016E0136
B73 x Z016E0137,187.125,26.91,29.725,Bx,Z016E0137
B73 x Z016E0138,173.8447234,28.35544318,35.37371213,Bx,Z016E0138
B73 x Z016E0143,178.1383333,27.585,34.785,Bx,Z016E0143
B73 x Z016E0144,175.6316667,30.825,33.34,Bx,Z016E0144
B73 x Z016E0149,178.62,28.18166667,31.285,Bx,Z016E0149
B73 x Z016E0150,177.3416667,27.92,27.69833333,Bx,Z016E0150
B73 x Z016E0153,191.545,26.02166667,31.265,Bx,Z016E0153
B73 x Z016E0157,188.7066667,28.235,34.28666667,Bx,Z016E0157
B73 x Z016E0160,183.0533333,25.465,27.31833333,Bx,Z016E0160
B73 x Z016E0161,197.6633333,26.965,34.685,Bx,Z016E0161
B73 x Z016E0162,166.8293086,28.19110794,29.72678034,Bx,Z016E0162
B73 x Z016E0194,195.62,27.11333333,36.99,Bx,Z016E0194
B73 x Z016E0198,176.9233333,28.76333333,37.71166667,Bx,Z016E0198
B73 x Z016E0220,189.665,26.05333333,30.47833333,Bx,Z016E0220
B73 x Z016E0251,181.3107234,26.23144318,31.02171213,Bx,Z016E0251
B73 x Z016E0254,173.2016667,27.43833333,26.33166667,Bx,Z016E0254
B73 x Z018E0023,194.7833333,28.48,32.105,Bx,Z018E0023
