Genotype,CL,CD,CW,Note,RIL
Z001E0003 x B73,166.7083333,28.285,29.06333333,Bx,Z001E0003
Z001E0004 x B73,176.1383333,27.3,30.31666667,Bx,Z001E0004
Z001E0006 x B73,142.5287234,25.50744318,22.36371213,Bx,Z001E0006
Z003E0008 x B73,197.9118086,25.91110794,34.91178034,Bx,Z003E0008
Z010E0001 x B73,171.2233333,31.02666667,33.70666667,Bx,Z010E0001
Z010E0002 x B73,199.8883333,25.38,28.9,Bx,Z010E0002
Z010E0009 x B73,182.5666667,26.265,26.155,Bx,Z010E0009
Z011E0012 x B73,176.08,26.54666667,29.83666667,Bx,Z011E0012
Z012E0012 x B73,194.4733333,29.65,44.28,Bx,Z012E0012
Z012E0014 x B73,184.9018086,26.42360794,37.64178034,Bx,Z012E0014
Z012E0026 x B73,145.3778724,25.74240529,29.23952022,Bx,Z012E0026
Z012E0042 x B73,193.7687234,30.06544318,42.67571213,Bx,Z012E0042
Z019E0006 x B73,191.9516667,27.77,34.05,Bx,Z019E0006
Z019E0011 x B73,195.1616667,25.98333333,30.985,Bx,Z019E0011
Z022E0007 x B73,182.645,26.97333333,27.365,Bx,Z022E0007
Z022E0012 x B73,184.8883333,26.37,28.49,Bx,Z022E0012
Z022E0016 x B73,164.7612766,25.20055682,23.87028787,Bx,Z022E0016
Z024E0002 x B73,186.175,25.84666667,27.27666667,Bx,Z024E0002
Z024E0004 x B73,173,27.505,29.51833333,Bx,Z024E0004
Z024E0006 x B73,164.0783333,25.58666667,21.115,Bx,Z024E0006
Z024E0008 x B73,177.71,23.545,20.09,Bx,Z024E0008
Z025E0181 x B73,162.3068086,29.77860794,31.89428034,Bx,Z025E0181
Z025E0187 x B73,153.9643086,24.59610794,21.62678034,Bx,Z025E0187
Z025E0196 x B73,181.5016667,28.535,33.95333333,Bx,Z025E0196
Z025E0198 x B73,165.7783333,26.55833333,31.82833333,Bx,Z025E0198
B73 x Z001E0002,169.45,27.30666667,22.47833333,Bx,Z001E0002
B73 x Z001E0016,182.38,25.40666667,26.40333333,Bx,Z001E0016
B73 x Z001E0030,173.9718086,26.43610794,27.21678034,Bx,Z001E0030
B73 x Z001E0038,197.11,26.885,29.225,Bx,Z001E0038
B73 x Z001E0078,176.0566667,27.16833333,26.66666667,Bx,Z001E0078
B73 x Z001E0101,176.2716667,27.325,30.99333333,Bx,Z001E0101
B73 x Z001E0112,127.9275,23.2875,17.585,Bx,Z001E0112
B73 x Z001E0128,156.4116667,27.64,25.24333333,Bx,Z001E0128
