ped,CL,CD,CW
B73|B97,209.846666666661,25.1888888888887,35.3408888888883
B73|CML103,185.515555555552,26.2866666666665,33.6025555555553
B73|CML228,187.887777777775,29.8955555555553,35.2244444444442
B73|CML277,191.378888888885,30.2522222222222,50.0333333333332
B73|CML322,181.113333333330,24.1966666666665,28.9788888888886
B73|CML333,178.999999999996,26.9077777777777,34.4508888888882
B73|CML52,187.837561206452,26.8172893570322,31.8753971654217
B73|CML69,205.017777777774,27.2066666666665,37.0377777777772
B73|Hp301,178.963333333330,24.1499999999999,25.854111111111
B73|IL14H,180.571666666663,26.296111111111,27.7387777777776
B73|Ki11,198.856666666663,30.7533333333333,46.246333333333
B73|Ki3,191.229999999996,29.6677777777774,46.0987777777778
B73|Ky21,201.244444444442,30.1344444444443,47.5133333333332
B73|M37W,212.93441336857,26.5989583946243,40.4067666494992
B73|Mo17,240.648888888885,25.9222222222221,39.9733333333331
B73|Mo18W,195.914444444441,29.2744444444444,32.3777777777775
B73|NC350,203.846666666663,26.2966666666666,31.412222222222
B73|NC358,185.265258136996,26.2260577199478,29.3902982377809
B73|Oh43,187.508333333330,26.8488888888888,31.7468888888887
B73|Oh7B,196.832222222218,25.9955555555552,30.9459999999996
B73|P39,202.324999999996,25.552222222222,26.5638333333331
B73|Tx303,194.089999999995,29.7633333333332,38.233333333333
B73|Tzi8,187.57333333333,29.3666666666665,34.3355555555553
B74|Mo17,241.549859707666,25.4370404048087,40.1859123355314
B75|Mo17,239.949859707667,25.1737070714753,39.5625790021983
B97|CML103,209.17860593062,28.2783623648167,39.7308298988063
B97|CML228,197.971111111108,28.4366666666666,32.8245555555553
B97|CML277,226.166666666663,28.0844444444443,46.8744444444440
B97|CML322,203.288888888885,26.2566666666665,36.1275555555553
B97|Hp301,185.465555555551,22.4611111111109,22.7951111111107
B97|IL14H,195.327777777774,25.9488888888887,30.7408888888886
B97|Ki11,235.636706750187,27.9917979795783,49.10564409461
B97|Ky21,235.807300434933,27.2928933080326,52.3948110345845
B97|M37W,221.185555555553,25.9366666666665,38.4427777777776
B97|Mo17,233.712777777774,23.3461111111109,30.7929444444444
B97|Ms71,201.237156662258,24.6944444444443,33.6466666666664
B97|NC350,217.776666666663,25.0499999999998,31.3340555555554
B97|NC358,204.25944444444,26.7694444444443,37.0038333333331
B97|Oh43,211.196184440036,25.2166666666664,32.9123333333331
B97|Oh7B,195.314444444440,25.3044444444442,28.4336666666665
B97|P39,196.332920551147,24.1238888888887,22.1547222222219
B97|Tx303,192.656082190526,27.0191208689922,34.62950810652
CML103|CML228,204.931684203203,27.1557866160653,33.9009692913914
CML103|CML277,192.215555555552,32.1299999999998,52.138555555555
CML103|CML322,184.333333333329,27.2377777777777,34.0974444444442
CML103|CML333,186.20833333333,28.611111111111,33.8642222222219
CML103|Hp301,211.505555555552,23.6277777777776,26.9512222222221
CML103|IL14H,184.486706750186,28.1117979795782,27.5073583803239
CML103|Ki11,227.202777777774,32.4122222222221,50.4913888888887
CML103|Ki3,179.397777777763,30.3066666666650,39.0171111111088
CML103|Ky21,213.313115279853,28.8159783548684,46.7833855393682
CML103|M162W,197.893888888886,28.3577777777776,36.765722222222
CML103|M37W,237.622336467686,30.9069267263036,50.4249547507196
CML103|Mo17,227.491111111108,25.2611111111110,37.6155555555553
CML103|Ms71,205.717777777774,27.5255555555554,42.9733333333331
CML103|NC350,205.431111111108,27.0388888888888,30.8744444444442
CML103|NC358,178.895555555552,28.0449999999999,35.8167222222221
CML103|Oh43,220.375555555552,28.1088888888887,37.8248888888886
CML103|P39,207.544737760154,25.2292708026878,29.5038388974725
CML103|Tx303,212.237777777774,26.7044444444443,31.5846666666665
CML103|Tzi8,183.592222222218,29.6411111111108,36.7096666666661
CML228|CML322,174.447777777774,29.2477777777775,28.1599999999996
CML228|CML333,180.956666666664,29.25,32.494222222222
CML228|CML52,171.724444444441,26.9466666666666,27.3107777777774
CML228|CML69,174.651736812828,27.3198131309287,27.1835438322339
CML228|Hp301,190.455555555552,23.6699999999998,25.1155555555553
CML228|IL14H,193.626684203205,27.7307866160655,30.9679692913918
CML228|Ki11,218.329184203205,31.3557866160654,51.5575942913916
CML228|Ki3,188.235007768965,31.1960242902326,46.4297944487356
CML228|M162W,209.186666666663,28.5905555555554,37.023333333333
CML228|NC358,195.559999999997,28.3477777777776,32.8121111111109
CML228|Oh43,210.575555555552,26.4722222222220,29.3748888888886
CML228|Tzi8,195.240434203204,30.5157866160654,35.7325942913916
CML277|CML322,193.831111111108,30.3649999999998,54.2169444444441
CML277|CML333,194.692222222219,31.3988888888888,52.4927777777775
CML277|CML52,171.455555555552,26.7599999999996,33.1242222222219
CML277|CML69,210.702222222219,29.322222222222,46.7995555555553
CML277|Ki11,201.249244879379,32.5295599746994,54.9751235345845
CML277|Ki3,196.194444444441,30.5066666666666,51.5605555555554
CML277|Ky21,231.623333333329,30.7000000000000,74.6540000000001
CML277|M162W,201.595555555552,30.2049999999999,48.5339444444442
CML277|M37W,192.024999999997,27.9099999999999,40.572833333333
CML277|Mo17,251.602222222219,28.0266666666665,55.3699999999998
CML277|Mo18W,221.716666666663,33.7011111111110,59.2148888888886
CML277|Ms71,189.666098087676,29.8519835655561,55.5732668764587
CML277|NC350,205.018888888886,24.5388888888887,34.9597777777775
CML277|Oh43,226.601111111108,28.2155555555554,48.6577777777776
CML277|P39,207.311111111107,25.8788888888887,32.229222222222
CML277|Tx303,187.783888888886,30.3538888888887,44.5796111111109
CML277|Tzi8,187.744444444441,31.511111111111,44.5752777777775
CML322|CML333,170.078476106703,27.8861111111111,32.7094444444443
CML322|CML52,169.392222222219,23.8666666666666,23.1826666666668
CML322|CML69,137.369300174573,27.9104792480434,25.8921189626126
CML322|Hp301,181.483333333330,23.9755555555555,25.7399999999997
CML322|Ki11,172.364999999996,33.0016666666665,44.7511111111108
CML322|Ki3,173.211111111107,29.7233333333331,34.2444444444441
CML322|Ky21,204.032834900508,26.171796696485,47.0444773753596
CML322|M162W,183.788333333330,26.6433333333332,34.3871666666663
CML322|Mo17,214.017777777774,24.9655555555553,33.7522222222219
CML322|Mo18W,186.468888888885,28.5977777777776,33.9926666666664
CML322|Ms71,190.661111111108,25.0277777777776,32.4355555555553
CML322|NC358,195.531605990489,26.9746988635882,36.8920124234734
CML322|Oh43,217.079184203204,25.4045366160654,29.7030942913916
CML322|P39,175.477764754343,25.2469835655561,23.9141002097923
CML322|Tx303,175.603667902797,29.9259695468507,35.3075347966024
CML322|Tzi8,175.181605990489,29.1633794191437,32.6856027012512
CML333|CML52,203.934303471922,26.4877777777776,35.0936666666665
CML333|Hp301,177.653333333329,25.2955555555555,27.5999999999998
CML333|IL14H,195.837777777774,26.0855555555554,31.4744444444441
CML333|Ki11,207.142222222219,33.1133333333332,48.8688888888886
