Barcode,Cob_length (mm),Cob_Diameter (mm),Cob_Weight (g),Bag,I,Note,,
11-1897-23 OP,177.06,23.49,18.66,23,SR,,,
11-1899-21 OP,170.5,22.21,17.73,4,SR,,,
11-1899-22 OP,169.32,22.84,15.41,4,SR,,,
11-1907-23 OP,161.42,24.15,18.74,23,SR,curved,,
11-1911-21 OP,158.3,20.3,13.99,23,SR,,,
11-1912-21 OP,137.77,17.03,7.57,23,SR,,,
11-1912-23 OP,157.74,21.43,13.68,23,SR,,,
11-1914-23 OP,160.59,22.89,17.43,23,SR,,,
11-1918-22 OP,160.76,16.45,9.06,23,SR,,,
11-1919-21 OP,129.42,16.05,7.29,23,SR,,,
11-1925-21 OP,136.46,19.12,10.94,23,SR,,,
11-1925-22 OP,127.94,20.32,11.21,23,SR,,,
11-1926-22 OP,120.22,19.27,7.38,23,SR,,,
11-1929-23 OP,124.84,21.82,17.18,23,SR,,,
11-1931-21 OP,89.38,18.34,5.98,23,SR,,,
11-1934-21 OP,153.65,25.18,19.59,23,SR,,,
11-1946-21 OP,167.47,21.35,12,23,SR,,,
11-1954-23 OP,168.25,24.12,12.42,23,SR,,,
11-1963-22 OP,141.06,27.38,15.8,23,SR,,,
11-1963-23 OP,125.7,17.29,9.07,23,SR,curved,,
11-1964-21 OP,108.2,19.34,6.3,23,SR,,,
11-1965-22 OP,126.1,14.21,4.56,23,SR,,,
11-1965-23 OP,164.57,14.72,6.25,23,SR,,,
11-1967-22 OP,178,21.58,13.78,23,SR,,,
11-1967-23 OP,182.57,19.57,13.11,23,SR,curved,,
11-1969-22 OP,124.69,19.95,9.9,23,SR,,,
11-1969-23 OP,154.45,17.46,8.27,23,SR,,,
11-1970-23 OP,122.48,19.92,9.56,23,SR,,,
11-1972-22 OP,153.68,18.46,14.92,23,SR,,,
11-1976-21 OP,193.53,25.75,21.74,23,SR,,,
11-1976-22 OP,137.97,22.24,8.88,23,SR,,,
11-1976-23 OP,197.34,19.97,13.89,23,SR,,,
11-1977-21 OP,199.46,23.32,24.24,23,SR,,,
11-1979-23 OP,94.26,26.66,5.34,23,SR,,,
11-1981-21 OP,108.76,26.37,13.06,23,SR,,,
11-1981-22 OP,161.68,20.35,16.36,23,SR,curved,,
11-1981-23 OP,130.16,23.05,12.9,4,SR,,,
11-1985-23 OP,130.31,22.66,12.61,23,SR,,,
11-1990-22 OP,161.04,26.81,19.75,23,SR,,,
11-1991-21 OP,152.07,20.92,13.79,23,SR,,,
11-1992-21 OP,125.76,23.68,15.04,23,SR,,,
11-1992-22 OP,151.32,21.86,14.51,23,SR,,,
11-1992-23 OP,150.38,24.26,17.22,23,SR,,,
11-1993-22 OP,129.03,23.26,13.18,23,SR,,,
11-1993-23 OP,178,20.96,13.09,23,SR,,,
11-1996-21 OP,136.79,20.22,10.07,23,SR,,,
11-1996-22 OP,148.7,16.86,8.59,23,SR,,,
11-1996-23 OP,136.11,19.3,7.56,23,SR,,,
11-1997-21 OP,126.76,23.05,12.03,4,SR,,,
