Barcode,Cob_length (mm),Cob_Diameter (mm),Cob_Weight (g),Bag,I,Note,,
11-J3339-22 OP,115.82,24.26,13.22,7,SR,,,
11-J3339-23 OP,115.24,23.15,13.19,7,SR,,,
11-J3348-21 OP,156.6,22.22,17.26,7,SR,,,
11-J3310-21 OP,146.67,26.85,19.48,7,SR,,,
11-J3348-23 OP,177.79,23.06,20.94,7,SR,,,
11-J3402-22 OP,166.82,27.22,35,7,SR,,,
11-J3405-21 OP,132.93,21.28,13.71,7,SR,,,
11-J3352-21 OP,162.88,28.29,27.42,7,SR,,,
11-1563-22 OP,119.6,24.86,8.48,7,SR,,,
11-1554-22 OP,180.85,24.74,18.99,7,SR,,,
11-2195-23 OP,181.43,26.79,16.21,19,TS,,,
11-2226-21 OP,123.35,26.6,11.8,19,TS,,,
11-2220-21 OP,149.49,28.44,10.47,19,TS,,,
11-2183-22 OP,145.32,28.34,15.74,19,TS,,,
11-2229-21 OP,172.79,27.27,16.95,19,TS,,,
11-2174-22 OP,180.17,27.13,25.65,19,TS,,,
11-2156-23 OP,219.44,26.3,27.17,19,TS,,,
11-2165-21 OP,193.31,27.55,18.13,19,TS,,,
11-2180-21 OP,158.66,27.39,18.31,19,TS,,,
11-2165-22 OP,166.46,25.2,16.22,19,TS,,,
11-2197-22 OP,150.98,26.82,15.63,19,TS,,,
11-2172-21 OP,163.51,24.3,20.79,19,TS,,,
11-2222-22 OP,183.76,28.06,19.29,19,TS,,,
11-2199-22 OP,164.64,31.25,22.78,19,TS,,,
11-2172-22 OP,177.72,28.44,25.46,19,TS,,,
11-2216-23 OP,223.91,27.1,23.84,19,TS,,,
11-2225-22 OP,170.55,25.41,9.82,19,TS,,,
11-2171-22 OP,153.88,30.8,16.26,19,TS,,,
11-2180-23 OP,151.64,25.86,16.61,19,TS,2 pieces,,
11-2170-23 OP,152.57,29.51,21.54,19,TS,,,
11-2170-22 OP,161.89,29.57,24.98,19,TS,,,
11-2172-23 OP,162.74,24.96,19.12,19,TS,,,
11-2154-21 OP,166.21,27.26,19.83,19,TS,,,
11-2186-21 OP,155.93,27.26,29.04,19,TS,,,
11-2135-21 OP,127.16,29.54,18.35,19,TS,,,
11-2163-22 OP,182.73,28.05,18.5,19,TS,,,
11-2182-21 OP,127.07,26.28,13.81,19,TS,,,
11-2198-23 OP,201.83,27.32,24.84,19,TS,,,
11-2182-23 OP,137.11,27.35,13.26,19,TS,,,
11-2176-23 OP,152.86,26.34,22.41,19,TS,,,
11-2183-21 OP,158.93,27.24,18.81,19,TS,,,
11-2179-22 OP,149.31,31.28,18.5,19,TS,,,
11-2167-23 OP,155.33,26.83,14.28,19,TS,,,
11-2164-21 OP,186.16,27.51,19.52,19,TS,,,
11-2168-21 OP,166.69,25.73,10.36,19,TS,,,
11-2153-22 OP,113.24,25.61,8.02,19,TS,,,
11-2170-21 OP,103.09,25.65,8.63,19,TS,,,
11-J3757-22 OP,145.77,25.9,12.83,19,TS,,,
11-J3866-23 OP,182.55,28.07,23.91,19,TS,,,
11-2110-21 OP,189.25,25.52,16.84,19,TS,,,
11-2116-23 OP,151.94,24.87,15.74,19,TS,,,
11-J3761-23 OP,187.34,28.34,14.34,19,TS,,,
11-J3853-23 OP,167.3,26.87,24.41,19,TS,,,
11-2132-22 OP,146.69,27.71,15.18,19,TS,,,
11-2196-22 OP,180.44,25.8,19.85,19,TS,,,
11-2166-21 OP,165.08,27.55,27.1,19,TS,,,
11-2103-21 OP,160.58,26.03,15.27,19,TS,,,
11-2123-22 OP,194.48,23.46,13.97,19,TS,,,
11-J3756-23 OP,135.51,28.63,11.03,19,TS,,,
11-2192-21 OP,115.64,26.91,12.15,19,TS,,,
11-2184-22 OP,160.04,30.08,22.91,19,TS,,,
11-2119-21 OP,162.52,26.32,12.93,19,TS,,,
11-J3792-22 OP,129.13,27.03,12.29,19,TS,,,
11-2196-21 OP,179.18,28.36,28.36,19,TS,,,
11-J3866-22 OP,167.61,27.72,17.56,19,TS,,,
11-J3768-23 OP,139.58,27.89,18.3,19,TS,,,
11-J3776-22 OP,120.85,30.7,18.71,19,TS,,,
11-2156-21 OP,203.86,24.98,24.69,19,TS,,,
11-2105-21 OP,148.39,26.04,17.63,19,TS,,,
11-2161-22 OP,132.07,26.21,14.13,19,TS,,,
11-2184-23 OP,160.7,28.35,20.62,19,TS,,,
11-2145-22 OP,146.28,25.01,14.8,19,TS,,,
11-J3777-23 OP,149.58,26.95,15.25,19,TS,,,
11-2185-23 OP,154.13,24.2,14.39,19,TS,,,
11-J3775-21 OP,120.54,26.38,13.12,19,TS,,,
11-2200-21 OP,159.78,23.54,18.46,19,TS,,,
11-2178-23 OP,174.7,26.7,22.03,19,TS,,,
11-2159-23 OP,150.13,25.4,17.8,19,TS,,,
11-2161-21 OP,168.69,28.34,23.71,19,TS,,,
11-J3780-21 OP,132.98,28.74,19.59,19,TS,,,
11-2110-22 OP,171.13,26.87,16.16,19,TS,,,
11-2224-22 OP,141,27.99,23.19,19,TS,,,
11-2160-23 OP,164.97,21.77,11.94,19,TS,,,
11-2169-21 OP,157.21,28.53,16.98,19,TS,,,
11-2199-23 OP,136.56,30.42,22.04,19,TS,,,
11-2199-21 OP,222.29,28.13,32.24,19,TS,,,
11-2195-22 OP,150.39,25.56,14.04,19,TS,,,
11-2173-21 OP,149.84,26.69,17.57,19,TS,,,
11-2221-23 OP,181.71,27.44,15.99,19,TS,,,
11-J3863-21 OP,165.41,27.98,21.4,19,TS,,,
11-J3770-22 OP,130.81,27.56,13.68,19,TS,,,
11-J3777-21 OP,164.02,24.68,13.68,19,TS,,,
11-J3896-21 OP,155.28,26.36,16.3,19,TS,,,
11-J3764-23 OP,143.84,25.03,12.41,19,TS,,,
11-J3765-21 OP,158,27.04,20.36,19,TS,,,
11-2227-23 OP,163.57,27.13,16.55,19,TS,,,
11-2101-22 OP,159.62,25.86,15.03,19,TS,,,
11-J3852-21 OP,120.95,26.39,11.17,19,TS,,,
11-J3893-21 OP,168.88,24.37,15.22,19,TS,,,
11-2187-23 OP,148.32,26.37,16.9,19,TS,,,
11-J3851-21 OP,155.78,30.67,22.15,19,TS,,,
11-2168-23 OP,159.61,25.79,13.25,19,TS,,,
11-2154-23 OP,173.92,25.33,18.32,19,TS,,,
11-2118-22 OP,143.89,28.74,26.19,19,TS,,,
11-J3762-22 OP,109.86,36.55,16.03,19,TS,,,
11-2168-22 OP,161.91,24.9,11.03,19,TS,,,
11-J3756-22 OP,145.4,27.98,11.4,19,TS,,,
11-J3792-23 OP,146.28,27.09,18.5,19,TS,,,
11-J3853-22 OP,137.44,27.65,15.56,19,TS,,,
11-2138-23 OP,156.14,28.25,23.19,19,TS,,,
11-2146-22 OP,164.99,29.26,30.51,19,TS,,,
11-J3776-21 OP,142.76,29.05,17.32,19,TS,,,
11-2117-21 OP,130.17,26.09,11.82,19,TS,,,
11-J3763-21 OP,140.08,27.28,13.93,19,TS,,,
11-J3767-23 OP,174.65,24.21,23.68,19,TS,,,
11-J3762-21 OP,145.45,27.65,14.66,19,TS,,,
11-J3762-23 OP,119.71,27.79,13.07,19,TS,,,
11-J3763-22 OP,130.72,24.7,13.83,19,TS,,,
11-J3756-21 OP,125.1,27.34,11.97,19,TS,,,
11-2128-21 OP,144.77,31.07,17.79,19,TS,,,
11-2140-23 OP,131.99,26.17,20.71,19,TS,,,
11-2216-21 OP,157.58,27.62,22.33,19,TS,,,
11-2121-23 OP,161.31,27.47,21.51,19,TS,,,
11-J3791-22 OP,159.84,25.04,15.8,19,TS,,,
11-2147-22 OP,143.21,26.67,17.31,19,TS,,,
11-J3755-21 OP,165.65,26.36,14.95,19,TS,,,
11-J3775-23 OP,160.38,29.6,20.36,19,TS,,,
11-J3767-21 OP,137.67,27.65,16.11,19,TS,,,
11-2188-22 OP,153.95,25.52,15.56,19,TS,,,
11-J3798-22 OP,126.35,26.97,16.35,19,TS,,,
11-2120-21 OP,204.44,26.61,15.19,19,TS,,,
11-2150-21 OP,186.7,23.32,15.73,19,TS,,,
11-J3780-22 OP,118.56,26.63,13.01,19,TS,,,
11-2198-21 OP,203.51,28.56,28.31,19,TS,,,
11-2190-22 OP,195.62,26.55,19.51,19,TS,,,
11-2228-22 OP,163.56,30.3,19.36,19,TS,,,
11-J3778-23 OP,130.73,22.31,8.98,19,TS,,,
11-2102-23 OP,220.35,28.6,25.94,19,TS,,,
11-J3767-22 OP,161.56,26.13,19.51,19,TS,,,
11-2115-21 OP,225.02,26.55,29.61,19,TS,,,
11-J3752-23 OP,184.51,27.29,23.56,19,TS,,,
11-2106-23 OP,152,27.67,15.24,19,TS,,,
11-2171-23 OP,174.46,28.37,22.13,19,TS,,,
11-2220-23 OP,168.86,25.36,16.12,19,TS,,,
11-2190-21 OP,143.46,25.4,15.17,19,TS,,,
11-J3768-21 OP,146.39,29.65,18.47,19,TS,,,
11-2106-22 OP,181.66,28.61,18.6,19,TS,,,
11-J3896-23 OP,181.49,26.6,18.35,19,TS,,,
11-2218-23 OP,204.24,26.35,25.66,19,TS,,,
11-2167-22 OP,165.95,26.36,16.55,19,TS,,,
11-2139-21 OP,154.38,28.43,22.73,19,TS,,,
11-2154-22 OP,161.95,25.06,15.28,19,TS,,,
11-J3859-23 OP,184.94,31.25,31.61,19,TS,,,
11-2140-21 OP,143.44,27.54,22.53,19,TS,,,
11-2131-22 OP,166.62,24.14,14.63,19,TS,,,
11-2112-23 OP,200.12,23.89,16.63,19,TS,,,
11-J3773-21 OP,170,28.42,18.23,19,TS,,,
11-2198-22 OP,188.68,26.57,34.59,19,TS,,,
11-J3781-22 OP,117.58,27.43,14.6,19,TS,,,
11-2105-22 OP,119.3,26.45,12.47,19,TS,,,
11-2187-21 OP,161.86,26.75,22.48,19,TS,,,
11-J3778-22 OP,169.78,24.48,14.91,19,TS,,,
11-2127-22 OP,149.62,28.83,22.17,19,TS,,,
11-2163-23 OP,174.08,26.08,21.08,19,TS,,,
11-J3776-23 OP,139.1,26.26,17.89,19,TS,,,
11-J3769-21 OP,178.49,30.31,31.95,19,TS,2 pieces,,
11-J3752-22 OP,206.36,26.22,20.8,19,TS,2 pieces,,
11-2152-23 OP,205.59,25.6,21.65,19,TS,2 pieces,,
11-J3764-21 OP,194.67,27.43,19.39,19,TS,2 pieces,,
11-J3774-23 OP,161.2,30.81,21.9,19,TS,2 pieces,,
11-2169-23 OP,164.39,28.96,17.16,19,TS,2 pieces,,
11-2224-21 OP,184.68,28.41,25.91,19,TS,2 pieces,,
11-2162-21 OP,194.34,26.35,21.65,19,TS,2 pieces,,
11-2195-21 OP,168.94,25.37,13.68,19,TS,2 pieces,,
11-2124-21 OP,150.33,30.94,18.54,19,TS,2 pieces,,
11-2158-22 OP,144.31,26.47,23.38,19,TS,2 pieces,,
11-2156-22 OP,200.66,25.16,24.31,19,TS,2 pieces,,
11-J3961-22 OP,149.13,27.25,18.82,14,TS,,,
11-J3782-21 OP,157.22,25,12.71,14,TS,,,
11-J3747-22 OP,138.76,26.88,16.15,14,TS,,,
11-J3916-22 OP,146.22,27.52,14.03,14,TS,,,
11-J3939-22 OP,132.44,24.99,15.24,14,TS,,,
11-J3957-22 OP,126.48,28.31,20.3,14,TS,,,
11-J3942-23 OP,167.62,26.21,26.77,14,TS,,,
11-J3949-23 OP,132.76,28.35,17.51,14,TS,,,
11-J3947-21 OP,177.16,26.78,32.94,14,TS,,,
11-J3749-22 OP,141.61,24.26,15.15,14,TS,,,
11-J3945-22 OP,106.14,24.68,9.95,14,TS,,,
11-J3923-22 OP,177.86,27.91,24.51,14,TS,,,
11-J3948-22 OP,132.59,21.21,7.89,14,TS,,,
11-1824-22 OP,147.08,25.73,14.27,14,TS,,,
11-J3921-23 OP,147.67,27.23,21.31,14,TS,,,
11-J3735-22 OP,174.94,26.61,13.35,14,TS,,,
11-J3968-23 OP,121.38,26.08,17.62,14,TS,,,
11-J3758-23 OP,137.87,23.25,15.03,14,TS,,,
11-J3839-21 OP,151.53,23.37,16.93,14,TS,,,
11-J3901-21 OP,166.65,26.27,16.69,14,TS,,,
11-J3959-22 OP,153.52,23.64,15.36,14,TS,,,
11-J3771-22 OP,158.81,24.83,15.38,14,TS,,,
11-J3811-21 OP,113.91,22.68,8.89,14,TS,,,
11-J3823-21 OP,148.8,26.74,14.03,14,TS,,,
11-J3726-22 OP,198.3,24.78,15.38,14,TS,,,
11-J3786-21 OP,151.42,28.1,20.96,14,TS,,,
11-J3967-22 OP,137.4,25.2,11.81,14,TS,,,
11-J3954-22 OP,113.4,25.79,12.96,14,TS,,,
11-J3955-21 OP,137.23,24.78,9.73,14,TS,,,
11-J3978-23 OP,169.16,22.44,13.92,14,TS,,,
11-J3975-21 OP,148.08,24.3,13.8,14,TS,,,
11-J3993-22 OP,138.98,24.12,16.76,14,TS,,,
11-J3759-21 OP,138.68,23.79,12.52,14,TS,,,
11-J3709-21 OP,141.76,24.34,13.96,14,TS,,,
11-J3993-23 OP,139.64,25.67,15.93,14,TS,,,
11-J3738-23 OP,134.86,26.92,15.32,14,TS,,,
11-J3710-21 OP,144.05,26.95,19.28,14,TS,,,
11-J4105-22 OP,139.78,24.14,23.15,14,TS,,,
11-J3834-21 OP,144.14,23.21,10.41,14,TS,,,
11-J3825-23 OP,150.12,28.2,19.61,14,TS,,,
11-J4122-22 OP,137.42,27.3,18.21,14,TS,,,
11-J3939-21 OP,138.81,24.7,13.26,14,TS,,,
11-J3757-23 OP,175.72,24.72,14.19,14,TS,,,
11-J3730-23 OP,129.21,22.94,9.32,14,TS,,,
11-J3814-23 OP,157.25,25.22,13.3,14,TS,,,
11-J3948-23 OP,172.37,23.58,16.16,14,TS,,,
11-J3841-21 OP,151.21,21.17,11.7,14,TS,,,
11-J3926-22 OP,142.12,24.9,17.04,14,TS,,,
11-1820-22 OP,159.31,23.62,13.92,14,TS,,,
11-J3969-22 OP,142.74,24.91,18.5,14,TS,,,
11-J3997-22 OP,143.36,25.57,16.43,14,TS,,,
11-J3916-23 OP,191.09,30.9,20.54,14,TS,,,
11-J3921-21 OP,139.35,26.29,17.01,14,TS,,,
11-J3931-21 OP,146.76,27.92,16.1,14,TS,,,
11-J3743-22 OP,141.72,26.73,20.47,14,TS,,,
11-1865-21 OP,136.67,28.83,22.15,14,TS,,,
11-J3775-22 OP,142.54,27.19,15.44,14,TS,,,
11-1834-22 OP,164.93,26.55,20.9,14,TS,,,
11-J3981-21 OP,133.93,24.35,11.47,14,TS,,,
11-J3840-21 OP,163.61,25.79,19.26,14,TS,,,
11-J4085-23 OP,139.52,25.24,14.96,14,TS,,,
11-J3750-21 OP,149.04,23.56,11.68,14,TS,,,
11-J3814-22 OP,143.84,28.71,14.16,14,TS,,,
11-J3943-21 OP,153.92,27.33,20.09,14,TS,,,
11-J3738-22 OP,152.48,25.94,15.44,14,TS,,,
11-J3745-21 OP,126.19,22.19,11.19,14,TS,,,
11-J3724-23 OP,163.7,26.51,13.85,14,TS,,,
11-J3814-21 OP,159.9,24.66,16.43,14,TS,,,
11-J3846-23 OP,150.57,24.02,14.04,14,TS,,,
11-J3753-21 OP,174.83,26.26,27.78,14,TS,,,
11-J3725-22 OP,130.76,27.16,15.77,14,TS,,,
11-J3704-23 OP,135.22,26.07,17.99,14,TS,,,
11-J4095-22 OP,166.26,30.15,24.54,14,TS,,,
11-J3706-21 OP,163.54,29.32,30.71,14,TS,,,
11-J3739-22 OP,124.21,25.25,13.01,14,TS,,,
11-J3709-22 OP,112.63,25.71,15.48,14,TS,,,
11-J3815-21 OP,177.17,28.01,28.17,14,TS,,,
11-J3805-22 OP,142.99,26.32,19.71,14,TS,,,
11-1861-23 OP,165.59,21.45,11.31,14,TS,,,
11-J4092-22 OP,152.97,25.34,18.71,14,TS,,,
11-J3746-23 OP,142.94,26.64,14.92,14,TS,,,
11-J4157-23 OP,121.53,24.15,9.21,14,TS,,,
11-J4045-21 OP,131.38,26.03,8.34,14,TS,,,
11-J3962-21 OP,158.5,27.85,14.46,14,TS,,,
11-J3710-22 OP,121.6,25.82,15.64,14,TS,,,
11-J3838-21 OP,154.71,25.95,21.32,14,TS,,,
11-J3707-23 OP,137.15,24.61,19.35,14,TS,,,
11-J3784-23 OP,166.67,26.69,12.82,14,TS,,,
11-J3995-23 OP,170.16,23.94,21.46,14,TS,,,
11-J4158-21 OP,153.5,27.04,20.09,14,TS,,,
11-J3788-23 OP,141.31,22.46,9.84,14,TS,,,
11-J4044-23 OP,147.13,28.14,16.01,14,TS,,,
11-J4105-23 OP,162.61,31.32,28.83,14,TS,,,
11-J3773-22 OP,123.96,25.8,16.7,14,TS,,,
11-J3848-23 OP,142.3,26.83,19.7,14,TS,,,
11-J3789-21 OP,157.66,23.69,20.72,14,TS,,,
11-J4150-22 OP,154.15,25.53,19.81,14,TS,,,
11-J3745-22 OP,138.06,24.97,16.3,14,TS,,,
11-J3934-22 OP,161.99,24.53,12.64,14,TS,,,
11-J3963-21 OP,109.03,26.53,13.21,14,TS,,,
11-J3841-22 OP,142.53,25.48,12.27,14,TS,,,
11-J3822-23 OP,163.84,26.01,17.94,14,TS,,,
11-J3813-21 OP,175.58,26.9,22.92,14,TS,,,
11-J4138-21 OP,137.74,24.84,13.62,14,TS,,,
11-J3838-22 OP,159.56,26.29,19.26,14,TS,,,
11-J4119-22 OP,132.67,24.82,17.4,14,TS,,,
11-J3786-22 OP,136.79,26.45,16.9,14,TS,,,
11-J3832-21 OP,133.38,25.2,12.01,14,TS,,,
11-J3771-21 OP,104.05,22.41,7.78,14,TS,,,
11-J4081-22 OP,147.67,27.56,21.42,14,TS,,,
11-J3727-23 OP,155.73,25.67,10.71,14,TS,,,
11-J3772-21 OP,116.24,26.28,12.06,14,TS,,,
11-J3751-21 OP,158.49,25.62,20.4,14,TS,,,
11-J3828-22 OP,126.48,27.47,20.6,14,TS,,,
11-J3707-22 OP,125.75,24.63,17.83,14,TS,,,
11-J4101-22 OP,171.37,26.27,30.08,14,TS,,,
11-J3787-22 OP,144.58,25.31,13.17,14,TS,,,
11-J4132-23 OP,139.29,26.65,21.12,14,TS,,,
11-J3772-23 OP,127.16,25.8,13.61,14,TS,,,
11-J3750-23 OP,160.6,25.29,14.13,14,TS,,,
11-J3757-21 OP,164.59,25.45,17.07,14,TS,,,
11-J3749-23 OP,156.78,24.75,16.04,14,TS,,,
11-J4141-23 OP,103.64,26.95,20.13,14,TS,,,
11-J3724-22 OP,174.56,26.29,13.07,14,TS,,,
11-J3843-21 OP,163.63,25.05,11.76,14,TS,,,
11-J3783-22 OP,202.83,25.3,22.97,14,TS,,,
11-J3789-22 OP,179.38,26.57,21.54,14,TS,,,
11-1859-22 OP,160.62,26.16,25.12,14,TS,,,
11-J3740-23 OP,152.81,25.47,14.95,14,TS,,,
11-1864-23 OP,161.42,25.41,18.97,14,TS,,,
11-J3835-22 OP,178.56,27.07,27.85,14,TS,,,
11-J3751-22 OP,142.16,25.33,19.19,14,TS,,,
11-J3744-21 OP,171.07,31.19,28.02,14,TS,,,
11-J3710-23 OP,140.32,25.34,14.94,14,TS,,,
11-J3750-22 OP,132.33,24.56,12.37,14,TS,,,
11-J3781-21 OP,121.8,27.12,16.54,14,TS,,,
11-J4129-21 OP,122.69,18.84,17.79,14,TS,,,
11-J3772-22 OP,120.11,23.26,12.57,14,TS,,,
11-J3835-23 OP,152.2,29,29.51,14,TS,,,
11-J3789-23 OP,155.21,25.2,24.6,14,TS,,,
11-J3842-21 OP,189.96,29.07,25.54,14,TS,,,
11-J3830-22 OP,146.13,26.26,19.91,14,TS,,,
11-J3963-22 OP,108.34,28.24,13.93,14,TS,,,
11-J3704-22 OP,121.79,27.08,19.51,14,TS,,,
11-J3806-21 OP,164.69,28.66,26.79,14,TS,,,
11-J3705-23 OP,138.92,25.09,22.12,14,TS,,,
11-J3847-23 OP,113.53,26.52,15.57,14,TS,,,
11-J3974-23 OP,152.88,27.33,13.89,14,TS,,,
11-J3760-22 OP,118.12,25.87,13.23,14,TS,,,
11-J3784-22 OP,141.48,24.4,10.86,14,TS,,,
11-J3839-22 OP,164.78,24.78,17.26,14,TS,,,
11-J3842-22 OP,158.62,26.67,16.07,14,TS,,,
11-J3751-23 OP,154.2,23.43,18.28,14,TS,,,
11-J3813-23 OP,166.08,30.54,23.69,14,TS,,,
11-J3745-23 OP,159.81,24.73,16.45,14,TS,,,
11-J3833-22 OP,104.82,25.16,10.43,14,TS,,,
11-J3753-23 OP,143.64,24.5,15.06,14,TS,,,
11-J3935-23 OP,150.81,26,15.5,14,TS,,,
11-J3817-22 OP,177.91,24.61,22.67,14,TS,,,
11-J3819-23 OP,124.19,22.72,10.82,14,TS,,,
11-J3821-21 OP,135.73,18.18,20.6,14,TS,,,
11-J3806-22 OP,166.32,27.08,27.99,14,TS,2 pieces,,
11-J3720-21 OP,158.3,25.25,17.15,14,TS,2 pieces,,
11-J3850-21 OP,200.16,29.22,22.68,14,TS,2 pieces,,
11-J4083-22 OP,179.26,27.12,20.19,14,TS,2 pieces,,
11-J3843-22 OP,155.39,24.7,10.82,14,TS,2 pieces,,
11-J4103-22 OP,140.13,26.94,11.92,14,TS,2 pieces,,
11-J4152-21 OP,131.62,27.86,16.33,14,TS,2 pieces,,
11-J3989-21 OP,187.49,26.24,20.3,14,TS,2 pieces,,
11-J3826-22 OP,190.25,25.8,20.01,14,TS,2 pieces,,
11-J3962-23 OP,162.77,27.34,15.28,14,TS,2 pieces,,
11-J3719-23 OP,140.2,27.24,13.04,14,TS,2 pieces,,
11-J3902-22 OP,162.68,26.52,18.53,14,TS,2 pieces,,
11-J3295-21 OP,186.67,22.57,22,10,TS,,,
11-J3323-22 OP,137.09,23.92,16.47,10,TS,,,
11-J3303-23 OP,115.52,22.5,9.98,10,TS,,,
11-1742-23 OP,128.37,24.44,16.92,10,TS,,,
11-1732-22 OP,181.71,22.15,14.42,10,TS,,,
11-1764-21 OP,140.17,24.96,18.71,10,TS,,,
11-1710-21 OP,118.73,26.95,15.8,10,TS,,,
11-J3271-23 OP,169,25.3,28.55,10,TS,,,
11-J3323-21 OP,130.45,24.48,16.43,10,TS,,,
11-1680-23 OP,135.06,23.84,13.54,10,TS,,,
11-1704-23 OP,182.82,25.67,24.34,10,TS,,,
11-1670-21 OP,147.58,24.41,13.25,10,TS,,,
11-1758-23 OP,170,26.24,24.72,10,TS,,,
11-1728-22 OP,157.65,25.59,19.57,10,TS,,,
11-1701-21 OP,172.53,22.6,17.26,10,TS,,,
11-1709-22 OP,182.68,24.69,24.29,10,TS,,,
11-1718-22 OP,143.05,26.14,20.14,10,TS,,,
11-1716-21 OP,163.7,24.31,18.31,10,TS,,,
11-1759-21 OP,187.4,26.27,16.18,10,TS,,,
11-1669-23 OP,130.9,20.09,13.14,10,TS,,,
11-1655-21 OP,168.01,22.26,20.16,10,TS,,,
11-J3258-21 OP,122.31,23.98,11.57,10,TS,,,
11-1758-22 OP,157.12,24.7,22.58,10,TS,,,
11-J3231-23 OP,152.4,24.94,13.28,10,TS,,,
11-1694-21 OP,172.47,26.04,21.12,10,TS,,,
11-J3255-22 OP,118.33,25.63,14.49,10,TS,,,
11-1706-23 OP,163.95,25.91,23.24,10,TS,,,
11-1700-21 OP,131.74,26.83,22.82,10,TS,,,
11-J3366-22 OP,157.11,23.05,20.97,10,TS,,,
11-1700-23 OP,140.89,26.15,24.09,10,TS,,,
11-1653-21 OP,181.3,21.22,9.62,10,TS,,,
11-J3275-23 OP,178.05,23.92,20.02,10,TS,,,
11-1724-22 OP,83.7,24.59,9.1,10,TS,,,
11-J3249-21 OP,106.33,25.98,16.04,10,TS,,,
11-1673-21 OP,127.04,23.57,9.15,10,TS,,,
11-1681-21 OP,171.57,23.65,10.81,10,TS,,,
11-J3301-21 OP,115.3,20.28,8.61,10,TS,,,
11-1700-22 OP,144.79,27.35,22.28,10,TS,,,
11-1655-23 OP,118.04,23.21,12.5,10,TS,,,
11-J3362-23 OP,173.27,27.59,29.8,10,TS,,,
11-1731-23 OP,189.65,29.38,41.04,10,TS,,,
11-1653-22 OP,173.48,19.34,8.72,10,TS,,,
11-1717-23 OP,92.83,23.51,9.3,10,TS,,,
11-J3324-21 OP,207.07,25.87,23.8,10,TS,,,
11-1654-21 OP,136.66,23.58,12.46,10,TS,,,
11-1724-23 OP,123.93,24.84,16.99,10,TS,,,
11-1684-23 OP,196.69,26.69,21.01,10,TS,2 pieces,,
11-J3286-23 OP,147.34,23.32,13.17,10,TS,,,
11-1727-21 OP,166.71,24.81,25.49,10,TS,,,
11-1679-23 OP,164.17,22.49,16.81,10,TS,,,
11-1729-22 OP,160.45,25.91,29.05,10,TS,,,
11-J3324-23 OP,211.89,26.07,26.69,10,TS,,,
11-1731-22 OP,138.84,24.88,15.87,10,TS,,,
11-1719-23 OP,135.56,24.26,7.8,10,TS,,,
11-1712-22 OP,183.35,26.76,27.8,10,TS,,,
11-1716-23 OP,126.06,23.89,11.31,10,TS,,,
11-J3362-22 OP,152.65,25.16,18.73,10,TS,,,
11-J3304-23 OP,156.71,26.29,22.3,10,TS,,,
11-1763-23 OP,125.91,28.49,24.44,10,TS,,,
11-J3334-23 OP,131.39,26.07,18.45,10,TS,,,
11-1759-23 OP,178.75,25.81,23.22,10,TS,,,
11-1715-22 OP,181.61,24.84,17.63,10,TS,,,
11-1739-21 OP,182.59,22.23,15.95,10,TS,,,
11-1725-22 OP,149.29,24.52,18,10,TS,,,
11-J3303-22 OP,89.29,22.12,7.53,10,TS,,,
11-1761-23 OP,151.41,27.47,28.4,10,TS,,,
11-J3275-22 OP,148.07,23.67,15.76,10,TS,,,
11-1743-21 OP,100.22,23.13,7.36,10,TS,,,
11-1717-21 OP,157.44,23.49,14.86,10,TS,,,
11-1721-23 OP,163.89,25.24,14.96,10,TS,,,
11-1720-23 OP,155.44,24.94,17.29,10,TS,,,
11-1729-23 OP,173.78,27.08,33.44,10,TS,,,
11-J3233-21 OP,170.44,27.32,27.89,10,TS,,,
11-J3355-23 OP,205.1,25.32,28.94,10,TS,,,
11-1742-21 OP,127.95,25.51,18.03,10,TS,,,
11-J3294-22 OP,143.69,24.11,16.49,10,TS,,,
11-J3230-23 OP,114.41,25.95,13.13,10,TS,,,
11-1718-23 OP,140.71,25.54,18.37,10,TS,,,
11-1716-22 OP,123.08,27.56,11.81,10,TS,,,
11-1743-22 OP,145.59,25.89,17.29,10,TS,,,
11-J3317-21 OP,132.87,25.99,17.81,10,TS,,,
11-J3229-21 OP,124.82,24.65,12.93,10,TS,,,
11-1759-22 OP,181.91,25.54,15.22,10,TS,,,
11-1712-21 OP,133.81,26.93,15.32,10,TS,,,
11-1725-21 OP,173.04,24.25,29.78,10,TS,,,
11-1713-21 OP,120.55,25.14,12.25,10,TS,,,
11-1764-22 OP,140.73,26.11,17.68,10,TS,,,
11-1723-21 OP,143.96,24.92,17.06,10,TS,,,
11-J3234-23 OP,181.43,25.16,26.34,10,TS,,,
11-1719-21 OP,172.12,24.55,17.68,10,TS,,,
11-1741-21 OP,114.5,22.8,10.85,10,TS,,,
11-J3298-23 OP,115.75,19.22,5.39,10,TS,,,
11-J3227-22 OP,146.61,28.27,24.78,10,TS,,,
11-J3366-21 OP,153.24,23.79,18.66,10,TS,,,
11-J3234-21 OP,179.31,24.53,26.03,10,TS,,,
11-1732-21 OP,96.13,23.42,9.65,10,TS,,,
11-1656-21 OP,168.29,26.07,34.02,10,TS,2 pieces,,
11-1705-22 OP,67.15,19.04,1.91,10,TS,,,
11-J3335-23 OP,151.54,27.91,24.02,10,TS,,,
11-1721-22 OP,171.82,24.61,25.02,10,TS,,,
11-1762-23 OP,135.43,25.22,15.59,10,TS,,,
11-1715-21 OP,206.11,22.22,19.87,10,TS,,,
