pedigree,seed count,seed note,total seed weight,AKW,hand count,box,time,initial,macine
11-1585-21 OP,122,,33.18,,,3,,,
11-1585-22 OP,62,,15.76,,,3,,,
11-1585-23 OP,165,,41.79,,,3,,,
11-1586-21 OP,225,,82.67,,,3,,,
11-1586-22 OP,172,,58.7,,,3,,,
11-1586-23 OP,361,,113.85,,,3,,,
11-1587-21 OP,82,unmature,5.12,,,3,,,
11-1587-22 OP,11,,3.35,,,3,,,
11-1587-23 OP,46,,11.62,,,3,,,
11-1588-21 OP,196,,62.87,,,3,,,
11-1588-22 OP,232,,73.28,,,3,,,
11-1588-23 OP,85,,21.66,,,3,,,
11-1589-21 OP,66,,23,,,3,,,
11-1589-22 OP,292,,106.37,,,3,,,
11-1589-23 OP,297,,100.59,,,3,,,
11-1590-21 OP,309,,104.56,,,3,,,
11-1590-22 OP,206,,80.58,,,3,,,
11-1590-23 OP,111,,43.48,,,3,,,
11-1591-21 OP,45,,11.58,,,3,,,
11-1591-22 OP,207,,61.73,,,3,,,
11-1591-23 OP,298,,71.77,,,3,,,
11-1592-21 OP,286,,60.76,,,3,,,
11-1592-22 OP,168,,28.37,,,3,,,
11-1592-23 OP,146,,48.47,,,3,,,
11-1593-21 OP,235,,55.38,,,3,,,
11-1593-22 OP,294,,68.19,,,3,,,
11-1593-23 OP,226,,73.77,,,3,,,
11-1594-21 OP,293,,59.47,,,3,,,
11-1594-22 OP,297,,62.42,,,3,,,
11-1594-23 OP,126,,29.71,,,3,,,
11-1595-21 OP,290,,103.55,,,3,,,
11-1595-22 OP,112,,27.81,,,3,,,
11-1596-21 OP,327,,110.29,,,3,,,
11-1596-22 OP,416,,114.13,,,3,,,
11-1596-23 OP,397,,115.14,,,3,,,
11-1597-21 OP,309,,74.92,,,3,,,
11-1597-22 OP,294,,70.65,,,3,,,
11-1597-23 OP,303,,74.07,,,3,,,
11-1598-21 OP,213,,64.34,,,3,,,
11-1598-22 OP,234,,69.83,,,3,,,
11-1598-23 OP,269,,68.5,,,3,,,
11-1599-21 OP,282,,99.44,,,3,,,
11-1599-22 OP,117,,40.89,,,3,,,
11-1599-23 OP,164,,61.64,,,3,,,
11-1600-21 OP,261,,72.14,,,3,,,
11-1600-22 OP,265,,74.3,,,3,,,
11-1600-23 OP,242,,68.75,,,3,,,
11-1601-21 OP,416,,111.05,,,3,,LL,
11-1601-22 OP,168,,49.45,,,3,,LL,
11-1601-23 OP,340,,129.9,,,3,,LL,
11-1602-22 OP,15,moldy,1.63,,,3,,LL,
11-1603-21 OP,311,,53.57,,,3,,LL,
11-1603-22 OP,346,,71.18,,,3,,LL,
11-1603-23 OP,285,,66.4,,,3,,LL,
11-1605-21 OP,263,,82.59,,,3,,LL,
11-1605-22 OP,346,,91.4,,,3,,LL,
11-1605-23 OP,327,,90.4,,,3,,LL,
11-1606-21 OP,175,,49.87,,,3,,LL,
11-1606-22 OP,221,,77.28,,,3,,LL,
11-1606-23 OP,283,,103.91,,,3,,LL,
11-1607-21 OP,164,,49.09,,,3,,LL,
11-1607-22 OP,356,,101.16,,,3,,LL,
11-1607-23 OP,346,,99.61,,,3,,LL,
11-1608-21 OP,306,,78.89,,,3,,LL,
11-1608-21 OP,149,,43.84,,,3,,LL,
11-1608-22 OP,385,,83.61,,,3,,LL,
11-1609-21 OP,70,moldy,12.35,,,3,,LL,
11-1609-22 OP,243,,60.94,,,3,,LL,
11-1609-23 OP,260,,75.04,,,3,,LL,
11-1610-21 OP,163,,31.98,,,3,,LL,
11-1610-22 OP,302,,85.98,,,3,,LL,
11-1610-23 OP,65,,17.05,,,3,,LL,
11-1611-21 OP,412,,119,,,3,,LL,
11-1611-22 OP,435,,100.18,,,3,,LL,
11-1611-23 OP,294,,93.16,,,3,,LL,
11-1612-21 OP,109,,42.88,,,3,,LL,
11-1612-22 OP,5,,1.46,,,3,,LL,
11-1613-21 OP,57,,13.66,,,3,,LL,
11-1613-22 OP,135,,34.05,,,3,,LL,
11-1613-23 OP,158,,41.44,,,3,,LL,
11-1614-21 OP,316,,87.59,,,3,,LL,
11-1614-22 OP,263,,73.15,,,3,,LL,
11-1614-23 OP,231,,61.64,,,3,,LL,
11-1615-21 OP,199,,67.43,,,3,,LL,
11-1615-22 OP,319,,89.1,,,3,,LL,
11-1615-23 OP,440,,128.94,,,3,,LL,
11-1616-21 OP,298,,69.35,,,3,,LL,
11-1616-22 OP,23,,5.77,,,3,,LL,
11-1616-23 OP,158,,30.13,,,3,,LL,
11-1617-21 OP,174,,64.19,,,3,,LL,
11-1617-22 OP,197,,75.91,,,3,,LL,
11-1617-23 OP,23,,7.37,,,3,,LL,
11-1618-21 OP,131,,33.5,,,3,,LL,
11-1618-22 OP,131,,34.36,,,3,,LL,
11-1618-23 OP,67,,18.4,,,3,,LL,
11-1619-21 OP,298,,88.44,,,3,,LL,
11-1619-22 OP,226,,67.32,,,3,,LL,
11-1619-23 OP,317,,96.72,,,3,,LL,
11-1620-21 OP,195,,44.17,,,3,,LL,
11-1620-22 OP,247,,48.69,,,3,,LL,
11-1620-23 OP,143,,36.74,,,3,,LL,
11-1621-21 OP,292,half moldy,71.48,,,3,,LL,
11-1621-22 OP,304,,83.23,,,3,,LL,
11-1621-23 OP,131,,39.07,,,3,,LL,
11-1622-21 OP,256,,69.1,,,3,,LL,
11-1622-22 OP,227,,67.53,,,3,,LL,
11-1622-23 OP,193,,60.41,,,3,,LL,
11-1623-21 OP,321,,81.61,,,3,,LL,
11-1623-22 OP,25,,9.77,,,3,,LL,
11-1623-23 OP,330,,115.05,,,3,,LL,
11-1624-21 OP,352,,101.44,,,3,,LL,
11-1624-22 OP,352,,94.67,,,3,,LL,
11-1624-23 OP,241,,75.4,,,3,,LL,
11-1625-21 OP,104,,25.8,,,3,,LL,
11-1626-21 OP,304,,106.39,,,3,,LL,
11-1626-22 OP,255,,80.82,,,3,,LL,
11-1626-23 OP,385,,121.01,,,3,,LL,
11-1627-21 OP,57,moldy,19.35,,,3,,LL,
11-1627-22 OP,203,,68.89,,,3,,LL,
11-1627-23 OP,11,,4.4,,,3,,LL,
11-1628-21 OP,56,,17.66,,,3,,LL,
11-1629-21 OP,196,,48.2,,,3,,LL,
11-1629-22 OP,295,,73.86,,,3,,LL,
11-1629-23 OP,177,,46.29,,,3,,LL,
11-1630-21 OP,150,,40.71,,,3,,LL,
11-1630-22 OP,150,,50.27,,,3,,LL,
11-1630-23 OP,184,,39.39,,,3,,LL,
11-1631-21 OP,289,,61.67,,,3,,LL,
11-1631-22 OP,441,,65.76,,,3,,LL,
11-1631-23 OP,301,,50.54,,,3,,LL,
11-1632-21 OP,295,,57.26,,,3,,LL,
11-1632-22 OP,116,,33.77,,,3,,LL,
11-1632-23 OP,308,,70.49,,,3,,LL,
11-1633-21 OP,44,,11.22,,,3,,LL,
11-1633-22 OP,68,,16.48,,,3,,LL,
11-1633-23 OP,46,,12.9,,,3,,LL,
11-1634-21 OP,103,,25.22,,,3,,LL,
11-1634-22 OP,114,unmature,11.3,,,3,,LL,
11-1634-23 OP,175,undeveloped,9.6,,,3,,LL,
11-1635-21 OP,375,,95.22,,,3,,LL,
11-1635-22 OP,437,,117.42,,,3,,LL,
11-1635-23 OP,389,,100.97,,,3,,LL,
11-1636-21 OP,274,,61.33,,,3,,LL,
11-1636-22 OP,168,,48.38,,,3,,LL,
11-1636-23 OP,212,,46.4,,,3,,LL,
11-1637-21 OP,111,,32.1,,,3,,LL,
11-1637-22 OP,232,,78.91,,,1,,LL,
11-1637-22 OP,234,,78.92,,,1,,LL,
11-1637-23 OP,102,,29.54,,,1,,LL,
11-1638-21 OP,5,,1.17,,,1,,LL,
11-1638-22 OP,5,,1.39,,,1,,LL,
11-1638-23 OP,79,,21.61,,,1,,LL,
11-1639-21 OP,171,,34.45,,,1,,LL,
11-1639-22 OP,102,,36.97,,,1,,LL,
11-1639-23 OP,118,,36.15,,,1,,LL,
11-1640-21 OP,7,,2.37,,,1,,LL,
11-1640-22 OP,123,,44.1,,,1,,LL,
11-1640-23 OP,8,,2.89,,,1,,LL,
11-1641-21 OP,7,,2.32,,,1,,LL,
11-1641-22 OP,2,,0.34,,,1,,LL,
11-1641-23 OP,36,,13.53,,,1,,LL,
11-1642-21 OP,2,,0.51,,,1,,LL,
11-1642-23 OP,137,,35.11,,,1,,LL,
11-1643-21 OP,327,,65.11,,,1,,LL,
11-1643-22 OP,320,,67.88,,,1,,LL,
11-1643-23 OP,321,,65.51,,,1,,LL,
11-1648-23 OP,6,,1.61,,,1,,LL,
11-1649-21 OP,6,,2.28,,,1,,LL,
11-1650-21 OP,135,,37.35,,,1,,LL,
11-1650-22 OP,294,,90.41,,,1,,LL,
11-1650-23 OP,127,,25.38,,,1,,LL,
11-1651-21 OP,186,,58.9,,,3,,,
11-1651-22 OP,88,,32.28,,,3,,,
11-1651-23 OP,1,,0.35,,,3,,LL,
11-1652-21 OP,232,,77.47,,,3,,LL,
11-1652-22 OP,147,,47.01,,,3,,LL,
11-1652-23 OP,192,,63.34,,,3,,,
11-1653-21 OP,226,,76.8,,,3,,LL,
11-1653-22 OP,203,,62.72,,,3,,LL,
11-1653-23 OP,234,,49.49,,,3,,,
11-1654-21 OP,293,,79.33,,,3,,LL,
11-1654-22 OP,169,,39.78,,,3,,LL,
11-1654-23 OP,233,,64.04,,,3,,,
11-1655-21 OP,359,,96.15,,,3,,LL,
11-1655-22 OP,290,,82.94,,,3,,,
11-1655-23 OP,223,,46.73,,,3,,LL,
11-1656-21 OP,87,,28.46,,,3,,LL,
11-1656-22 OP,45,,13.82,,,3,,,
11-1656-23 OP,98,,28.22,,,3,,,
11-1657-21 OP,101,,30,,,3,,,
11-1657-22 OP,178,,42.81,,,3,,LL,
11-1657-23 OP,196,,49.57,,,3,,,
11-1658-21 OP,17,,6.31,,,3,,HYJ,0
11-1658-22 OP,95,,31.37,,,3,,LL,
11-1658-23 OP,143,,44.81,,,3,,LL,
11-1659-23 OP,1,,0.25,,,3,,HYJ,0
11-1663-22 OP,1,,0.25,,,3,,LL,
11-1665-22 OP,1,,0.33,,,3,,HYJ,0
11-1665-23 OP,9,,2.56,,,3,,LL,
11-1666-21 OP,34,,11.67,,,3,,HYJ,0
11-1666-22 OP,6,,2.02,,,3,,LL,
11-1667-22 OP,3,,0.97,,,3,,HYJ,0
11-1668-21 OP,1,,0.31,,,3,,,
11-1669-22 OP,159,,40.19,,,3,,,
11-1669-23 OP,131,,35.2,,,3,,LL,
11-1670-21 OP,164,,50.07,,,3,,LL,
11-1670-22 OP,218,,65.76,,,3,,,
11-1670-23 OP,125,,43.67,,,3,,,
11-1671-21 OP,187,,49.6,,,3,,,
11-1671-22 OP,322,,71.82,,,3,,LL,
11-1671-23 OP,190,,47.29,,,3,,,
11-1672-21 OP,43,moldy,8.75,,,3,,LL,
11-1672-22 OP,51,,10.42,,,3,,LL,
11-1672-23 OP,95,,25.02,,,3,,LL,
11-1673-21 OP,190,,44.39,,,3,,LL,
11-1674-21 OP,1,,0.19,,,3,,LL,
11-1677-21 OP,25,,4.96,,,3,,,
11-1677-22 OP,65,,19.72,,,3,,LL,
11-1677-23 OP,4,,1.16,,,3,,,
11-1678-22 OP,117,,41.6,,,3,,LL,
11-1678-23 OP,226,,67.17,,,3,,,
11-1679-21 OP,242,,77.23,,,3,,,
11-1679-22 OP,3,,0.39,,,3,,HYJ,0
11-1679-23 OP,397,,102.01,,,3,,LL,
11-1680-21 OP,73,,20.06,,,3,,LL,
11-1680-22 OP,27,,7,,,3,,HYJ,0
11-1680-23 OP,130,,34.13,,,3,,LL,
11-1681-21 OP,247,,53.36,,,3,,LL,
11-1681-22 OP,268,,79.72,,,3,,,
11-1681-23 OP,200,,60.11,,,3,,,
11-1682-21 OP,330,,77.47,,,3,,,
11-1682-22 OP,297,,88.64,,,3,,LL,
11-1682-23 OP,308,,87.98,,,3,,,
11-1683-22 OP,11,,3.07,,,3,,HYJ,0
11-1683-23 OP,23,,6.23,,,3,,HYJ,0
11-1684-21 OP,302,,102.71,,,3,,LL,
11-1684-23 OP,329,,93.16,,,3,,LL,
11-1685-21 OP,175,,44.22,,,3,,,
11-1685-22 OP,172,,40.88,,,3,,,
11-1685-23 OP,138,,40.72,,,3,,,
11-1686-21 OP,443,,104.72,,,3,,,
11-1686-22 OP,299,,64.89,,,3,,,
11-1686-23 OP,47,,13.73,,,3,,LL,
11-1687-21 OP,92,,26.71,,,3,,LL,
11-1687-22 OP,455,,116.8,,,3,,,
11-1687-23 OP,246,,69.38,,,3,,LL,
11-1688-21 OP,391,,99.88,,,3,,,
11-1688-22 OP,418,,117.02,,,3,,,
11-1688-23 OP,444,,122.22,,,3,,,
11-1689-22 OP,83,,23.53,,,3,,,
11-1690-21 OP,73,,18.52,,,3,,LL,
11-1690-22 OP,138,,10.3,,,3,,HYJ,0
11-1690-23 OP,103,,31.01,,,3,,LL,
11-1691-21 OP,202,,25.19,,,3,,LL,
11-1691-22 OP,7,,0.51,,,3,,HYJ,0
11-1691-23 OP,93,,25.39,,,3,,LL,
11-1692-21 OP,67,,12.29,,,3,,LL,
11-1692-22 OP,32,,10.64,,,3,,LL,
11-1692-23 OP,382,,104.08,,,3,,LL,
11-1693-22 OP,3,,0.57,,,3,,HYJ,0
11-1693-23 OP,3,,0.61,,,3,,LL,
11-1694-21 OP,385,,102.46,,,3,,LL,
11-1694-22 OP,255,,63.28,,,3,,,
11-1694-23 OP,310,,85.67,,,3,,LL,
11-1695-21 OP,2,,0.31,,,3,,LL,
11-1696-21 OP,339,,110.94,,,3,,,
11-1696-22 OP,386,,121.36,,,3,,LL,
11-1696-23 OP,353,,77.17,,,3,,,
11-1697-21 OP,79,,25.25,,,3,,LL,
11-1697-22 OP,94,,39.71,,,3,,LL,
11-1697-23 OP,253,,91.58,,,3,,,
11-1698-21 OP,15,,3.88,,,3,,LL,
11-1698-22 OP,26,,7.16,,,3,,LL,
11-1698-23 OP,128,,37.14,,,3,,LL,
11-1699-21 OP,134,,45.35,,,3,,LL,
11-1699-22 OP,333,,93.46,,,3,,,
11-1699-23 OP,330,,81.02,,,3,,,
11-1700-21 OP,311,,109.16,,,3,,LL,
11-1700-22 OP,323,,104.24,,,3,,LL,
11-1700-23 OP,229,,73.36,,,3,,LL,
11-1701-21 OP,397,,99.88,,,3,,LL,
11-1701-22 OP,12,,2.93,,,3,,HYJ,0
11-1702-21 OP,38,,13,,,3,,LL,
11-1702-22 OP,58,,17.68,,,3,,LL,
11-1702-23 OP,37,,10.5,,,3,,LL,
11-1703-21 OP,270,,75.05,,,3,,LL,
11-1703-22 OP,228,,28.04,,,3,,LL,
11-1703-23 OP,89,,28.51,,,3,,LL,
11-1704-21 OP,311,,81.47,,,3,,HYJ,0
11-1704-22 OP,358,,85.88,,,3,,HYJ,0
11-1704-23 OP,326,,81.7,,,3,,LL,
11-1705-21 OP,248,,55.47,,,3,,LL,
11-1705-22 OP,44,,6.55,,,3,,LL,
11-1705-23 OP,391,,109.8,,,3,,HYJ,0
11-1706-21 OP,43,,11.43,,,3,,HYJ,0
11-1706-22 OP,21,,5.17,,,3,,HYJ,0
11-1706-23 OP,124,,31.08,,,3,,LL,
11-1707-21 OP,372,,103.24,,,3,,HYJ,0
11-1707-22 OP,534,,109.77,,,3,,HYJ,0
11-1707-23 OP,176,,54.59,,,3,,HYJ,0
11-1708-21 OP,243,,60.79,,,3,,HYJ,0
11-1708-22 OP,367,,86.86,,,3,,HYJ,0
11-1708-23 OP,404,,87.98,,,3,,LL,
11-1709-21 OP,218,,75.95,,,3,,HYJ,0
11-1709-22 OP,308,,73.16,,,3,,LL,
11-1709-23 OP,61,,15.59,,,3,,LL,
11-1710-21 OP,254,,65.17,,,3,,LL,
11-1710-22 OP,316,,66.41,,,3,,LL,
11-1710-23 OP,246,mold,45.53,,,3,,HYJ,0
11-1711-22 OP,166,,47.48,,,3,,HYJ,0
11-1711-23 OP,7,,1.98,,,3,,HYJ,0
11-1712-21 OP,229,,48.28,,,3,,LL,
11-1712-22 OP,266,,68.21,,,3,,LL,
11-1712-23 OP,416,,83.86,,,3,,HYJ,0
11-1713-21 OP,31,,6.29,,,3,,LL,
11-1713-22 OP,49,,11.66,,,3,,LL,
11-1713-23 OP,76,mold,17.1,,,3,,HYJ,0
11-1714-21 OP,172,,58.05,,,3,,LL,
11-1714-22 OP,263,,64.94,,,3,,LL,
11-1714-23 OP,121,,45.04,,,3,,LL,
11-1715-21 OP,266,,93.38,,,3,,LL,
11-1715-22 OP,212,,46.01,,,3,,LL,
11-1715-23 OP,233,,71.4,,,3,,LL,
11-1716-21 OP,339,,116.3,,,13,,LL,
11-1716-22 OP,86,,27.33,,,13,,LL,
11-1716-23 OP,159,,51.63,,,13,,LL,
11-1717-21 OP,423,,125.63,,,13,,LL,
11-1717-22 OP,240,,68.52,,,13,,LL,
11-1717-23 OP,169,,49.71,,,13,,LL,
11-1718-21 OP,75,,19.7,,,13,,LL,
11-1718-22 OP,301,,81.17,,,13,,LL,
11-1718-23 OP,144,,42.73,,,13,,LL,
11-1719-21 OP,365,,116.03,,,13,,LL,
11-1719-22 OP,258,,39.09,,,13,,LL,
11-1719-23 OP,274,,54.35,,,13,,LL,
11-1720-22 OP,219,,72.08,,,13,,LL,
11-1720-23 OP,255,,74.7,,,13,,LL,
11-1721-21 OP,281,,91.67,,,13,,LL,
11-1721-22 OP,153,,51.47,,,13,,LL,
11-1721-23 OP,278,,79.83,,,13,,LL,
11-1722-21 OP,47,,10.27,,,13,,HYJ,0
11-1722-21 OP,7,,2.18,,,13,,HYJ,0
11-1722-22 OP,11,,3.27,,,13,,HYJ,0
11-1723-21 OP,237,moldy,56.52,,,13,,LL,
11-1724-21 OP,92,,29.22,,,13,,HYJ,0
11-1724-22 OP,168,,38.87,,,13,,LL,
11-1724-23 OP,73,,16.6,,,13,,LL,
11-1725-21 OP,206,,72.87,,,13,,LL,
11-1725-22 OP,281,,75.8,,,13,,LL,
11-1725-23 OP,252,,65.17,,,13,,LL,
11-1726-21 OP,296,,75.78,,,13,,LL,
11-1726-22 OP,140,,43.55,,,13,,HYJ,0
11-1726-23 OP,233,,71.26,,,13,,LL,
11-1727-21 OP,139,,40.17,,,13,,LL,
11-1727-22 OP,285,,89.79,,,13,,LL,
11-1727-23 OP,73,,19.78,,,13,,HYJ,0
11-1728-21 OP,355,,101.45,,,13,,HYJ,0
11-1728-22 OP,293,,80.99,,,13,,LL,
11-1728-23 OP,146,,24.85,,,13,,LL,
11-1729-21 OP,79,,30.91,,,13,,HYJ,0
11-1729-22 OP,209,,81.15,,,13,,LL,
11-1729-23 OP,213,,82.24,,,13,,LL,
11-1730-21 OP,35,,10.03,,,13,,HYJ,0
11-1730-22 OP,155,,47.96,,,13,,LL,
11-1730-23 OP,111,,26.14,,,13,,LL,
11-1731-21 OP,105,,27.2,,,13,,LL,
11-1731-22 OP,246,,59.09,,,13,,LL,
11-1731-23 OP,520,,170.57,,,13,,LL,
11-1732-21 OP,157,,42.19,,,13,,LL,
11-1732-22 OP,258,,31.05,,,13,,LL,
11-1732-23 OP,216,,66.99,,,13,,LL,
11-1733-21 OP,222,,45.11,,,13,,LL,
11-1733-22 OP,32,,8.3,,,13,,HYJ,0
11-1733-23 OP,18,,5.17,,,13,,HYJ,0
11-1734-21 OP,327,,94.86,,,13,,LL,
11-1734-22 OP,376,,75.96,,,13,,HYJ,0
11-1734-23 OP,254,,69.76,,,13,,LL,
11-1735-21 OP,102,,15.14,,,13,,LL,
11-1735-22 OP,119,,26.89,,,13,,LL,
11-1735-23 OP,60,,15.33,,,13,,HYJ,0
11-1736-21 OP,204,,51.34,,,13,,LL,
11-1736-22 OP,27,,7.61,,,13,,LL,
11-1736-23 OP,174,,43.57,,,13,,LL,
11-1737-21 OP,274,,85.12,,,13,,LL,
11-1737-22 OP,343,,101.44,,,13,,LL,
11-1737-23 OP,297,,91.35,,,13,,LL,
11-1738-21 OP,161,,49.85,,,13,,LL,
11-1738-22 OP,214,,69.12,,,13,,LL,
11-1738-23 OP,172,,50.25,,,13,,LL,
11-1739-21 OP,83,,26.87,,,13,,LL,
11-1739-22 OP,325,,124.07,,,13,,HYJ,0
11-1739-23 OP,8,,2.29,,,13,,LL,
11-1740-22 OP,9,,2.78,,,13,,HYJ,0
11-1740-23 OP,11,,3.86,,,13,,HYJ,0
11-1741-21 OP,74,,19.2,,,13,,LL,
11-1741-22 OP,147,,31.84,,,13,,LL,
11-1741-23 OP,119,,27.82,,,13,,LL,
11-1742-21 OP,291,,75.81,,,13,,LL,
11-1742-22 OP,206,,55.56,,,13,,HYJ,0
11-1742-23 OP,299,,81.15,,,13,,LL,
11-1743-21 OP,76,,18.45,,,13,,LL,
11-1743-22 OP,201,,52.28,,,13,,LL,
11-1743-23 OP,188,,46.21,,,13,,LL,
11-1744-21 OP,110,,17.67,,,13,,HYJ,0
11-1744-22 OP,185,,46.6,,,13,,LL,
11-1744-23 OP,241,,54.31,,,13,,LL,
11-1745-21 OP,131,,40.24,,,13,,HYJ,0
11-1745-22 OP,68,,22.07,,,13,,LL,
11-1745-23 OP,132,,44.73,,,13,,HYJ,0
11-1746-21 OP,402,,113.74,,,14,,LL,
11-1746-22 OP,353,,92.89,,,14,,LL,
11-1746-23 OP,339,,84.1,,,14,,LL,
11-1747-21 OP,53,,12.9,,,14,,LL,
11-1747-22 OP,300,,103.17,,,14,,LL,
11-1747-23 OP,402,,125.1,,,14,,HYJ,0
11-1748-21 OP,6,,1.65,,,14,,LL,
11-1748-22 OP,25,,8.47,,,14,,LL,
11-1748-23 OP,59,,18.32,,,14,,LL,
11-1749-21 OP,161,,38.34,,,14,,HYJ,0
11-1749-22 OP,41,,14.91,,,14,,LL,
11-1749-23 OP,8,,2.34,,,14,,HYJ,0
11-1750-21 OP,156,,40.16,,,14,,LL,
11-1750-22 OP,388,,99.42,,,14,,LL,
11-1750-23 OP,264,,73.84,,,14,,LL,
11-1751-21 OP,128,mold,24.71,,,14,,HYJ,0
11-1751-22 OP,256,moldy,35.55,,,14,,LL,
11-1751-23 OP,158,,20.27,,,14,,LL,
11-1752-21 OP,523,,134.12,,,14,,LL,
11-1752-22 OP,263,,80.82,,,14,,LL,
11-1752-23 OP,54,,15.1,,,14,,LL,
11-1753-21 OP,199,,55.02,,,14,,LL,
11-1753-22 OP,361,,109.03,,,14,,LL,
11-1753-23 OP,445,,111.57,,,14,,LL,
11-1754-21 OP,8,,2.59,,,14,,HYJ,0
11-1754-22 OP,29,,8.94,,,14,,LL,
