pedigree,seed count,seed note,total seed weight,AKW,hand count,box,time,initial,macine
11-1549-21 OP,227,,75.49,,,10,,,
11-1549-22 OP,309,,95.53,,,10,,,
11-1549-23 OP,165,,47.4,,,10,,,
11-1550-21 OP,334,,94.53,,,10,,,
11-1550-22 OP,159,,46.19,,,10,,,
11-1550-23 OP,288,,84.36,,,10,,,
11-1551-21 OP,104,,36.62,,,10,,,
11-1551-22 OP,209,,64.52,,,10,,,
11-1551-23 OP,165,,55.86,,,10,,,
11-1552-21 OP,123,mold,37.27,,,10,,,
11-1552-22 OP,199,,63.91,,,10,,,
11-1552-23 OP,128,,46.22,,,10,,,
11-1553-21 OP,334,,62.5,,,10,,,
11-1553-22 OP,232,,81.75,,,10,,,
11-1553-23 OP,288,mold,46.51,,,10,,,
11-1554-21 OP,29,,6.56,,,10,,,
11-1554-22 OP,25,,6.48,,,10,,,
11-1554-23 OP,46,,12.08,,,10,,,
11-1555-21 OP,27,,5.21,,,10,,,
11-1555-22 OP,17,,3.74,,,10,,,
11-1555-23 OP,14,,2.13,,,10,,,
11-1556-22 OP,176,,46.48,,,10,,,
11-1556-23 OP,41,,8.78,,,10,,,
11-1557-21 OP,270,,74.35,,,10,,,
11-1557-22 OP,296,,70.46,,,10,,,
11-1557-23 OP,239,,73.08,,,10,,,
11-1558-21 OP,248,,67.84,,,10,,,
11-1558-22 OP,5,,1.29,,,10,,,
11-1558-23 OP,43,,11.26,,,10,,,
11-1559-21 OP,443,,86.41,,,10,,,
11-1559-22 OP,184,,41.62,,,10,,,
11-1559-23 OP,292,,65,,,10,,,
11-1560-21 OP,39,,14.02,,,10,,,
11-1560-22 OP,85,,32.31,,,10,,,
11-1560-23 OP,167,,60.38,,,10,,,
11-1561-21 OP,184,,49.99,,,10,,,
11-1561-22 OP,146,,41.55,,,10,,,
11-1561-23 OP,290,,67.39,,,10,,,
11-1562-21 OP,143,,41.81,,,10,,,
11-1562-22 OP,162,,51.74,,,10,,,
11-1562-23 OP,311,,98.5,,,10,,,
11-1563-21 OP,180,,33.42,,,10,,,
11-1563-22 OP,17,mold,2.91,,,10,,,
11-1563-23 OP,21,,5.82,,,10,,,
11-1564-21 OP,5,,1.78,,,10,,,
11-1564-22 OP,7,,2.35,,,10,,,
11-1564-23 OP,5,,1.92,,,10,,,
11-1565-21 OP,131,,36.17,,,10,,,
11-1565-22 OP,90,,25.45,,,10,,,
11-1565-23 OP,51,,15.57,,,10,,,
11-1566-21 OP,182,,39.2,,,10,,,
11-1566-22 OP,178,mold,35.12,,,10,,,
11-1566-23 OP,235,,54.86,,,10,,,
11-1567-21 OP,376,mold,105.77,,,10,,,
11-1567-22 OP,349,,95.88,,,10,,,
11-1567-23 OP,201,,97.81,,,10,,,
11-1568-21 OP,364,,131.95,,,10,,,
11-1568-22 OP,345,,127.22,,,10,,,
11-1568-23 OP,195,,66.3,,,10,,,
11-1569-21 OP,143,,38.19,,,10,,,
11-1569-22 OP,114,,36.12,,,3,,,
11-1569-23 OP,125,,37.21,,,3,,,
11-1570-21 OP,101,,21.99,,,3,,,
11-1570-22 OP,206,,47.33,,,3,,,
11-1570-23 OP,206,,48.29,,,3,,,
11-1571-21 OP,214,,60.01,,,3,,,
11-1571-22 OP,136,,49,,,3,,,
11-1571-23 OP,166,,55.42,,,3,,,
11-1572-21 OP,241,,74.35,,,3,,,
11-1572-22 OP,305,,64.68,,,3,,,
11-1572-23 OP,200,,63.33,,,3,,,
11-1573-21 OP,61,,20.93,,,3,,,
11-1573-22 OP,152,,37.24,,,3,,,
11-1573-23 OP,228,,62.37,,,3,,,
11-1574-21 OP,307,,83.03,,,3,,,
11-1574-22 OP,332,,75.25,,,3,,,
11-1574-23 OP,263,,58.96,,,3,,,
11-1575-21 OP,391,,99.89,,,3,,,
11-1575-22 OP,350,,63.71,,,3,,,
11-1575-23 OP,84,,22.94,,,3,,,
11-1576-21 OP,4,,1.05,,,3,,,
11-1576-22 OP,2,,0.57,,,3,,,
11-1576-23 OP,60,,17.66,,,3,,,
11-1577-21 OP,102,,26.91,,,3,,,
11-1577-22 OP,121,,35.77,,,3,,,
11-1577-23 OP,160,,42.34,,,3,,,
11-1578-21 OP,234,,84.56,,,3,,,
11-1578-22 OP,238,,94.59,,,3,,,
11-1578-23 OP,79,,27.7,,,3,,,
11-1579-21 OP,12,,2.18,,,3,,,
11-1579-22 OP,7,,1.42,,,3,,,
11-1579-23 OP,7,,1.4,,,3,,,
11-1580-21 OP,328,,94.58,,,3,,,
11-1580-22 OP,252,,57.54,,,3,,,
11-1580-23 OP,338,,96.94,,,3,,,
11-1581-21 OP,170,,59.16,,,3,,,
11-1581-22 OP,253,,86.82,,,3,,,
11-1581-23 OP,292,,88.77,,,3,,,
11-1582-21 OP,200,,55.28,,,3,,,
11-1582-22 OP,239,,73.46,,,3,,,
11-1582-23 OP,248,,69.4,,,3,,,
11-1583-21 OP,318,,92.77,,,3,,,
11-1583-22 OP,177,,34.85,,,3,,,
11-1583-23 OP,235,,60.61,,,3,,,
11-1584-21 OP,188,,54.88,,,3,,,
11-1584-22 OP,47,,9.71,,,3,,,
11-1584-23 OP,130,,34.64,,,3,,,
